Start Date,End Date,New cases,New Deaths,Total Cases,Total Deaths
2019-11-29,2019-12-05,0,0,0,0
2019-12-06,2019-12-12,0,0,0,0
2019-12-13,2019-12-19,0,0,0,0
2019-12-20,2019-12-26,0,0,0,0
2019-12-27,2020-01-02,0,0,0,0
2020-01-03,2020-01-09,0,0,0,0
2020-01-10,2020-01-16,0,0,0,0
2020-01-17,2020-01-23,0,0,0,0
2020-01-24,2020-01-30,0,0,0,0
2020-01-31,2020-02-06,0,0,0,0
2020-02-07,2020-02-13,0,0,0,0
2020-02-14,2020-02-20,0,0,0,0
2020-02-21,2020-02-27,0,0,0,0
2020-02-28,2020-03-05,1,0,1,0
2020-03-06,2020-03-12,18,1,19,1
2020-03-13,2020-03-19,60,1,79,2
2020-03-20,2020-03-26,290,5,387,8
2020-03-27,2020-04-02,552,19,1054,28
2020-04-03,2020-04-09,450,26,1715,63
2020-04-10,2020-04-16,648,39,2443,111
2020-04-17,2020-04-23,573,37,3144,152
2020-04-24,2020-04-30,997,55,4285,214
2020-05-01,2020-05-07,735,48,5020,264
2020-05-08,2020-05-14,1671,56,6879,329
