Start Date,End Date,New cases,New Deaths,Total Cases,Total Deaths
2019-11-29,2019-12-05,0,0,0,0
2019-12-06,2019-12-12,0,0,0,0
2019-12-13,2019-12-19,0,0,0,0
2019-12-20,2019-12-26,0,0,0,0
2019-12-27,2020-01-02,0,0,0,0
2020-01-03,2020-01-09,0,0,0,0
2020-01-10,2020-01-16,0,0,0,0
2020-01-17,2020-01-23,548,24,548,24
2020-01-24,2020-01-30,5444,159,6087,184
2020-01-31,2020-02-06,19299,543,27440,780
2020-02-07,2020-02-13,14172,671,44759,1548
2020-02-14,2020-02-20,14724,1035,74619,2932
2020-02-21,2020-02-27,3089,663,78166,3764
2020-02-28,2020-03-05,1786,328,80386,4133
2020-03-06,2020-03-12,384,203,80921,4380
2020-03-13,2020-03-19,170,96,81102,4491
2020-03-20,2020-03-26,505,49,81661,4551
2020-03-27,2020-04-02,579,34,82361,4594
2020-04-03,2020-04-09,345,16,82809,4624
2020-04-10,2020-04-16,473,10,83356,4636
2020-04-17,2020-04-23,465,0,83868,4636
2020-04-24,2020-04-30,62,1,83940,4637
2020-05-01,2020-05-07,24,0,83968,4637
2020-05-08,2020-05-14,47,0,84021,4637
