Start Date,End Date,New cases,New Deaths,Total Cases,Total Deaths
2019-11-29,2019-12-05,0,0,0,0
2019-12-06,2019-12-12,0,0,0,0
2019-12-13,2019-12-19,0,0,0,0
2019-12-20,2019-12-26,0,0,0,0
2019-12-27,2020-01-02,0,0,0,0
2020-01-03,2020-01-09,0,0,0,0
2020-01-10,2020-01-16,0,0,0,0
2020-01-17,2020-01-23,0,0,0,0
2020-01-24,2020-01-30,4,0,4,0
2020-01-31,2020-02-06,8,0,12,0
2020-02-07,2020-02-13,4,0,16,0
2020-02-14,2020-02-20,0,0,16,0
2020-02-21,2020-02-27,11,0,27,0
2020-02-28,2020-03-05,216,0,262,0
2020-03-06,2020-03-12,1426,3,1908,3
2020-03-13,2020-03-19,10249,25,12327,28
2020-03-20,2020-03-26,22003,162,37323,206
2020-03-27,2020-04-02,33934,653,77872,920
2020-04-03,2020-04-09,28502,1242,113296,2349
2020-04-10,2020-04-16,16572,1197,134753,3804
2020-04-17,2020-04-23,12364,1198,150062,5250
2020-04-24,2020-04-30,8068,830,161197,6405
2020-05-01,2020-05-07,5153,652,168162,7275
2020-05-08,2020-05-14,4668,469,174098,7861
