Start Date,End Date,New cases,New Deaths,Total Cases,Total Deaths
2019-11-29,2019-12-05,0,0,0,0
2019-12-06,2019-12-12,0,0,0,0
2019-12-13,2019-12-19,0,0,0,0
2019-12-20,2019-12-26,0,0,0,0
2019-12-27,2020-01-02,0,0,0,0
2020-01-03,2020-01-09,0,0,0,0
2020-01-10,2020-01-16,0,0,0,0
2020-01-17,2020-01-23,0,0,0,0
2020-01-24,2020-01-30,0,0,0,0
2020-01-31,2020-02-06,0,0,0,0
2020-02-07,2020-02-13,0,0,0,0
2020-02-14,2020-02-20,0,0,0,0
2020-02-21,2020-02-27,2,0,2,0
2020-02-28,2020-03-05,12,0,15,0
2020-03-06,2020-03-12,59,0,79,0
2020-03-13,2020-03-19,204,0,304,0
2020-03-20,2020-03-26,1942,5,2369,5
2020-03-27,2020-04-02,3399,18,6092,26
2020-04-03,2020-04-09,2374,37,9404,73
2020-04-10,2020-04-16,2533,44,12501,130
2020-04-17,2020-04-23,1740,47,14498,189
2020-04-24,2020-04-30,1031,23,15834,215
2020-05-01,2020-05-07,364,17,16310,239
2020-05-08,2020-05-14,167,24,16548,264
