Start Date,End Date,New cases,New Deaths,Total Cases,Total Deaths
2019-11-29,2019-12-05,0,0,0,0
2019-12-06,2019-12-12,0,0,0,0
2019-12-13,2019-12-19,0,0,0,0
2019-12-20,2019-12-26,0,0,0,0
2019-12-27,2020-01-02,0,0,0,0
2020-01-03,2020-01-09,0,0,0,0
2020-01-10,2020-01-16,0,0,0,0
2020-01-17,2020-01-23,0,0,0,0
2020-01-24,2020-01-30,0,0,0,0
2020-01-31,2020-02-06,0,0,0,0
2020-02-07,2020-02-13,0,0,0,0
2020-02-14,2020-02-20,0,0,0,0
2020-02-21,2020-02-27,0,0,0,0
2020-02-28,2020-03-05,0,0,0,0
2020-03-06,2020-03-12,8,1,8,1
2020-03-13,2020-03-19,75,0,86,1
2020-03-20,2020-03-26,334,7,443,8
2020-03-27,2020-04-02,623,22,1181,30
2020-04-03,2020-04-09,774,22,2249,59
2020-04-10,2020-04-16,1046,32,3574,95
2020-04-17,2020-04-23,1070,38,4821,141
2020-04-24,2020-04-30,1208,32,6200,176
2020-05-01,2020-05-07,1145,32,7523,210
2020-05-08,2020-05-14,1052,34,8783,252
