Start Date,End Date,New cases,New Deaths,Total Cases,Total Deaths
2019-11-29,2019-12-05,0,0,0,0
2019-12-06,2019-12-12,0,0,0,0
2019-12-13,2019-12-19,0,0,0,0
2019-12-20,2019-12-26,0,0,0,0
2019-12-27,2020-01-02,0,0,0,0
2020-01-03,2020-01-09,0,0,0,0
2020-01-10,2020-01-16,0,0,0,0
2020-01-17,2020-01-23,0,0,0,0
2020-01-24,2020-01-30,0,0,0,0
2020-01-31,2020-02-06,0,0,0,0
2020-02-07,2020-02-13,0,0,0,0
2020-02-14,2020-02-20,0,0,0,0
2020-02-21,2020-02-27,0,0,0,0
2020-02-28,2020-03-05,0,0,0,0
2020-03-06,2020-03-12,12,0,13,0
2020-03-13,2020-03-19,99,0,116,0
2020-03-20,2020-03-26,559,0,709,0
2020-03-27,2020-04-02,453,5,1380,5
2020-04-03,2020-04-09,383,13,1845,18
2020-04-10,2020-04-16,572,16,2506,34
2020-04-17,2020-04-23,1030,17,3635,65
2020-04-24,2020-04-30,1397,28,5350,103
2020-05-01,2020-05-07,2161,50,7808,153
2020-05-08,2020-05-14,3842,58,12074,219
