Start Date,End Date,New cases,New Deaths,Total Cases,Total Deaths
2019-11-29,2019-12-05,0,0,0,0
2019-12-06,2019-12-12,0,0,0,0
2019-12-13,2019-12-19,0,0,0,0
2019-12-20,2019-12-26,0,0,0,0
2019-12-27,2020-01-02,0,0,0,0
2020-01-03,2020-01-09,0,0,0,0
2020-01-10,2020-01-16,0,0,0,0
2020-01-17,2020-01-23,2,0,2,0
2020-01-24,2020-01-30,11,0,14,0
2020-01-31,2020-02-06,11,0,25,0
2020-02-07,2020-02-13,8,0,33,0
2020-02-14,2020-02-20,2,0,35,0
2020-02-21,2020-02-27,5,0,40,0
2020-02-28,2020-03-05,3,1,43,1
2020-03-06,2020-03-12,12,0,59,1
2020-03-13,2020-03-19,142,0,212,1
2020-03-20,2020-03-26,662,3,934,4
2020-03-27,2020-04-02,726,8,1771,12
2020-04-03,2020-04-09,391,11,2369,30
2020-04-10,2020-04-16,220,11,2643,43
2020-04-17,2020-04-23,154,3,2826,49
2020-04-24,2020-04-30,108,4,2947,54
2020-05-01,2020-05-07,35,1,2989,55
2020-05-08,2020-05-14,25,1,3017,56
