Start Date,End Date,New cases,New Deaths,Total Cases,Total Deaths
2019-11-29,2019-12-05,0,0,0,0
2019-12-06,2019-12-12,0,0,0,0
2019-12-13,2019-12-19,0,0,0,0
2019-12-20,2019-12-26,0,0,0,0
2019-12-27,2020-01-02,0,0,0,0
2020-01-03,2020-01-09,0,0,0,0
2020-01-10,2020-01-16,0,0,0,0
2020-01-17,2020-01-23,0,0,0,0
2020-01-24,2020-01-30,0,0,0,0
2020-01-31,2020-02-06,2,0,2,0
2020-02-07,2020-02-13,7,0,9,0
2020-02-14,2020-02-20,0,0,9,0
2020-02-21,2020-02-27,4,0,13,0
2020-02-28,2020-03-05,70,0,85,0
2020-03-06,2020-03-12,341,7,456,7
2020-03-13,2020-03-19,2170,106,2626,115
2020-03-20,2020-03-26,6840,536,9529,694
2020-03-27,2020-04-02,17816,2218,29474,3095
2020-04-03,2020-04-09,27015,4758,60733,8505
2020-04-10,2020-04-16,33399,5307,98476,14915
2020-04-17,2020-04-23,30402,5116,133495,21060
2020-04-24,2020-04-30,27143,4310,165221,26097
2020-05-01,2020-05-07,29848,3305,201101,30076
2020-05-08,2020-05-14,22990,2571,229705,33186
