Start Date,End Date,New cases,New Deaths,Total Cases,Total Deaths
2019-11-29,2019-12-05,0,0,0,0
2019-12-06,2019-12-12,0,0,0,0
2019-12-13,2019-12-19,0,0,0,0
2019-12-20,2019-12-26,0,0,0,0
2019-12-27,2020-01-02,0,0,0,0
2020-01-03,2020-01-09,0,0,0,0
2020-01-10,2020-01-16,0,0,0,0
2020-01-17,2020-01-23,1,0,1,0
2020-01-24,2020-01-30,4,0,5,0
2020-01-31,2020-02-06,6,0,11,0
2020-02-07,2020-02-13,1,0,12,0
2020-02-14,2020-02-20,0,0,13,0
2020-02-21,2020-02-27,44,0,57,0
2020-02-28,2020-03-05,91,11,149,11
2020-03-06,2020-03-12,1064,24,1281,36
2020-03-13,2020-03-19,6120,78,7783,118
2020-03-20,2020-03-26,52101,742,65778,942
2020-03-27,2020-04-02,129536,3548,213372,4757
2020-04-03,2020-04-09,183479,8637,429052,14695
2020-04-10,2020-04-16,174913,11848,636350,28326
2020-04-17,2020-04-23,170722,13629,837947,46497
2020-04-24,2020-04-30,171324,11094,1037970,60853
2020-05-01,2020-05-07,154772,10133,1223468,73039
2020-05-08,2020-05-14,135185,8516,1389935,84059
