song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
Tusa,KAROL G,1,Argentina,2020-02-21,2020-02-28,Negative,https://genius.com/Karol-g-and-nicki-minaj-tusa-lyrics
Hola - Remix,Dalex,2,Argentina,2020-02-21,2020-02-28,Negative,https://genius.com/Dalex-lenny-tavarez-and-chencho-corleone-hola-remix-lyrics
Dance Monkey,Tones And I,3,Argentina,2020-02-21,2020-02-28,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Sigues Con El,Dímelo Flow,4,Argentina,2020-02-21,2020-02-28,Negative,https://genius.com/Arcangel-dimelo-flow-and-sech-sigues-con-el-lyrics
Fantasias,Rauw Alejandro,5,Argentina,2020-02-21,2020-02-28,Negative,https://genius.com/Rauw-alejandro-and-farruko-fantasias-lyrics
Muévelo,Nicky Jam,6,Argentina,2020-02-21,2020-02-28,Positive,https://genius.com/Daddy-yankee-and-nicky-jam-muevelo-lyrics
Par-Tusa,El Dipy,7,Argentina,2020-02-21,2020-02-28,Negative,https://genius.com/El-dipy-par-tusa-lyrics
Recuerdo,TINI,8,Argentina,2020-02-21,2020-02-28,Negative,https://genius.com/Tini-and-mau-y-ricky-recuerdo-lyrics
Morado,J Balvin,9,Argentina,2020-02-21,2020-02-28,Negative,https://genius.com/J-balvin-morado-lyrics
Ignorantes,Bad Bunny,10,Argentina,2020-02-21,2020-02-28,Negative,https://genius.com/Bad-bunny-and-sech-ignorantes-lyrics
Bellaquita - Remix,Dalex,11,Argentina,2020-02-21,2020-02-28,Negative,https://genius.com/Dalex-lenny-tavarez-and-anitta-bellaquita-remix-lyrics
Keii,Anuel AA,12,Argentina,2020-02-21,2020-02-28,Positive,https://genius.com/Anuel-aa-keii-lyrics
Ya No Mas,Fer Palacio,13,Argentina,2020-02-21,2020-02-28,Negative,https://genius.com/Fer-palacio-ya-no-mas-lyrics
Vete,Bad Bunny,14,Argentina,2020-02-21,2020-02-28,Negative,https://genius.com/Bad-bunny-vete-lyrics
RITMO (Bad Boys For Life),Black Eyed Peas,15,Argentina,2020-02-21,2020-02-28,Positive,https://genius.com/The-black-eyed-peas-and-j-balvin-ritmo-bad-boys-for-life-lyrics
