song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
Señorita,Shawn Mendes,1,China,2020-01-24,2020-01-31,Positive,https://genius.com/Shawn-mendes-and-camila-cabello-senorita-lyrics
Yummy,Justin Bieber,2,China,2020-01-24,2020-01-31,Positive,https://genius.com/Justin-bieber-yummy-lyrics
Dance Monkey,Tones And I,3,China,2020-01-24,2020-01-31,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
bad guy,Billie Eilish,4,China,2020-01-24,2020-01-31,Negative,https://genius.com/Billie-eilish-bad-guy-lyrics
everything i wanted,Billie Eilish,5,China,2020-01-24,2020-01-31,Negative,https://genius.com/Billie-eilish-everything-i-wanted-lyrics
Memories,Maroon 5,6,China,2020-01-24,2020-01-31,Positive,https://genius.com/Maroon-5-memories-lyrics
Godzilla (feat. Juice WRLD),Eminem,7,China,2020-01-24,2020-01-31,Neutral,https://genius.com/Mcdicon-russian-cover-godzilla-eminem-feat-juice-wrld-lyrics
The Box,Roddy Ricch,8,China,2020-01-24,2020-01-31,Negative,https://genius.com/Roddy-ricch-the-box-lyrics
You should be sad,Halsey,9,China,2020-01-24,2020-01-31,Negative,https://genius.com/Halsey-you-should-be-sad-lyrics
ROXANNE,Arizona Zervas,10,China,2020-01-24,2020-01-31,Positive,https://genius.com/Arizona-zervas-roxanne-lyrics
Circles,Post Malone,11,China,2020-01-24,2020-01-31,Positive,https://genius.com/Post-malone-circles-lyrics
Don't Start Now,Dua Lipa,12,China,2020-01-24,2020-01-31,Negative,https://genius.com/Dua-lipa-dont-start-now-lyrics
"讓愛高飛 - 劇集 ""多功能老婆"" 片尾曲",Pakho Chau,13,China,2020-01-24,2020-01-31,could not determine analysis,
Life Is Good (feat. Drake),Future,14,China,2020-01-24,2020-01-31,Positive,https://genius.com/Genius-russian-translations-future-life-is-good-ft-drake-lyrics
Psycho,Red Velvet,15,China,2020-01-24,2020-01-31,Positive,https://genius.com/Red-velvet-psycho-lyrics
說好不哭,Jay Chou,16,China,2020-01-24,2020-01-31,Neutral,https://genius.com/Jay-chou-wont-cry-lyrics
Blinding Lights,The Weeknd,17,China,2020-01-24,2020-01-31,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Falling,Trevor Daniel,18,China,2020-01-24,2020-01-31,Positive,https://genius.com/Trevor-daniel-falling-lyrics
Rare,Selena Gomez,19,China,2020-01-24,2020-01-31,Positive,https://genius.com/Selena-gomez-rare-lyrics
Black Swan,BTS,20,China,2020-01-24,2020-01-31,Positive,https://genius.com/Bts-black-swan-lyrics
Señorita,Shawn Mendes,1,China,2020-01-31,2020-02-07,Positive,https://genius.com/Shawn-mendes-and-camila-cabello-senorita-lyrics
everything i wanted,Billie Eilish,2,China,2020-01-31,2020-02-07,Negative,https://genius.com/Billie-eilish-everything-i-wanted-lyrics
Dance Monkey,Tones And I,3,China,2020-01-31,2020-02-07,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Memories,Maroon 5,4,China,2020-01-31,2020-02-07,Positive,https://genius.com/Maroon-5-memories-lyrics
bad guy,Billie Eilish,5,China,2020-01-31,2020-02-07,Negative,https://genius.com/Billie-eilish-bad-guy-lyrics
Yummy,Justin Bieber,6,China,2020-01-31,2020-02-07,Positive,https://genius.com/Justin-bieber-yummy-lyrics
Don't Start Now,Dua Lipa,7,China,2020-01-31,2020-02-07,Negative,https://genius.com/Dua-lipa-dont-start-now-lyrics
The Box,Roddy Ricch,8,China,2020-01-31,2020-02-07,Negative,https://genius.com/Roddy-ricch-the-box-lyrics
