song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
Tusa,KAROL G,1,Colombia,2019-12-27,2020-01-03,Negative,https://genius.com/Karol-g-and-nicki-minaj-tusa-lyrics
Fantasias,Rauw Alejandro,2,Colombia,2019-12-27,2020-01-03,Negative,https://genius.com/Rauw-alejandro-and-farruko-fantasias-lyrics
Sigues Con El,Dímelo Flow,3,Colombia,2019-12-27,2020-01-03,Negative,https://genius.com/Arcangel-dimelo-flow-and-sech-sigues-con-el-lyrics
RITMO (Bad Boys For Life),Black Eyed Peas,4,Colombia,2019-12-27,2020-01-03,Positive,https://genius.com/The-black-eyed-peas-and-j-balvin-ritmo-bad-boys-for-life-lyrics
Blanco,J Balvin,5,Colombia,2019-12-27,2020-01-03,Negative,https://genius.com/J-balvin-blanco-lyrics
Dance Monkey,Tones And I,6,Colombia,2019-12-27,2020-01-03,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
LA CANCIÓN,J Balvin,7,Colombia,2019-12-27,2020-01-03,Negative,https://genius.com/J-balvin-and-bad-bunny-la-cancion-lyrics
China,Anuel AA,8,Colombia,2019-12-27,2020-01-03,could not determine analysis,
Vete,Bad Bunny,9,Colombia,2019-12-27,2020-01-03,Negative,https://genius.com/Bad-bunny-vete-lyrics
Hola - Remix,Dalex,10,Colombia,2019-12-27,2020-01-03,Negative,https://genius.com/Dalex-lenny-tavarez-and-chencho-corleone-hola-remix-lyrics
Loco,Beéle,11,Colombia,2019-12-27,2020-01-03,Positive,https://genius.com/Beele-loco-lyrics
Adicto (with Anuel AA &amp; Ozuna),Tainy,12,Colombia,2019-12-27,2020-01-03,could not determine analysis,
Callaita,Bad Bunny,13,Colombia,2019-12-27,2020-01-03,Negative,https://genius.com/Bad-bunny-and-tainy-callaita-lyrics
No Me Conoce - Remix,Jhay Cortez,14,Colombia,2019-12-27,2020-01-03,Negative,https://genius.com/Jhay-cortez-j-balvin-and-bad-bunny-no-me-conoce-remix-lyrics
Quizas,Rich Music LTD,15,Colombia,2019-12-27,2020-01-03,Positive,https://genius.com/Rich-music-ltd-dalex-and-sech-quizas-lyrics
Alguien Me Gusta,Andy Rivera,16,Colombia,2019-12-27,2020-01-03,Negative,https://genius.com/Andy-rivera-alguien-me-gusta-lyrics
Indeciso,Reik,17,Colombia,2019-12-27,2020-01-03,Negative,https://genius.com/Reik-j-balvin-and-lalo-ebratt-indeciso-lyrics
Whine Up,Nicky Jam,18,Colombia,2019-12-27,2020-01-03,Negative,https://genius.com/Nicky-jam-and-anuel-aa-whine-up-lyrics
Si Te Vas,Sech,19,Colombia,2019-12-27,2020-01-03,Positive,https://genius.com/Sech-and-ozuna-si-te-vas-lyrics
QUE PRETENDES,J Balvin,20,Colombia,2019-12-27,2020-01-03,Negative,https://genius.com/J-balvin-and-bad-bunny-que-pretendes-lyrics
Tusa,KAROL G,1,Colombia,2020-01-03,2020-01-10,Negative,https://genius.com/Karol-g-and-nicki-minaj-tusa-lyrics
Fantasias,Rauw Alejandro,2,Colombia,2020-01-03,2020-01-10,Negative,https://genius.com/Rauw-alejandro-and-farruko-fantasias-lyrics
Sigues Con El,Dímelo Flow,3,Colombia,2020-01-03,2020-01-10,Negative,https://genius.com/Arcangel-dimelo-flow-and-sech-sigues-con-el-lyrics
Dance Monkey,Tones And I,4,Colombia,2020-01-03,2020-01-10,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
RITMO (Bad Boys For Life),Black Eyed Peas,5,Colombia,2020-01-03,2020-01-10,Positive,https://genius.com/The-black-eyed-peas-and-j-balvin-ritmo-bad-boys-for-life-lyrics
Blanco,J Balvin,6,Colombia,2020-01-03,2020-01-10,Negative,https://genius.com/J-balvin-blanco-lyrics
Hola - Remix,Dalex,7,Colombia,2020-01-03,2020-01-10,Negative,https://genius.com/Dalex-lenny-tavarez-and-chencho-corleone-hola-remix-lyrics
LA CANCIÓN,J Balvin,8,Colombia,2020-01-03,2020-01-10,Negative,https://genius.com/J-balvin-and-bad-bunny-la-cancion-lyrics
Vete,Bad Bunny,9,Colombia,2020-01-03,2020-01-10,Negative,https://genius.com/Bad-bunny-vete-lyrics
China,Anuel AA,10,Colombia,2020-01-03,2020-01-10,could not determine analysis,
Loco,Beéle,11,Colombia,2020-01-03,2020-01-10,Positive,https://genius.com/Beele-loco-lyrics
Adicto (with Anuel AA &amp; Ozuna),Tainy,12,Colombia,2020-01-03,2020-01-10,could not determine analysis,
Quizas,Rich Music LTD,13,Colombia,2020-01-03,2020-01-10,Positive,https://genius.com/Rich-music-ltd-dalex-and-sech-quizas-lyrics
Callaita,Bad Bunny,14,Colombia,2020-01-03,2020-01-10,Negative,https://genius.com/Bad-bunny-and-tainy-callaita-lyrics
No Me Conoce - Remix,Jhay Cortez,15,Colombia,2020-01-03,2020-01-10,Negative,https://genius.com/Jhay-cortez-j-balvin-and-bad-bunny-no-me-conoce-remix-lyrics
Whine Up,Nicky Jam,16,Colombia,2020-01-03,2020-01-10,Negative,https://genius.com/Nicky-jam-and-anuel-aa-whine-up-lyrics
Indeciso,Reik,17,Colombia,2020-01-03,2020-01-10,Negative,https://genius.com/Reik-j-balvin-and-lalo-ebratt-indeciso-lyrics
Si Te Vas,Sech,18,Colombia,2020-01-03,2020-01-10,Positive,https://genius.com/Sech-and-ozuna-si-te-vas-lyrics
QUE PRETENDES,J Balvin,19,Colombia,2020-01-03,2020-01-10,Negative,https://genius.com/J-balvin-and-bad-bunny-que-pretendes-lyrics
Alguien Me Gusta,Andy Rivera,20,Colombia,2020-01-03,2020-01-10,Negative,https://genius.com/Andy-rivera-alguien-me-gusta-lyrics
Tusa,KAROL G,1,Colombia,2020-01-10,2020-01-17,Negative,https://genius.com/Karol-g-and-nicki-minaj-tusa-lyrics
