song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
Dans l'espace (feat. Heuss l'Enfoiré),Gambi,1,France,2020-01-24,2020-01-31,Positive,https://genius.com/Gambi-dans-lespace-lyrics
Distant,Maes,2,France,2020-01-24,2020-01-31,Negative,https://genius.com/Maes-distant-lyrics
Blanche,Maes,3,France,2020-01-24,2020-01-31,Negative,https://genius.com/Maes-blanche-lyrics
Ne reviens pas,Gradur,4,France,2020-01-24,2020-01-31,Negative,https://genius.com/Gradur-ne-reviens-pas-lyrics
Dybala,Maes,5,France,2020-01-24,2020-01-31,Negative,https://genius.com/Maes-dybala-lyrics
Moulaga,Heuss L'enfoiré,6,France,2020-01-24,2020-01-31,Negative,https://genius.com/Heuss-lenfoire-moulaga-lyrics
Œveillé,Damso,7,France,2020-01-24,2020-01-31,Positive,https://genius.com/Damso-veille-lyrics
Blinding Lights,The Weeknd,8,France,2020-01-24,2020-01-31,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
MD (feat. Niska),4Keus,9,France,2020-01-24,2020-01-31,Negative,https://genius.com/4keus-md-lyrics
Dance Monkey,Tones And I,10,France,2020-01-24,2020-01-31,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Street,Maes,11,France,2020-01-24,2020-01-31,Negative,https://genius.com/Maes-street-lyrics
Tout est calé (feat. Koba LaD),Chily,12,France,2020-01-24,2020-01-31,Negative,https://genius.com/Chily-tout-est-cale-lyrics
Imparfait,Maes,13,France,2020-01-24,2020-01-31,Positive,https://genius.com/Maes-imparfait-lyrics
40%,Aya Nakamura,14,France,2020-01-24,2020-01-31,Negative,https://genius.com/Aya-nakamura-40-lyrics
93% [Tijuana],GLK,15,France,2020-01-24,2020-01-31,Negative,https://genius.com/Glk-93-tijuana-lyrics
Popopop,Gambi,16,France,2020-01-24,2020-01-31,Negative,https://genius.com/Gambi-popopop-lyrics
Elvira,Maes,17,France,2020-01-24,2020-01-31,Negative,https://genius.com/Maes-elvira-lyrics
The Box,Roddy Ricch,18,France,2020-01-24,2020-01-31,Negative,https://genius.com/Roddy-ricch-the-box-lyrics
Mémoire,Maes,19,France,2020-01-24,2020-01-31,Neutral,https://genius.com/Maes-memoire-lyrics
Jamais,Mister V,20,France,2020-01-24,2020-01-31,Negative,https://genius.com/Mister-v-jamais-lyrics
Dans l'espace (feat. Heuss l'Enfoiré),Gambi,1,France,2020-01-31,2020-02-07,Positive,https://genius.com/Gambi-dans-lespace-lyrics
Ne reviens pas,Gradur,2,France,2020-01-31,2020-02-07,Negative,https://genius.com/Gradur-ne-reviens-pas-lyrics
Distant,Maes,3,France,2020-01-31,2020-02-07,Negative,https://genius.com/Maes-distant-lyrics
Jamais,Mister V,4,France,2020-01-31,2020-02-07,Negative,https://genius.com/Mister-v-jamais-lyrics
Blanche,Maes,5,France,2020-01-31,2020-02-07,Negative,https://genius.com/Maes-blanche-lyrics
Gang,Mister V,6,France,2020-01-31,2020-02-07,Negative,https://genius.com/Mister-v-gang-lyrics
Dybala,Maes,7,France,2020-01-31,2020-02-07,Negative,https://genius.com/Maes-dybala-lyrics
Pirelli,Mister V,8,France,2020-01-31,2020-02-07,Negative,https://genius.com/Mister-v-pirelli-lyrics
Blinding Lights,The Weeknd,9,France,2020-01-31,2020-02-07,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Moulaga,Heuss L'enfoiré,10,France,2020-01-31,2020-02-07,Negative,https://genius.com/Heuss-lenfoire-moulaga-lyrics
MD (feat. Niska),4Keus,11,France,2020-01-31,2020-02-07,Negative,https://genius.com/4keus-md-lyrics
Dance Monkey,Tones And I,12,France,2020-01-31,2020-02-07,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
The Box,Roddy Ricch,13,France,2020-01-31,2020-02-07,Negative,https://genius.com/Roddy-ricch-the-box-lyrics
Facetime,Mister V,14,France,2020-01-31,2020-02-07,Negative,https://genius.com/Mister-v-facetime-lyrics
93% [Tijuana],GLK,15,France,2020-01-31,2020-02-07,Negative,https://genius.com/Glk-93-tijuana-lyrics
Tudo Bem,Mister V,16,France,2020-01-31,2020-02-07,could not determine analysis,
Vice City,Mister V,17,France,2020-01-31,2020-02-07,Negative,https://genius.com/Mister-v-vice-city-lyrics
40%,Aya Nakamura,18,France,2020-01-31,2020-02-07,Negative,https://genius.com/Aya-nakamura-40-lyrics
Calumet,Hornet La Frappe,19,France,2020-01-31,2020-02-07,Neutral,https://genius.com/Hornet-la-frappe-calumet-lyrics
Tout est calé (feat. Koba LaD),Chily,20,France,2020-01-31,2020-02-07,Negative,https://genius.com/Chily-tout-est-cale-lyrics
Dans l'espace (feat. Heuss l'Enfoiré),Gambi,1,France,2020-02-07,2020-02-14,Positive,https://genius.com/Gambi-dans-lespace-lyrics
Ne reviens pas,Gradur,2,France,2020-02-07,2020-02-14,Negative,https://genius.com/Gradur-ne-reviens-pas-lyrics
Distant,Maes,3,France,2020-02-07,2020-02-14,Negative,https://genius.com/Maes-distant-lyrics
Blinding Lights,The Weeknd,4,France,2020-02-07,2020-02-14,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Blanche,Maes,5,France,2020-02-07,2020-02-14,Negative,https://genius.com/Maes-blanche-lyrics
Dybala,Maes,6,France,2020-02-07,2020-02-14,Negative,https://genius.com/Maes-dybala-lyrics
Moulaga,Heuss L'enfoiré,7,France,2020-02-07,2020-02-14,Negative,https://genius.com/Heuss-lenfoire-moulaga-lyrics
MD (feat. Niska),4Keus,8,France,2020-02-07,2020-02-14,Negative,https://genius.com/4keus-md-lyrics
The Box,Roddy Ricch,9,France,2020-02-07,2020-02-14,Negative,https://genius.com/Roddy-ricch-the-box-lyrics
Jamais,Mister V,10,France,2020-02-07,2020-02-14,Negative,https://genius.com/Mister-v-jamais-lyrics
Dance Monkey,Tones And I,11,France,2020-02-07,2020-02-14,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Gang,Mister V,12,France,2020-02-07,2020-02-14,Negative,https://genius.com/Mister-v-gang-lyrics
93% [Tijuana],GLK,13,France,2020-02-07,2020-02-14,Negative,https://genius.com/Glk-93-tijuana-lyrics
40%,Aya Nakamura,14,France,2020-02-07,2020-02-14,Negative,https://genius.com/Aya-nakamura-40-lyrics
Pirelli,Mister V,15,France,2020-02-07,2020-02-14,Negative,https://genius.com/Mister-v-pirelli-lyrics
Falling,Trevor Daniel,16,France,2020-02-07,2020-02-14,Positive,https://genius.com/Trevor-daniel-falling-lyrics
Meleğim,Soolking,17,France,2020-02-07,2020-02-14,Positive,https://genius.com/Soolking-melegim-lyrics
Woin Woin (feat. RK),Larry,18,France,2020-02-07,2020-02-14,Negative,https://genius.com/Larry-woin-woin-lyrics
Street,Maes,19,France,2020-02-07,2020-02-14,Negative,https://genius.com/Maes-street-lyrics
Popopop,Gambi,20,France,2020-02-07,2020-02-14,Negative,https://genius.com/Gambi-popopop-lyrics
Ne reviens pas,Gradur,1,France,2020-02-14,2020-02-21,Negative,https://genius.com/Gradur-ne-reviens-pas-lyrics
Dans l'espace (feat. Heuss l'Enfoiré),Gambi,2,France,2020-02-14,2020-02-21,Positive,https://genius.com/Gambi-dans-lespace-lyrics
Blinding Lights,The Weeknd,3,France,2020-02-14,2020-02-21,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Distant,Maes,4,France,2020-02-14,2020-02-21,Negative,https://genius.com/Maes-distant-lyrics
