song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
H &lt;3 T E L,Dardan,1,Germany,2020-03-20,2020-03-27,could not determine analysis,
Blinding Lights,The Weeknd,2,Germany,2020-03-20,2020-03-27,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Berlin,Samra,3,Germany,2020-03-20,2020-03-27,Negative,https://genius.com/Samra-and-capital-bra-berlin-lyrics
Roses - Imanbek Remix,SAINt JHN,4,Germany,2020-03-20,2020-03-27,Negative,https://genius.com/Saint-jhn-roses-imanbek-remix-lyrics
Breaking Me,Topic,5,Germany,2020-03-20,2020-03-27,Positive,https://genius.com/Topic-breaking-me-lyrics
Hayati,Soolking,6,Germany,2020-03-20,2020-03-27,Negative,https://genius.com/Soolking-hayati-lyrics
Angst,Loredana,7,Germany,2020-03-20,2020-03-27,Negative,https://genius.com/Loredana-angst-lyrics
"Bad Girls, Good Vibes",Ufo361,8,Germany,2020-03-20,2020-03-27,could not determine analysis,
LOST,Fler,9,Germany,2020-03-20,2020-03-27,Negative,https://genius.com/Fler-and-sido-lost-lyrics
Roller,Apache 207,10,Germany,2020-03-20,2020-03-27,Negative,https://genius.com/Apache-207-roller-lyrics
Dance Monkey,Tones And I,11,Germany,2020-03-20,2020-03-27,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
The Box,Roddy Ricch,12,Germany,2020-03-20,2020-03-27,Negative,https://genius.com/Roddy-ricch-the-box-lyrics
In Your Eyes (feat. Alida),Robin Schulz,13,Germany,2020-03-20,2020-03-27,Negative,https://genius.com/Robin-schulz-in-your-eyes-lyrics
Baby,Joker Bra,14,Germany,2020-03-20,2020-03-27,Negative,https://genius.com/Joker-bra-and-vize-baby-lyrics
Sip,Luciano,15,Germany,2020-03-20,2020-03-27,Negative,https://genius.com/Luciano-sip-lyrics
Matrix,Apache 207,16,Germany,2020-03-20,2020-03-27,Negative,https://genius.com/Apache-207-matrix-lyrics
Kein Wort,Juju,17,Germany,2020-03-20,2020-03-27,Positive,https://genius.com/Juju-and-loredana-kein-wort-lyrics
death bed (coffee for your head) (feat. beabadoobee),Powfu,18,Germany,2020-03-20,2020-03-27,Positive,https://genius.com/Powfu-death-bed-coffee-for-your-head-lyrics
D A YYY T O N A,Dardan,19,Germany,2020-03-20,2020-03-27,Negative,https://genius.com/Dardan-d-a-yyy-t-o-n-a-lyrics
Hotbox,LX,20,Germany,2020-03-20,2020-03-27,Negative,https://genius.com/Lx-and-maxwell-hotbox-lyrics
Du bist mein,Zuna,1,Germany,2020-03-27,2020-04-03,Negative,https://genius.com/Zuna-loredana-and-srno-du-bist-mein-lyrics
Allein sein,Ufo361,2,Germany,2020-03-27,2020-04-03,Negative,https://genius.com/Ufo361-allein-sein-lyrics
Blinding Lights,The Weeknd,3,Germany,2020-03-27,2020-04-03,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Puste sie weg,Kontra K,4,Germany,2020-03-27,2020-04-03,Negative,https://genius.com/Kontra-k-puste-sie-weg-lyrics
H &lt;3 T E L,Dardan,5,Germany,2020-03-27,2020-04-03,could not determine analysis,
Trippin’,Luciano,6,Germany,2020-03-27,2020-04-03,could not determine analysis,
Roses - Imanbek Remix,SAINt JHN,7,Germany,2020-03-27,2020-04-03,Negative,https://genius.com/Saint-jhn-roses-imanbek-remix-lyrics
Hood,AK Ausserkontrolle,8,Germany,2020-03-27,2020-04-03,Negative,https://genius.com/Ak-ausserkontrolle-and-shindy-hood-lyrics
Breaking Me,Topic,9,Germany,2020-03-27,2020-04-03,Positive,https://genius.com/Topic-breaking-me-lyrics
Dance Monkey,Tones And I,10,Germany,2020-03-27,2020-04-03,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Roller,Apache 207,11,Germany,2020-03-27,2020-04-03,Negative,https://genius.com/Apache-207-roller-lyrics
In Your Eyes (feat. Alida),Robin Schulz,12,Germany,2020-03-27,2020-04-03,Negative,https://genius.com/Robin-schulz-in-your-eyes-lyrics
Berlin,Samra,13,Germany,2020-03-27,2020-04-03,Negative,https://genius.com/Samra-and-capital-bra-berlin-lyrics
The Box,Roddy Ricch,14,Germany,2020-03-27,2020-04-03,Negative,https://genius.com/Roddy-ricch-the-box-lyrics
Hayati,Soolking,15,Germany,2020-03-27,2020-04-03,Negative,https://genius.com/Soolking-hayati-lyrics
Salt,Ava Max,16,Germany,2020-03-27,2020-04-03,Positive,https://genius.com/Ava-max-salt-lyrics
death bed (coffee for your head) (feat. beabadoobee),Powfu,17,Germany,2020-03-27,2020-04-03,Positive,https://genius.com/Powfu-death-bed-coffee-for-your-head-lyrics
quavo,Farid Bang,18,Germany,2020-03-27,2020-04-03,Negative,https://genius.com/Farid-bang-quavo-lyrics
Baby,Joker Bra,19,Germany,2020-03-27,2020-04-03,Negative,https://genius.com/Joker-bra-and-vize-baby-lyrics
Angels Sippen,Symba,20,Germany,2020-03-27,2020-04-03,Negative,https://genius.com/Symba-angels-sippen-lyrics
What's Luv,Shindy,1,Germany,2020-04-03,2020-04-10,Positive,https://genius.com/Shindy-whats-luv-lyrics
Toosie Slide,Drake,2,Germany,2020-04-03,2020-04-10,Positive,https://genius.com/Drake-toosie-slide-lyrics
Blinding Lights,The Weeknd,3,Germany,2020-04-03,2020-04-10,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Du bist mein,Zuna,4,Germany,2020-04-03,2020-04-10,Negative,https://genius.com/Zuna-loredana-and-srno-du-bist-mein-lyrics
Roses - Imanbek Remix,SAINt JHN,5,Germany,2020-04-03,2020-04-10,Negative,https://genius.com/Saint-jhn-roses-imanbek-remix-lyrics
Breaking Me,Topic,6,Germany,2020-04-03,2020-04-10,Positive,https://genius.com/Topic-breaking-me-lyrics
H &lt;3 T E L,Dardan,7,Germany,2020-04-03,2020-04-10,could not determine analysis,
Allein sein,Ufo361,8,Germany,2020-04-03,2020-04-10,Negative,https://genius.com/Ufo361-allein-sein-lyrics
Dance Monkey,Tones And I,9,Germany,2020-04-03,2020-04-10,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Angels Sippen,Symba,10,Germany,2020-04-03,2020-04-10,Negative,https://genius.com/Symba-angels-sippen-lyrics
Roller,Apache 207,11,Germany,2020-04-03,2020-04-10,Negative,https://genius.com/Apache-207-roller-lyrics
Salt,Ava Max,12,Germany,2020-04-03,2020-04-10,Positive,https://genius.com/Ava-max-salt-lyrics
In Your Eyes (feat. Alida),Robin Schulz,13,Germany,2020-04-03,2020-04-10,Negative,https://genius.com/Robin-schulz-in-your-eyes-lyrics
Puste sie weg,Kontra K,14,Germany,2020-04-03,2020-04-10,Negative,https://genius.com/Kontra-k-puste-sie-weg-lyrics
