song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
Genda Phool (feat. Payal Dev),Badshah,1,India,2020-04-17,2020-04-24,could not determine analysis,
death bed (coffee for your head) (feat. beabadoobee),Powfu,2,India,2020-04-17,2020-04-24,Positive,https://genius.com/Powfu-death-bed-coffee-for-your-head-lyrics
Skechers,DripReport,3,India,2020-04-17,2020-04-24,Positive,https://genius.com/Dripreport-skechers-lyrics
Shayad,Pritam,4,India,2020-04-17,2020-04-24,Neutral,https://genius.com/Pritam-shayad-lyrics
Falling,Trevor Daniel,5,India,2020-04-17,2020-04-24,Positive,https://genius.com/Trevor-daniel-falling-lyrics
Blinding Lights,The Weeknd,6,India,2020-04-17,2020-04-24,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Illegal Weapon 2.0,Jasmine Sandlas,7,India,2020-04-17,2020-04-24,Neutral,https://genius.com/Jasmine-sandlas-illegal-weapon-20-lyrics
"Ghungroo (From ""War"")",Arijit Singh,8,India,2020-04-17,2020-04-24,could not determine analysis,
Toosie Slide,Drake,9,India,2020-04-17,2020-04-24,Positive,https://genius.com/Drake-toosie-slide-lyrics
"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,10,India,2020-04-17,2020-04-24,Negative,https://genius.com/Badshah-and-neha-kakkar-garmi-from-street-dancer-3d-lyrics
"Malang (Title Track) [From ""Malang - Unleash The Madness""]",Ved Sharma,11,India,2020-04-17,2020-04-24,could not determine analysis,
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,12,India,2020-04-17,2020-04-24,Neutral,https://genius.com/Arijit-singh-tujhe-kitna-chahne-lage-from-kabir-singh-lyrics
Haan Main Galat,Pritam,13,India,2020-04-17,2020-04-24,Neutral,https://genius.com/Pritam-haan-main-galat-lyrics
"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")",Ayushmann Khurrana,14,India,2020-04-17,2020-04-24,Neutral,https://genius.com/Ayushmann-khurrana-tanishk-bagchi-and-vayu-mere-liye-tum-kaafi-ho-from-shubh-mangal-zyada-saavdhan-lyrics
Intentions (feat. Quavo),Justin Bieber,15,India,2020-04-17,2020-04-24,Positive,https://genius.com/Justin-bieber-and-quavo-intentions-lyrics
"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")",Rochak,16,India,2020-04-17,2020-04-24,could not determine analysis,
Roses - Imanbek Remix,SAINt JHN,17,India,2020-04-17,2020-04-24,Negative,https://genius.com/Saint-jhn-roses-imanbek-remix-lyrics
Pal Pal Dil Ke Paas- Title Track,Arijit Singh,18,India,2020-04-17,2020-04-24,could not determine analysis,
Makhna,Tanishk Bagchi,19,India,2020-04-17,2020-04-24,could not determine analysis,
The Box,Roddy Ricch,20,India,2020-04-17,2020-04-24,Negative,https://genius.com/Roddy-ricch-the-box-lyrics
Genda Phool (feat. Payal Dev),Badshah,1,India,2020-04-24,2020-05-01,could not determine analysis,
Shayad,Pritam,2,India,2020-04-24,2020-05-01,Neutral,https://genius.com/Pritam-shayad-lyrics
death bed (coffee for your head) (feat. beabadoobee),Powfu,3,India,2020-04-24,2020-05-01,Positive,https://genius.com/Powfu-death-bed-coffee-for-your-head-lyrics
Skechers,DripReport,4,India,2020-04-24,2020-05-01,Positive,https://genius.com/Dripreport-skechers-lyrics
Falling,Trevor Daniel,5,India,2020-04-24,2020-05-01,Positive,https://genius.com/Trevor-daniel-falling-lyrics
"Ghungroo (From ""War"")",Arijit Singh,6,India,2020-04-24,2020-05-01,could not determine analysis,
Blinding Lights,The Weeknd,7,India,2020-04-24,2020-05-01,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Toosie Slide,Drake,8,India,2020-04-24,2020-05-01,Positive,https://genius.com/Drake-toosie-slide-lyrics
Roses - Imanbek Remix,SAINt JHN,9,India,2020-04-24,2020-05-01,Negative,https://genius.com/Saint-jhn-roses-imanbek-remix-lyrics
Illegal Weapon 2.0,Jasmine Sandlas,10,India,2020-04-24,2020-05-01,Neutral,https://genius.com/Jasmine-sandlas-illegal-weapon-20-lyrics
"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,11,India,2020-04-24,2020-05-01,Negative,https://genius.com/Badshah-and-neha-kakkar-garmi-from-street-dancer-3d-lyrics
"Malang (Title Track) [From ""Malang - Unleash The Madness""]",Ved Sharma,12,India,2020-04-24,2020-05-01,could not determine analysis,
Haan Main Galat,Pritam,13,India,2020-04-24,2020-05-01,Neutral,https://genius.com/Pritam-haan-main-galat-lyrics
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,14,India,2020-04-24,2020-05-01,Neutral,https://genius.com/Arijit-singh-tujhe-kitna-chahne-lage-from-kabir-singh-lyrics
Intentions (feat. Quavo),Justin Bieber,15,India,2020-04-24,2020-05-01,Positive,https://genius.com/Justin-bieber-and-quavo-intentions-lyrics
