song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
Dance Monkey,Tones And I,1,Israel,2020-03-20,2020-03-27,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Blinding Lights,The Weeknd,2,Israel,2020-03-20,2020-03-27,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
The Box,Roddy Ricch,3,Israel,2020-03-20,2020-03-27,Negative,https://genius.com/Roddy-ricch-the-box-lyrics
את חסרה לי,Eden Hason,4,Israel,2020-03-20,2020-03-27,Neutral,https://genius.com/Eden-hason-at-hasera-li-lyrics
Don't Start Now,Dua Lipa,5,Israel,2020-03-20,2020-03-27,Negative,https://genius.com/Dua-lipa-dont-start-now-lyrics
Godzilla (feat. Juice WRLD),Eminem,6,Israel,2020-03-20,2020-03-27,Neutral,https://genius.com/Mcdicon-russian-cover-godzilla-eminem-feat-juice-wrld-lyrics
אלוף העולם,Hanan Ben Ari,7,Israel,2020-03-20,2020-03-27,Neutral,https://genius.com/Hanan-ben-ari-aluf-haolam-lyrics
נחכה לך,Nathan Goshen,8,Israel,2020-03-20,2020-03-27,Neutral,https://genius.com/Nathan-goshen-ishay-ribo-nechake-lecha-lyrics
Roses - Imanbek Remix,SAINt JHN,9,Israel,2020-03-20,2020-03-27,Negative,https://genius.com/Saint-jhn-roses-imanbek-remix-lyrics
מסע,Eliad,10,Israel,2020-03-20,2020-03-27,Neutral,https://genius.com/Eliad-masa-lyrics
אם תרצי,Hanan Ben Ari,11,Israel,2020-03-20,2020-03-27,Neutral,https://genius.com/Hanan-ben-ari-im-tirtzi-lyrics
Falling,Trevor Daniel,12,Israel,2020-03-20,2020-03-27,Positive,https://genius.com/Trevor-daniel-falling-lyrics
Señorita,Shawn Mendes,13,Israel,2020-03-20,2020-03-27,Positive,https://genius.com/Shawn-mendes-and-camila-cabello-senorita-lyrics
לשוב הביתה,Ishay Ribo,14,Israel,2020-03-20,2020-03-27,Neutral,https://genius.com/Ishay-ribo-lashuv-habaita-lyrics
ROXANNE,Arizona Zervas,15,Israel,2020-03-20,2020-03-27,Positive,https://genius.com/Arizona-zervas-roxanne-lyrics
עברו חודשיים,Agam Buhbut,16,Israel,2020-03-20,2020-03-27,Neutral,https://genius.com/Agam-buhbut-gal-adam-avru-hodshayim-lyrics
הולכת יחפה,Itay Levi,17,Israel,2020-03-20,2020-03-27,Neutral,https://genius.com/Itay-levi-holechet-yehefa-lyrics
Someone You Loved,Lewis Capaldi,18,Israel,2020-03-20,2020-03-27,Positive,https://genius.com/Lewis-capaldi-someone-you-loved-lyrics
Feker Libi,Eden,19,Israel,2020-03-20,2020-03-27,Positive,https://genius.com/Eden-il-feker-libi-lyrics
bad guy,Billie Eilish,20,Israel,2020-03-20,2020-03-27,Negative,https://genius.com/Billie-eilish-bad-guy-lyrics
Dance Monkey,Tones And I,1,Israel,2020-03-27,2020-04-03,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Don't Start Now,Dua Lipa,2,Israel,2020-03-27,2020-04-03,Negative,https://genius.com/Dua-lipa-dont-start-now-lyrics
Blinding Lights,The Weeknd,3,Israel,2020-03-27,2020-04-03,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
The Box,Roddy Ricch,4,Israel,2020-03-27,2020-04-03,Negative,https://genius.com/Roddy-ricch-the-box-lyrics
את חסרה לי,Eden Hason,5,Israel,2020-03-27,2020-04-03,Neutral,https://genius.com/Eden-hason-at-hasera-li-lyrics
Roses - Imanbek Remix,SAINt JHN,6,Israel,2020-03-27,2020-04-03,Negative,https://genius.com/Saint-jhn-roses-imanbek-remix-lyrics
אלוף העולם,Hanan Ben Ari,7,Israel,2020-03-27,2020-04-03,Neutral,https://genius.com/Hanan-ben-ari-aluf-haolam-lyrics
נחכה לך,Nathan Goshen,8,Israel,2020-03-27,2020-04-03,Neutral,https://genius.com/Nathan-goshen-ishay-ribo-nechake-lecha-lyrics
Falling,Trevor Daniel,9,Israel,2020-03-27,2020-04-03,Positive,https://genius.com/Trevor-daniel-falling-lyrics
מסע,Eliad,10,Israel,2020-03-27,2020-04-03,Neutral,https://genius.com/Eliad-masa-lyrics
אם תרצי,Hanan Ben Ari,11,Israel,2020-03-27,2020-04-03,Neutral,https://genius.com/Hanan-ben-ari-im-tirtzi-lyrics
Break My Heart,Dua Lipa,12,Israel,2020-03-27,2020-04-03,Positive,https://genius.com/Dua-lipa-break-my-heart-lyrics
Godzilla (feat. Juice WRLD),Eminem,13,Israel,2020-03-27,2020-04-03,Neutral,https://genius.com/Mcdicon-russian-cover-godzilla-eminem-feat-juice-wrld-lyrics
Señorita,Shawn Mendes,14,Israel,2020-03-27,2020-04-03,Positive,https://genius.com/Shawn-mendes-and-camila-cabello-senorita-lyrics
Blueberry Faygo,Lil Mosey,15,Israel,2020-03-27,2020-04-03,Negative,https://genius.com/Lil-mosey-blueberry-faygo-lyrics
לשוב הביתה,Ishay Ribo,16,Israel,2020-03-27,2020-04-03,Neutral,https://genius.com/Ishay-ribo-lashuv-habaita-lyrics
ROXANNE,Arizona Zervas,17,Israel,2020-03-27,2020-04-03,Positive,https://genius.com/Arizona-zervas-roxanne-lyrics
Physical,Dua Lipa,18,Israel,2020-03-27,2020-04-03,Positive,https://genius.com/Dua-lipa-physical-lyrics
