song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
Auto Blu,Shiva,1,Italy,2020-04-17,2020-04-24,Positive,https://genius.com/Shiva-auto-blu-lyrics
Fiori di Chernobyl,Mr.Rain,2,Italy,2020-04-17,2020-04-24,Negative,https://genius.com/Mr-rain-fiori-di-chernobyl-lyrics
Good Times,Ghali,3,Italy,2020-04-17,2020-04-24,Positive,https://genius.com/Ghali-good-times-lyrics
Roses - Imanbek Remix,SAINt JHN,4,Italy,2020-04-17,2020-04-24,Negative,https://genius.com/Saint-jhn-roses-imanbek-remix-lyrics
death bed (coffee for your head) (feat. beabadoobee),Powfu,5,Italy,2020-04-17,2020-04-24,Positive,https://genius.com/Powfu-death-bed-coffee-for-your-head-lyrics
Bando,ANNA,6,Italy,2020-04-17,2020-04-24,Negative,https://genius.com/Anna-bando-lyrics
Blinding Lights,The Weeknd,7,Italy,2020-04-17,2020-04-24,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Cioilflow (feat. Salmo) - prod. Strage,Dani Faiv,8,Italy,2020-04-17,2020-04-24,could not determine analysis,
blun7 a swishland,tha Supreme,9,Italy,2020-04-17,2020-04-24,Negative,https://genius.com/Tha-supreme-blun7-a-swishland-lyrics
Boogieman (feat. Salmo),Ghali,10,Italy,2020-04-17,2020-04-24,could not determine analysis,
Per sentirmi vivo,Fasma,11,Italy,2020-04-17,2020-04-24,Neutral,https://genius.com/Fasma-per-sentirmi-vivo-lyrics
Rapide,Mahmood,12,Italy,2020-04-17,2020-04-24,Negative,https://genius.com/Mahmood-rapide-lyrics
Nena (feat. Geolier &amp; Andry The Hitmaker),Boro Boro,13,Italy,2020-04-17,2020-04-24,could not determine analysis,
Dilemme (with tha Supreme &amp; Mara Sattei),Lous and The Yakuza,14,Italy,2020-04-17,2020-04-24,could not determine analysis,
Le Feste Di Pablo (con Fedez),CARA,15,Italy,2020-04-17,2020-04-24,could not determine analysis,
Tusa,KAROL G,16,Italy,2020-04-17,2020-04-24,Negative,https://genius.com/Karol-g-and-nicki-minaj-tusa-lyrics
Toosie Slide,Drake,17,Italy,2020-04-17,2020-04-24,Positive,https://genius.com/Drake-toosie-slide-lyrics
Ringo Starr,Pinguini Tattici Nucleari,18,Italy,2020-04-17,2020-04-24,Negative,https://genius.com/Pinguini-tattici-nucleari-ringo-starr-lyrics
Ma lo vuoi capire?,Tommaso Paradiso,19,Italy,2020-04-17,2020-04-24,Negative,https://genius.com/Tommaso-paradiso-ma-lo-vuoi-capire-lyrics
Ora che ti guardo bene,Gazzelle,20,Italy,2020-04-17,2020-04-24,Positive,https://genius.com/Gazzelle-ora-che-ti-guardo-bene-lyrics
THE SCOTTS,THE SCOTTS,1,Italy,2020-04-24,2020-05-01,Positive,https://genius.com/The-scotts-the-scotts-lyrics
SICKO MODE,Travis Scott,2,Italy,2020-04-24,2020-05-01,Positive,https://genius.com/Travis-scott-sicko-mode-lyrics
Auto Blu,Shiva,3,Italy,2020-04-24,2020-05-01,Positive,https://genius.com/Shiva-auto-blu-lyrics
Good Times,Ghali,4,Italy,2020-04-24,2020-05-01,Positive,https://genius.com/Ghali-good-times-lyrics
Fiori di Chernobyl,Mr.Rain,5,Italy,2020-04-24,2020-05-01,Negative,https://genius.com/Mr-rain-fiori-di-chernobyl-lyrics
goosebumps,Travis Scott,6,Italy,2020-04-24,2020-05-01,Positive,https://genius.com/Travis-scott-goosebumps-lyrics
Bando - Remix,ANNA,7,Italy,2020-04-24,2020-05-01,Negative,https://genius.com/Anna-bando-remix-lyrics
death bed (coffee for your head) (feat. beabadoobee),Powfu,8,Italy,2020-04-24,2020-05-01,Positive,https://genius.com/Powfu-death-bed-coffee-for-your-head-lyrics
Roses - Imanbek Remix,SAINt JHN,9,Italy,2020-04-24,2020-05-01,Negative,https://genius.com/Saint-jhn-roses-imanbek-remix-lyrics
Blinding Lights,The Weeknd,10,Italy,2020-04-24,2020-05-01,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
HIGHEST IN THE ROOM,Travis Scott,11,Italy,2020-04-24,2020-05-01,Positive,https://genius.com/Travis-scott-highest-in-the-room-lyrics
blun7 a swishland,tha Supreme,12,Italy,2020-04-24,2020-05-01,Negative,https://genius.com/Tha-supreme-blun7-a-swishland-lyrics
Bando,ANNA,13,Italy,2020-04-24,2020-05-01,Negative,https://genius.com/Anna-bando-lyrics
Nena (feat. Geolier &amp; Andry The Hitmaker),Boro Boro,14,Italy,2020-04-24,2020-05-01,could not determine analysis,
Boogieman (feat. Salmo),Ghali,15,Italy,2020-04-24,2020-05-01,could not determine analysis,
Per sentirmi vivo,Fasma,16,Italy,2020-04-24,2020-05-01,Neutral,https://genius.com/Fasma-per-sentirmi-vivo-lyrics
Rapide,Mahmood,17,Italy,2020-04-24,2020-05-01,Negative,https://genius.com/Mahmood-rapide-lyrics
Le Feste Di Pablo (con Fedez),CARA,18,Italy,2020-04-24,2020-05-01,could not determine analysis,
Tusa,KAROL G,19,Italy,2020-04-24,2020-05-01,Negative,https://genius.com/Karol-g-and-nicki-minaj-tusa-lyrics
Toosie Slide,Drake,20,Italy,2020-04-24,2020-05-01,Positive,https://genius.com/Drake-toosie-slide-lyrics
Good Times,Ghali,1,Italy,2020-05-01,2020-05-08,Positive,https://genius.com/Ghali-good-times-lyrics
Auto Blu,Shiva,2,Italy,2020-05-01,2020-05-08,Positive,https://genius.com/Shiva-auto-blu-lyrics
Fiori di Chernobyl,Mr.Rain,3,Italy,2020-05-01,2020-05-08,Negative,https://genius.com/Mr-rain-fiori-di-chernobyl-lyrics
THE SCOTTS,THE SCOTTS,4,Italy,2020-05-01,2020-05-08,Positive,https://genius.com/The-scotts-the-scotts-lyrics
Roses - Imanbek Remix,SAINt JHN,5,Italy,2020-05-01,2020-05-08,Negative,https://genius.com/Saint-jhn-roses-imanbek-remix-lyrics
death bed (coffee for your head) (feat. beabadoobee),Powfu,6,Italy,2020-05-01,2020-05-08,Positive,https://genius.com/Powfu-death-bed-coffee-for-your-head-lyrics
Cacao (feat. Pyrex),Ghali,7,Italy,2020-05-01,2020-05-08,Negative,https://genius.com/Ghali-cacao-lyrics
SICKO MODE,Travis Scott,8,Italy,2020-05-01,2020-05-08,Positive,https://genius.com/Travis-scott-sicko-mode-lyrics
Blinding Lights,The Weeknd,9,Italy,2020-05-01,2020-05-08,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
goosebumps,Travis Scott,10,Italy,2020-05-01,2020-05-08,Positive,https://genius.com/Travis-scott-goosebumps-lyrics
Nena (feat. Geolier &amp; Andry The Hitmaker),Boro Boro,11,Italy,2020-05-01,2020-05-08,could not determine analysis,
blun7 a swishland,tha Supreme,12,Italy,2020-05-01,2020-05-08,Negative,https://genius.com/Tha-supreme-blun7-a-swishland-lyrics
Boogieman (feat. Salmo),Ghali,13,Italy,2020-05-01,2020-05-08,could not determine analysis,
