song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
Pretender,Official HIGE DANdism,1,Japan,2020-04-17,2020-04-24,Neutral,https://genius.com/Official-hige-dandism-pretender-lyrics
I LOVE...,Official HIGE DANdism,2,Japan,2020-04-17,2020-04-24,Positive,https://genius.com/Official-hige-dandism-i-love-lyrics
Hakujitsu,King Gnu,3,Japan,2020-04-17,2020-04-24,Neutral,https://genius.com/King-gnu-hakujitsu-lyrics
宿命,Official HIGE DANdism,4,Japan,2020-04-17,2020-04-24,Neutral,https://genius.com/Official-hige-dandism-shukumei-lyrics
イエスタデイ,Official HIGE DANdism,5,Japan,2020-04-17,2020-04-24,could not determine analysis,
115万キロのフィルム,Official HIGE DANdism,6,Japan,2020-04-17,2020-04-24,could not determine analysis,
ノーダウト,Official HIGE DANdism,7,Japan,2020-04-17,2020-04-24,could not determine analysis,
Gurenge,LiSA,8,Japan,2020-04-17,2020-04-24,Negative,https://genius.com/Lisa-gurenge-lyrics
Machigaisagashi,Masaki Suda,9,Japan,2020-04-17,2020-04-24,Neutral,https://genius.com/Masaki-suda-machigai-sagashi-lyrics
マリーゴールド,Aimyon,10,Japan,2020-04-17,2020-04-24,could not determine analysis,
パラボラ,Official HIGE DANdism,11,Japan,2020-04-17,2020-04-24,Neutral,https://genius.com/Official-hige-dandism-parabola-lyrics
ただ君に晴れ,ヨルシカ,12,Japan,2020-04-17,2020-04-24,could not determine analysis,
夜に駆ける,YOASOBI,13,Japan,2020-04-17,2020-04-24,could not determine analysis,
Anataga Iru Kotode,Uru,14,Japan,2020-04-17,2020-04-24,could not determine analysis,
Stand By You,Official HIGE DANdism,15,Japan,2020-04-17,2020-04-24,Positive,https://genius.com/Official-hige-dandism-stand-by-you-lyrics
Walking with you,Novelbright,16,Japan,2020-04-17,2020-04-24,could not determine analysis,
インフェルノ,Mrs. GREEN APPLE,17,Japan,2020-04-17,2020-04-24,Neutral,https://genius.com/Mrs-green-apple-inferno-lyrics
高嶺の花子さん,back number,18,Japan,2020-04-17,2020-04-24,Neutral,https://genius.com/Back-number--lyrics
