song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
Tusa,KAROL G,1,Panama,2019-11-29,2019-12-06,Negative,https://genius.com/Karol-g-and-nicki-minaj-tusa-lyrics
Vete,Bad Bunny,2,Panama,2019-11-29,2019-12-06,Negative,https://genius.com/Bad-bunny-vete-lyrics
Si Te Vas,Sech,3,Panama,2019-11-29,2019-12-06,Positive,https://genius.com/Sech-and-ozuna-si-te-vas-lyrics
Fantasias,Rauw Alejandro,4,Panama,2019-11-29,2019-12-06,Negative,https://genius.com/Rauw-alejandro-and-farruko-fantasias-lyrics
China,Anuel AA,5,Panama,2019-11-29,2019-12-06,could not determine analysis,
RITMO (Bad Boys For Life),Black Eyed Peas,6,Panama,2019-11-29,2019-12-06,Positive,https://genius.com/The-black-eyed-peas-and-j-balvin-ritmo-bad-boys-for-life-lyrics
LA CANCIÓN,J Balvin,7,Panama,2019-11-29,2019-12-06,Negative,https://genius.com/J-balvin-and-bad-bunny-la-cancion-lyrics
Quizas,Rich Music LTD,8,Panama,2019-11-29,2019-12-06,Positive,https://genius.com/Rich-music-ltd-dalex-and-sech-quizas-lyrics
Adicto (with Anuel AA &amp; Ozuna),Tainy,9,Panama,2019-11-29,2019-12-06,could not determine analysis,
Whine Up,Nicky Jam,10,Panama,2019-11-29,2019-12-06,Negative,https://genius.com/Nicky-jam-and-anuel-aa-whine-up-lyrics
Callaita,Bad Bunny,11,Panama,2019-11-29,2019-12-06,Negative,https://genius.com/Bad-bunny-and-tainy-callaita-lyrics
Que Tire Pa Lante,Daddy Yankee,12,Panama,2019-11-29,2019-12-06,Negative,https://genius.com/Daddy-yankee-que-tire-pa-lante-lyrics
No Me Conoce - Remix,Jhay Cortez,13,Panama,2019-11-29,2019-12-06,Negative,https://genius.com/Jhay-cortez-j-balvin-and-bad-bunny-no-me-conoce-remix-lyrics
Loco,Beéle,14,Panama,2019-11-29,2019-12-06,Positive,https://genius.com/Beele-loco-lyrics
Aventura,Lunay,15,Panama,2019-11-29,2019-12-06,Negative,https://genius.com/Lunay-ozuna-and-anuel-aa-aventura-lyrics
Bellaquita,Dalex,16,Panama,2019-11-29,2019-12-06,Negative,https://genius.com/Dalex-and-lenny-tavarez-bellaquita-lyrics
Fantasía,Ozuna,17,Panama,2019-11-29,2019-12-06,Negative,https://genius.com/Ozuna-fantasia-lyrics
Hola - Remix,Dalex,18,Panama,2019-11-29,2019-12-06,Negative,https://genius.com/Dalex-lenny-tavarez-and-chencho-corleone-hola-remix-lyrics
Bellaquita - Remix,Dalex,19,Panama,2019-11-29,2019-12-06,Negative,https://genius.com/Dalex-lenny-tavarez-and-anitta-bellaquita-remix-lyrics
Tutu,Camilo,20,Panama,2019-11-29,2019-12-06,Negative,https://genius.com/Camilo-and-pedro-capo-tutu-lyrics
