song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
Toosie Slide,Drake,1,South afrika,2020-04-17,2020-04-24,Positive,https://genius.com/Drake-toosie-slide-lyrics
Blinding Lights,The Weeknd,2,South afrika,2020-04-17,2020-04-24,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Roses - Imanbek Remix,SAINt JHN,3,South afrika,2020-04-17,2020-04-24,Negative,https://genius.com/Saint-jhn-roses-imanbek-remix-lyrics
The Box,Roddy Ricch,4,South afrika,2020-04-17,2020-04-24,Negative,https://genius.com/Roddy-ricch-the-box-lyrics
Blueberry Faygo,Lil Mosey,5,South afrika,2020-04-17,2020-04-24,Negative,https://genius.com/Lil-mosey-blueberry-faygo-lyrics
Don't Start Now,Dua Lipa,6,South afrika,2020-04-17,2020-04-24,Negative,https://genius.com/Dua-lipa-dont-start-now-lyrics
Dance Monkey,Tones And I,7,South afrika,2020-04-17,2020-04-24,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Intentions (feat. Quavo),Justin Bieber,8,South afrika,2020-04-17,2020-04-24,Positive,https://genius.com/Justin-bieber-and-quavo-intentions-lyrics
Life Is Good (feat. Drake),Future,9,South afrika,2020-04-17,2020-04-24,Positive,https://genius.com/Genius-russian-translations-future-life-is-good-ft-drake-lyrics
Circles,Post Malone,10,South afrika,2020-04-17,2020-04-24,Positive,https://genius.com/Post-malone-circles-lyrics
death bed (coffee for your head) (feat. beabadoobee),Powfu,11,South afrika,2020-04-17,2020-04-24,Positive,https://genius.com/Powfu-death-bed-coffee-for-your-head-lyrics
ROCKSTAR (feat. Roddy Ricch),DaBaby,12,South afrika,2020-04-17,2020-04-24,Positive,https://genius.com/Gallo-dababy-rockstar-ft-roddy-ricch-rnb-pop-electro-remix-lyrics
Falling,Trevor Daniel,13,South afrika,2020-04-17,2020-04-24,Positive,https://genius.com/Trevor-daniel-falling-lyrics
Someone You Loved,Lewis Capaldi,14,South afrika,2020-04-17,2020-04-24,Positive,https://genius.com/Lewis-capaldi-someone-you-loved-lyrics
WHATS POPPIN,Jack Harlow,15,South afrika,2020-04-17,2020-04-24,Negative,https://genius.com/Jack-harlow-whats-poppin-lyrics
Say So,Doja Cat,16,South afrika,2020-04-17,2020-04-24,Positive,https://genius.com/Doja-cat-say-so-lyrics
Memories,Maroon 5,17,South afrika,2020-04-17,2020-04-24,Positive,https://genius.com/Maroon-5-memories-lyrics
Savage,Megan Thee Stallion,18,South afrika,2020-04-17,2020-04-24,Negative,https://genius.com/Megan-thee-stallion-savage-lyrics
ROXANNE,Arizona Zervas,19,South afrika,2020-04-17,2020-04-24,Positive,https://genius.com/Arizona-zervas-roxanne-lyrics
Sunday Best,Surfaces,20,South afrika,2020-04-17,2020-04-24,could not determine analysis,
THE SCOTTS,THE SCOTTS,1,South afrika,2020-04-24,2020-05-01,Positive,https://genius.com/The-scotts-the-scotts-lyrics
Toosie Slide,Drake,2,South afrika,2020-04-24,2020-05-01,Positive,https://genius.com/Drake-toosie-slide-lyrics
Blinding Lights,The Weeknd,3,South afrika,2020-04-24,2020-05-01,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Roses - Imanbek Remix,SAINt JHN,4,South afrika,2020-04-24,2020-05-01,Negative,https://genius.com/Saint-jhn-roses-imanbek-remix-lyrics
The Box,Roddy Ricch,5,South afrika,2020-04-24,2020-05-01,Negative,https://genius.com/Roddy-ricch-the-box-lyrics
goosebumps,Travis Scott,6,South afrika,2020-04-24,2020-05-01,Positive,https://genius.com/Travis-scott-goosebumps-lyrics
SICKO MODE,Travis Scott,7,South afrika,2020-04-24,2020-05-01,Positive,https://genius.com/Travis-scott-sicko-mode-lyrics
Blueberry Faygo,Lil Mosey,8,South afrika,2020-04-24,2020-05-01,Negative,https://genius.com/Lil-mosey-blueberry-faygo-lyrics
HIGHEST IN THE ROOM,Travis Scott,9,South afrika,2020-04-24,2020-05-01,Positive,https://genius.com/Travis-scott-highest-in-the-room-lyrics
Righteous,Juice WRLD,10,South afrika,2020-04-24,2020-05-01,Negative,https://genius.com/Juice-wrld-righteous-lyrics
Don't Start Now,Dua Lipa,11,South afrika,2020-04-24,2020-05-01,Negative,https://genius.com/Dua-lipa-dont-start-now-lyrics
Dance Monkey,Tones And I,12,South afrika,2020-04-24,2020-05-01,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Life Is Good (feat. Drake),Future,13,South afrika,2020-04-24,2020-05-01,Positive,https://genius.com/Genius-russian-translations-future-life-is-good-ft-drake-lyrics
Circles,Post Malone,14,South afrika,2020-04-24,2020-05-01,Positive,https://genius.com/Post-malone-circles-lyrics
Intentions (feat. Quavo),Justin Bieber,15,South afrika,2020-04-24,2020-05-01,Positive,https://genius.com/Justin-bieber-and-quavo-intentions-lyrics
death bed (coffee for your head) (feat. beabadoobee),Powfu,16,South afrika,2020-04-24,2020-05-01,Positive,https://genius.com/Powfu-death-bed-coffee-for-your-head-lyrics
ROCKSTAR (feat. Roddy Ricch),DaBaby,17,South afrika,2020-04-24,2020-05-01,Positive,https://genius.com/Gallo-dababy-rockstar-ft-roddy-ricch-rnb-pop-electro-remix-lyrics
Falling,Trevor Daniel,18,South afrika,2020-04-24,2020-05-01,Positive,https://genius.com/Trevor-daniel-falling-lyrics
Someone You Loved,Lewis Capaldi,19,South afrika,2020-04-24,2020-05-01,Positive,https://genius.com/Lewis-capaldi-someone-you-loved-lyrics
Say So,Doja Cat,20,South afrika,2020-04-24,2020-05-01,Positive,https://genius.com/Doja-cat-say-so-lyrics
Toosie Slide,Drake,1,South afrika,2020-05-01,2020-05-08,Positive,https://genius.com/Drake-toosie-slide-lyrics
THE SCOTTS,THE SCOTTS,2,South afrika,2020-05-01,2020-05-08,Positive,https://genius.com/The-scotts-the-scotts-lyrics
Blinding Lights,The Weeknd,3,South afrika,2020-05-01,2020-05-08,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Roses - Imanbek Remix,SAINt JHN,4,South afrika,2020-05-01,2020-05-08,Negative,https://genius.com/Saint-jhn-roses-imanbek-remix-lyrics
Chicago Freestyle (feat. Giveon),Drake,5,South afrika,2020-05-01,2020-05-08,Negative,https://genius.com/Genius-traductions-francaises-drake-chicago-freestyle-ft-giveon-traduction-francaise-lyrics
Pain 1993 (with Playboi Carti),Drake,6,South afrika,2020-05-01,2020-05-08,Positive,https://genius.com/Spotify-new-music-friday-05-01-20-annotated
The Box,Roddy Ricch,7,South afrika,2020-05-01,2020-05-08,Negative,https://genius.com/Roddy-ricch-the-box-lyrics
Savage Remix (feat. Beyoncé),Megan Thee Stallion,8,South afrika,2020-05-01,2020-05-08,Positive,https://genius.com/Genius-polska-tumaczenia-megan-thee-stallion-ft-beyonce-savage-remix-polskie-tumaczenie-lyrics
Blueberry Faygo,Lil Mosey,9,South afrika,2020-05-01,2020-05-08,Negative,https://genius.com/Lil-mosey-blueberry-faygo-lyrics
Not You Too (feat. Chris Brown),Drake,10,South afrika,2020-05-01,2020-05-08,Positive,https://genius.com/Genius-farsi-translations-drake-not-you-too-feat-chris-brown-lyrics
Life Is Good (feat. Drake),Future,11,South afrika,2020-05-01,2020-05-08,Positive,https://genius.com/Genius-russian-translations-future-life-is-good-ft-drake-lyrics
Don't Start Now,Dua Lipa,12,South afrika,2020-05-01,2020-05-08,Negative,https://genius.com/Dua-lipa-dont-start-now-lyrics
Dance Monkey,Tones And I,13,South afrika,2020-05-01,2020-05-08,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Time Flies,Drake,14,South afrika,2020-05-01,2020-05-08,Positive,https://genius.com/Drake-time-flies-lyrics
Intentions (feat. Quavo),Justin Bieber,15,South afrika,2020-05-01,2020-05-08,Positive,https://genius.com/Justin-bieber-and-quavo-intentions-lyrics
Deep Pockets,Drake,16,South afrika,2020-05-01,2020-05-08,Positive,https://genius.com/Drake-deep-pockets-lyrics
Circles,Post Malone,17,South afrika,2020-05-01,2020-05-08,Positive,https://genius.com/Post-malone-circles-lyrics
ROCKSTAR (feat. Roddy Ricch),DaBaby,18,South afrika,2020-05-01,2020-05-08,Positive,https://genius.com/Gallo-dababy-rockstar-ft-roddy-ricch-rnb-pop-electro-remix-lyrics
