song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
Safaera,Bad Bunny,1,Spain,2020-04-17,2020-04-24,Negative,https://genius.com/Bad-bunny-jowell-and-randy-and-nengo-flow-safaera-lyrics
Dime Bbsita,Robledo,2,Spain,2020-04-17,2020-04-24,Negative,https://genius.com/Robledo-and-alex-martini-dime-bbsita-lyrics
Amarillo,J Balvin,3,Spain,2020-04-17,2020-04-24,Negative,https://genius.com/J-balvin-amarillo-lyrics
Tusa,KAROL G,4,Spain,2020-04-17,2020-04-24,Negative,https://genius.com/Karol-g-and-nicki-minaj-tusa-lyrics
Yo Perreo Sola,Bad Bunny,5,Spain,2020-04-17,2020-04-24,Negative,https://genius.com/Bad-bunny-yo-perreo-sola-lyrics
Mil Tequilas,Chema Rivas,6,Spain,2020-04-17,2020-04-24,Negative,https://genius.com/Chema-rivas-esp-mil-tequilas-lyrics
Sola &amp; Vacía,Casper Magico,7,Spain,2020-04-17,2020-04-24,could not determine analysis,
4 besos,Lola Indigo,8,Spain,2020-04-17,2020-04-24,Negative,https://genius.com/Lola-indigo-rauw-alejandro-and-lalo-ebratt-4-besos-lyrics
Tattoo,Rauw Alejandro,9,Spain,2020-04-17,2020-04-24,Negative,https://genius.com/Rauw-alejandro-tattoo-lyrics
Rojo,J Balvin,10,Spain,2020-04-17,2020-04-24,Neutral,https://genius.com/J-balvin-rojo-lyrics
PORFA,Feid,11,Spain,2020-04-17,2020-04-24,Negative,https://genius.com/Feid-and-justin-quiles-porfa-lyrics
Una Mala (Remix),El Completo Rd,12,Spain,2020-04-17,2020-04-24,Negative,https://genius.com/El-completo-rd-una-mala-remix-annotated
La Difícil,Bad Bunny,13,Spain,2020-04-17,2020-04-24,Negative,https://genius.com/Bad-bunny-la-dificil-lyrics
Morado,J Balvin,14,Spain,2020-04-17,2020-04-24,Negative,https://genius.com/J-balvin-morado-lyrics
Tu Eres Un Bom Bom - Remix,Kafu Banton,15,Spain,2020-04-17,2020-04-24,Negative,https://genius.com/Kafu-banton-and-bad-gyal-tu-eres-un-bom-bom-remix-lyrics
Loco,Beéle,16,Spain,2020-04-17,2020-04-24,Positive,https://genius.com/Beele-loco-lyrics
Diosa,Myke Towers,17,Spain,2020-04-17,2020-04-24,Negative,https://genius.com/Myke-towers-diosa-lyrics
Follow,KAROL G,18,Spain,2020-04-17,2020-04-24,could not determine analysis,
Favorito,Camilo,19,Spain,2020-04-17,2020-04-24,Negative,https://genius.com/Camilo-favorito-lyrics
La Cama - Remix,Lunay,20,Spain,2020-04-17,2020-04-24,Negative,https://genius.com/Lunay-myke-towers-and-ozuna-la-cama-remix-lyrics
Nunca Estoy,C. Tangana,1,Spain,2020-04-24,2020-05-01,Negative,https://genius.com/C-tangana-nunca-estoy-lyrics
Dime Bbsita,Robledo,2,Spain,2020-04-24,2020-05-01,Negative,https://genius.com/Robledo-and-alex-martini-dime-bbsita-lyrics
Safaera,Bad Bunny,3,Spain,2020-04-24,2020-05-01,Negative,https://genius.com/Bad-bunny-jowell-and-randy-and-nengo-flow-safaera-lyrics
Mil Tequilas,Chema Rivas,4,Spain,2020-04-24,2020-05-01,Negative,https://genius.com/Chema-rivas-esp-mil-tequilas-lyrics
Amarillo,J Balvin,5,Spain,2020-04-24,2020-05-01,Negative,https://genius.com/J-balvin-amarillo-lyrics
PORFA,Feid,6,Spain,2020-04-24,2020-05-01,Negative,https://genius.com/Feid-and-justin-quiles-porfa-lyrics
Tusa,KAROL G,7,Spain,2020-04-24,2020-05-01,Negative,https://genius.com/Karol-g-and-nicki-minaj-tusa-lyrics
Yo Perreo Sola,Bad Bunny,8,Spain,2020-04-24,2020-05-01,Negative,https://genius.com/Bad-bunny-yo-perreo-sola-lyrics
4 besos,Lola Indigo,9,Spain,2020-04-24,2020-05-01,Negative,https://genius.com/Lola-indigo-rauw-alejandro-and-lalo-ebratt-4-besos-lyrics
Sola &amp; Vacía,Casper Magico,10,Spain,2020-04-24,2020-05-01,could not determine analysis,
Tattoo,Rauw Alejandro,11,Spain,2020-04-24,2020-05-01,Negative,https://genius.com/Rauw-alejandro-tattoo-lyrics
Rojo,J Balvin,12,Spain,2020-04-24,2020-05-01,Neutral,https://genius.com/J-balvin-rojo-lyrics
Una Mala (Remix),El Completo Rd,13,Spain,2020-04-24,2020-05-01,Negative,https://genius.com/El-completo-rd-una-mala-remix-annotated
Favorito,Camilo,14,Spain,2020-04-24,2020-05-01,Negative,https://genius.com/Camilo-favorito-lyrics
Loco,Beéle,15,Spain,2020-04-24,2020-05-01,Positive,https://genius.com/Beele-loco-lyrics
La Difícil,Bad Bunny,16,Spain,2020-04-24,2020-05-01,Negative,https://genius.com/Bad-bunny-la-dificil-lyrics
Tu Eres Un Bom Bom - Remix,Kafu Banton,17,Spain,2020-04-24,2020-05-01,Negative,https://genius.com/Kafu-banton-and-bad-gyal-tu-eres-un-bom-bom-remix-lyrics
Diosa,Myke Towers,18,Spain,2020-04-24,2020-05-01,Negative,https://genius.com/Myke-towers-diosa-lyrics
SICKO MODE,Travis Scott,19,Spain,2020-04-24,2020-05-01,Positive,https://genius.com/Travis-scott-sicko-mode-lyrics
THE SCOTTS,THE SCOTTS,20,Spain,2020-04-24,2020-05-01,Positive,https://genius.com/The-scotts-the-scotts-lyrics
Nunca Estoy,C. Tangana,1,Spain,2020-05-01,2020-05-08,Negative,https://genius.com/C-tangana-nunca-estoy-lyrics
Mil Tequilas,Chema Rivas,2,Spain,2020-05-01,2020-05-08,Negative,https://genius.com/Chema-rivas-esp-mil-tequilas-lyrics
Safaera,Bad Bunny,3,Spain,2020-05-01,2020-05-08,Negative,https://genius.com/Bad-bunny-jowell-and-randy-and-nengo-flow-safaera-lyrics
Dime Bbsita,Robledo,4,Spain,2020-05-01,2020-05-08,Negative,https://genius.com/Robledo-and-alex-martini-dime-bbsita-lyrics
Amarillo,J Balvin,5,Spain,2020-05-01,2020-05-08,Negative,https://genius.com/J-balvin-amarillo-lyrics
PORFA,Feid,6,Spain,2020-05-01,2020-05-08,Negative,https://genius.com/Feid-and-justin-quiles-porfa-lyrics
Favorito,Camilo,7,Spain,2020-05-01,2020-05-08,Negative,https://genius.com/Camilo-favorito-lyrics
Sola &amp; Vacía,Casper Magico,8,Spain,2020-05-01,2020-05-08,could not determine analysis,
4 besos,Lola Indigo,9,Spain,2020-05-01,2020-05-08,Negative,https://genius.com/Lola-indigo-rauw-alejandro-and-lalo-ebratt-4-besos-lyrics
Tusa,KAROL G,10,Spain,2020-05-01,2020-05-08,Negative,https://genius.com/Karol-g-and-nicki-minaj-tusa-lyrics
Yo Perreo Sola,Bad Bunny,11,Spain,2020-05-01,2020-05-08,Negative,https://genius.com/Bad-bunny-yo-perreo-sola-lyrics
Rojo,J Balvin,12,Spain,2020-05-01,2020-05-08,Neutral,https://genius.com/J-balvin-rojo-lyrics
Una Mala (Remix),El Completo Rd,13,Spain,2020-05-01,2020-05-08,Negative,https://genius.com/El-completo-rd-una-mala-remix-annotated
Loco,Beéle,14,Spain,2020-05-01,2020-05-08,Positive,https://genius.com/Beele-loco-lyrics
PAM,Justin Quiles,15,Spain,2020-05-01,2020-05-08,Negative,https://genius.com/Justin-quiles-daddy-yankee-and-el-alfa-pam-lyrics
Tattoo,Rauw Alejandro,16,Spain,2020-05-01,2020-05-08,Negative,https://genius.com/Rauw-alejandro-tattoo-lyrics
La Difícil,Bad Bunny,17,Spain,2020-05-01,2020-05-08,Negative,https://genius.com/Bad-bunny-la-dificil-lyrics
Tu Eres Un Bom Bom - Remix,Kafu Banton,18,Spain,2020-05-01,2020-05-08,Negative,https://genius.com/Kafu-banton-and-bad-gyal-tu-eres-un-bom-bom-remix-lyrics
Se iluminaba,Fred De Palma,19,Spain,2020-05-01,2020-05-08,Negative,https://genius.com/Fred-de-palma-se-iluminaba-lyrics
Diosa,Myke Towers,20,Spain,2020-05-01,2020-05-08,Negative,https://genius.com/Myke-towers-diosa-lyrics
PA' ROMPERLA,Bad Bunny,1,Spain,2020-05-08,2020-05-15,Negative,https://genius.com/Bad-bunny-and-don-omar-pa-romperla-lyrics
Nunca Estoy,C. Tangana,2,Spain,2020-05-08,2020-05-15,Negative,https://genius.com/C-tangana-nunca-estoy-lyrics
MÁS DE UNA CITA,Bad Bunny,3,Spain,2020-05-08,2020-05-15,Negative,https://genius.com/Bad-bunny-and-zion-and-lennox-mas-de-una-cita-lyrics
Favorito,Camilo,4,Spain,2020-05-08,2020-05-15,Negative,https://genius.com/Camilo-favorito-lyrics
Mil Tequilas,Chema Rivas,5,Spain,2020-05-08,2020-05-15,Negative,https://genius.com/Chema-rivas-esp-mil-tequilas-lyrics
PAM,Justin Quiles,6,Spain,2020-05-08,2020-05-15,Negative,https://genius.com/Justin-quiles-daddy-yankee-and-el-alfa-pam-lyrics
Safaera,Bad Bunny,7,Spain,2020-05-08,2020-05-15,Negative,https://genius.com/Bad-bunny-jowell-and-randy-and-nengo-flow-safaera-lyrics
PORFA,Feid,8,Spain,2020-05-08,2020-05-15,Negative,https://genius.com/Feid-and-justin-quiles-porfa-lyrics
Amarillo,J Balvin,9,Spain,2020-05-08,2020-05-15,Negative,https://genius.com/J-balvin-amarillo-lyrics
Dime Bbsita,Robledo,10,Spain,2020-05-08,2020-05-15,Negative,https://genius.com/Robledo-and-alex-martini-dime-bbsita-lyrics
BAD CON NICKY,Bad Bunny,11,Spain,2020-05-08,2020-05-15,Negative,https://genius.com/Bad-bunny-and-nicky-jam-bad-con-nicky-lyrics
Sola &amp; Vacía,Casper Magico,12,Spain,2020-05-08,2020-05-15,could not determine analysis,
CÓMO SE SIENTE - Remix,Jhay Cortez,13,Spain,2020-05-08,2020-05-15,Negative,https://genius.com/Jhay-cortez-and-bad-bunny-como-se-siente-remix-lyrics
