song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
ฝนตกไหม,Three Man Down,1,Thailand,2020-01-24,2020-01-31,could not determine analysis,
Psycho,Red Velvet,2,Thailand,2020-01-24,2020-01-31,Positive,https://genius.com/Red-velvet-psycho-lyrics
Yummy,Justin Bieber,3,Thailand,2020-01-24,2020-01-31,Positive,https://genius.com/Justin-bieber-yummy-lyrics
ลงใจ,BOWKYLION,4,Thailand,2020-01-24,2020-01-31,Neutral,https://genius.com/Bowkylion-longjai-lyrics
รักได้ป่าว,Gavin D,5,Thailand,2020-01-24,2020-01-31,could not determine analysis,
ทิ้งแต่เก็บ - เพลงประกอบภาพยนตร์ ฮาวทูทิ้ง..ทิ้งอย่างไร ไม่ให้เหลือเธอ,The Toys,6,Thailand,2020-01-24,2020-01-31,could not determine analysis,
แอบดี (How to live without you),Stamp,7,Thailand,2020-01-24,2020-01-31,could not determine analysis,
ภาวนา,MEYOU,8,Thailand,2020-01-24,2020-01-31,could not determine analysis,
A Rocket to the Moon,Gavin D,9,Thailand,2020-01-24,2020-01-31,Positive,https://genius.com/Rebecca-st-james-we-dont-need-it-lyrics
ถ้าฉันเป็นเขา,Indigo,10,Thailand,2020-01-24,2020-01-31,Positive,https://genius.com/Indigo-th-tah-chun-bpen-kao-lyrics
Any song,ZICO,11,Thailand,2020-01-24,2020-01-31,Negative,https://genius.com/Zico-any-song-lyrics
หวง (You're Mine),Earth Patravee,12,Thailand,2020-01-24,2020-01-31,could not determine analysis,
เจ็บจนพอ,Wanyai,13,Thailand,2020-01-24,2020-01-31,could not determine analysis,
Señorita,Shawn Mendes,14,Thailand,2020-01-24,2020-01-31,Positive,https://genius.com/Shawn-mendes-and-camila-cabello-senorita-lyrics
พัง,Indigo,15,Thailand,2020-01-24,2020-01-31,could not determine analysis,
คำตอบ,Safeplanet,16,Thailand,2020-01-24,2020-01-31,could not determine analysis,
Memories,Maroon 5,17,Thailand,2020-01-24,2020-01-31,Positive,https://genius.com/Maroon-5-memories-lyrics
นี่ฉันเอง feat. KOB FLAT BOY,Lipta,18,Thailand,2020-01-24,2020-01-31,could not determine analysis,
รางวัลปลอบใจ,Zommarie,19,Thailand,2020-01-24,2020-01-31,could not determine analysis,
Black Swan,BTS,20,Thailand,2020-01-24,2020-01-31,Positive,https://genius.com/Bts-black-swan-lyrics
