song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
Blinding Lights,The Weeknd,1,United kingdom,2020-03-20,2020-03-27,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Roses - Imanbek Remix,SAINt JHN,2,United kingdom,2020-03-20,2020-03-27,Negative,https://genius.com/Saint-jhn-roses-imanbek-remix-lyrics
The Box,Roddy Ricch,3,United kingdom,2020-03-20,2020-03-27,Negative,https://genius.com/Roddy-ricch-the-box-lyrics
Say So,Doja Cat,4,United kingdom,2020-03-20,2020-03-27,Positive,https://genius.com/Doja-cat-say-so-lyrics
Rain,Aitch,5,United kingdom,2020-03-20,2020-03-27,Negative,https://genius.com/Aitch-and-aj-tracey-rain-lyrics
Don't Start Now,Dua Lipa,6,United kingdom,2020-03-20,2020-03-27,Negative,https://genius.com/Dua-lipa-dont-start-now-lyrics
Dance Monkey,Tones And I,7,United kingdom,2020-03-20,2020-03-27,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Lonely,Joel Corry,8,United kingdom,2020-03-20,2020-03-27,Negative,https://genius.com/Joel-corry-lonely-lyrics
Physical,Dua Lipa,9,United kingdom,2020-03-20,2020-03-27,Positive,https://genius.com/Dua-lipa-physical-lyrics
Intentions (feat. Quavo),Justin Bieber,10,United kingdom,2020-03-20,2020-03-27,Positive,https://genius.com/Justin-bieber-and-quavo-intentions-lyrics
Blueberry Faygo,Lil Mosey,11,United kingdom,2020-03-20,2020-03-27,Negative,https://genius.com/Lil-mosey-blueberry-faygo-lyrics
Before You Go,Lewis Capaldi,12,United kingdom,2020-03-20,2020-03-27,Negative,https://genius.com/Lewis-capaldi-before-you-go-lyrics
Adore You,Harry Styles,13,United kingdom,2020-03-20,2020-03-27,Positive,https://genius.com/Harry-styles-adore-you-lyrics
Own It (feat. Ed Sheeran &amp; Burna Boy),Stormzy,14,United kingdom,2020-03-20,2020-03-27,could not determine analysis,
In Your Eyes,The Weeknd,15,United kingdom,2020-03-20,2020-03-27,Negative,https://genius.com/The-weeknd-in-your-eyes-lyrics
death bed (coffee for your head) (feat. beabadoobee),Powfu,16,United kingdom,2020-03-20,2020-03-27,Positive,https://genius.com/Powfu-death-bed-coffee-for-your-head-lyrics
Godzilla (feat. Juice WRLD),Eminem,17,United kingdom,2020-03-20,2020-03-27,Neutral,https://genius.com/Mcdicon-russian-cover-godzilla-eminem-feat-juice-wrld-lyrics
Someone You Loved,Lewis Capaldi,18,United kingdom,2020-03-20,2020-03-27,Positive,https://genius.com/Lewis-capaldi-someone-you-loved-lyrics
Boyfriend,Mabel,19,United kingdom,2020-03-20,2020-03-27,Positive,https://genius.com/Mabel-boyfriend-lyrics
After Hours,The Weeknd,20,United kingdom,2020-03-20,2020-03-27,Negative,https://genius.com/The-weeknd-after-hours-lyrics
Blinding Lights,The Weeknd,1,United kingdom,2020-03-27,2020-04-03,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Roses - Imanbek Remix,SAINt JHN,2,United kingdom,2020-03-27,2020-04-03,Negative,https://genius.com/Saint-jhn-roses-imanbek-remix-lyrics
Physical,Dua Lipa,3,United kingdom,2020-03-27,2020-04-03,Positive,https://genius.com/Dua-lipa-physical-lyrics
Don't Start Now,Dua Lipa,4,United kingdom,2020-03-27,2020-04-03,Negative,https://genius.com/Dua-lipa-dont-start-now-lyrics
The Box,Roddy Ricch,5,United kingdom,2020-03-27,2020-04-03,Negative,https://genius.com/Roddy-ricch-the-box-lyrics
Break My Heart,Dua Lipa,6,United kingdom,2020-03-27,2020-04-03,Positive,https://genius.com/Dua-lipa-break-my-heart-lyrics
Blueberry Faygo,Lil Mosey,7,United kingdom,2020-03-27,2020-04-03,Negative,https://genius.com/Lil-mosey-blueberry-faygo-lyrics
Say So,Doja Cat,8,United kingdom,2020-03-27,2020-04-03,Positive,https://genius.com/Doja-cat-say-so-lyrics
death bed (coffee for your head) (feat. beabadoobee),Powfu,9,United kingdom,2020-03-27,2020-04-03,Positive,https://genius.com/Powfu-death-bed-coffee-for-your-head-lyrics
BELIEVE IT,PARTYNEXTDOOR,10,United kingdom,2020-03-27,2020-04-03,Positive,https://genius.com/Partynextdoor-and-rihanna-believe-it-lyrics
Dance Monkey,Tones And I,11,United kingdom,2020-03-27,2020-04-03,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Intentions (feat. Quavo),Justin Bieber,12,United kingdom,2020-03-27,2020-04-03,Positive,https://genius.com/Justin-bieber-and-quavo-intentions-lyrics
Lonely,Joel Corry,13,United kingdom,2020-03-27,2020-04-03,Negative,https://genius.com/Joel-corry-lonely-lyrics
Before You Go,Lewis Capaldi,14,United kingdom,2020-03-27,2020-04-03,Negative,https://genius.com/Lewis-capaldi-before-you-go-lyrics
Rain,Aitch,15,United kingdom,2020-03-27,2020-04-03,Negative,https://genius.com/Aitch-and-aj-tracey-rain-lyrics
Boyfriend,Mabel,16,United kingdom,2020-03-27,2020-04-03,Positive,https://genius.com/Mabel-boyfriend-lyrics
Adore You,Harry Styles,17,United kingdom,2020-03-27,2020-04-03,Positive,https://genius.com/Harry-styles-adore-you-lyrics
Waze,Skepta,18,United kingdom,2020-03-27,2020-04-03,Negative,https://genius.com/Skepta-chip-and-young-adz-waze-lyrics
Own It (feat. Ed Sheeran &amp; Burna Boy),Stormzy,19,United kingdom,2020-03-27,2020-04-03,could not determine analysis,
Someone You Loved,Lewis Capaldi,20,United kingdom,2020-03-27,2020-04-03,Positive,https://genius.com/Lewis-capaldi-someone-you-loved-lyrics
Toosie Slide,Drake,1,United kingdom,2020-04-03,2020-04-10,Positive,https://genius.com/Drake-toosie-slide-lyrics
Blinding Lights,The Weeknd,2,United kingdom,2020-04-03,2020-04-10,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Roses - Imanbek Remix,SAINt JHN,3,United kingdom,2020-04-03,2020-04-10,Negative,https://genius.com/Saint-jhn-roses-imanbek-remix-lyrics
Blueberry Faygo,Lil Mosey,4,United kingdom,2020-04-03,2020-04-10,Negative,https://genius.com/Lil-mosey-blueberry-faygo-lyrics
Don't Start Now,Dua Lipa,5,United kingdom,2020-04-03,2020-04-10,Negative,https://genius.com/Dua-lipa-dont-start-now-lyrics
The Box,Roddy Ricch,6,United kingdom,2020-04-03,2020-04-10,Negative,https://genius.com/Roddy-ricch-the-box-lyrics
Physical,Dua Lipa,7,United kingdom,2020-04-03,2020-04-10,Positive,https://genius.com/Dua-lipa-physical-lyrics
death bed (coffee for your head) (feat. beabadoobee),Powfu,8,United kingdom,2020-04-03,2020-04-10,Positive,https://genius.com/Powfu-death-bed-coffee-for-your-head-lyrics
Break My Heart,Dua Lipa,9,United kingdom,2020-04-03,2020-04-10,Positive,https://genius.com/Dua-lipa-break-my-heart-lyrics
Say So,Doja Cat,10,United kingdom,2020-04-03,2020-04-10,Positive,https://genius.com/Doja-cat-say-so-lyrics
Dance Monkey,Tones And I,11,United kingdom,2020-04-03,2020-04-10,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Lonely,Joel Corry,12,United kingdom,2020-04-03,2020-04-10,Negative,https://genius.com/Joel-corry-lonely-lyrics
Intentions (feat. Quavo),Justin Bieber,13,United kingdom,2020-04-03,2020-04-10,Positive,https://genius.com/Justin-bieber-and-quavo-intentions-lyrics
Boyfriend,Mabel,14,United kingdom,2020-04-03,2020-04-10,Positive,https://genius.com/Mabel-boyfriend-lyrics
Before You Go,Lewis Capaldi,15,United kingdom,2020-04-03,2020-04-10,Negative,https://genius.com/Lewis-capaldi-before-you-go-lyrics
BELIEVE IT,PARTYNEXTDOOR,16,United kingdom,2020-04-03,2020-04-10,Positive,https://genius.com/Partynextdoor-and-rihanna-believe-it-lyrics
Rain,Aitch,17,United kingdom,2020-04-03,2020-04-10,Negative,https://genius.com/Aitch-and-aj-tracey-rain-lyrics
Someone You Loved,Lewis Capaldi,18,United kingdom,2020-04-03,2020-04-10,Positive,https://genius.com/Lewis-capaldi-someone-you-loved-lyrics
Flowers (feat. Jaykae),Nathan Dawe,19,United kingdom,2020-04-03,2020-04-10,Negative,https://genius.com/Nathan-dawe-flowers-lyrics
Supalonely,BENEE,20,United kingdom,2020-04-03,2020-04-10,Negative,https://genius.com/Benee-supalonely-lyrics
Blinding Lights,The Weeknd,1,United kingdom,2020-04-10,2020-04-17,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Toosie Slide,Drake,2,United kingdom,2020-04-10,2020-04-17,Positive,https://genius.com/Drake-toosie-slide-lyrics
Roses - Imanbek Remix,SAINt JHN,3,United kingdom,2020-04-10,2020-04-17,Negative,https://genius.com/Saint-jhn-roses-imanbek-remix-lyrics
Blueberry Faygo,Lil Mosey,4,United kingdom,2020-04-10,2020-04-17,Negative,https://genius.com/Lil-mosey-blueberry-faygo-lyrics
death bed (coffee for your head) (feat. beabadoobee),Powfu,5,United kingdom,2020-04-10,2020-04-17,Positive,https://genius.com/Powfu-death-bed-coffee-for-your-head-lyrics
Say So,Doja Cat,6,United kingdom,2020-04-10,2020-04-17,Positive,https://genius.com/Doja-cat-say-so-lyrics
The Box,Roddy Ricch,7,United kingdom,2020-04-10,2020-04-17,Negative,https://genius.com/Roddy-ricch-the-box-lyrics
Don't Start Now,Dua Lipa,8,United kingdom,2020-04-10,2020-04-17,Negative,https://genius.com/Dua-lipa-dont-start-now-lyrics
Physical,Dua Lipa,9,United kingdom,2020-04-10,2020-04-17,Positive,https://genius.com/Dua-lipa-physical-lyrics
Break My Heart,Dua Lipa,10,United kingdom,2020-04-10,2020-04-17,Positive,https://genius.com/Dua-lipa-break-my-heart-lyrics
