song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
Blinding Lights,The Weeknd,1,United states,2020-03-20,2020-03-27,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
The Box,Roddy Ricch,2,United states,2020-03-20,2020-03-27,Negative,https://genius.com/Roddy-ricch-the-box-lyrics
In Your Eyes,The Weeknd,3,United states,2020-03-20,2020-03-27,Negative,https://genius.com/The-weeknd-in-your-eyes-lyrics
After Hours,The Weeknd,4,United states,2020-03-20,2020-03-27,Negative,https://genius.com/The-weeknd-after-hours-lyrics
Blueberry Faygo,Lil Mosey,5,United states,2020-03-20,2020-03-27,Negative,https://genius.com/Lil-mosey-blueberry-faygo-lyrics
Heartless,The Weeknd,6,United states,2020-03-20,2020-03-27,Negative,https://genius.com/The-weeknd-heartless-lyrics
Alone Again,The Weeknd,7,United states,2020-03-20,2020-03-27,Negative,https://genius.com/The-weeknd-alone-again-lyrics
Scared To Live,The Weeknd,8,United states,2020-03-20,2020-03-27,Positive,https://genius.com/The-weeknd-scared-to-live-lyrics
Hardest To Love,The Weeknd,9,United states,2020-03-20,2020-03-27,could not determine analysis,
Too Late,The Weeknd,10,United states,2020-03-20,2020-03-27,Positive,https://genius.com/The-weeknd-too-late-lyrics
Save Your Tears,The Weeknd,11,United states,2020-03-20,2020-03-27,Positive,https://genius.com/The-weeknd-save-your-tears-lyrics
Say So,Doja Cat,12,United states,2020-03-20,2020-03-27,Positive,https://genius.com/Doja-cat-say-so-lyrics
Snowchild,The Weeknd,13,United states,2020-03-20,2020-03-27,Negative,https://genius.com/The-weeknd-snowchild-lyrics
Escape From LA,The Weeknd,14,United states,2020-03-20,2020-03-27,Negative,https://genius.com/The-weeknd-escape-from-la-lyrics
Faith,The Weeknd,15,United states,2020-03-20,2020-03-27,Positive,https://genius.com/The-weeknd-faith-lyrics
WHATS POPPIN,Jack Harlow,16,United states,2020-03-20,2020-03-27,Negative,https://genius.com/Jack-harlow-whats-poppin-lyrics
Intentions (feat. Quavo),Justin Bieber,17,United states,2020-03-20,2020-03-27,Positive,https://genius.com/Justin-bieber-and-quavo-intentions-lyrics
Don't Start Now,Dua Lipa,18,United states,2020-03-20,2020-03-27,Negative,https://genius.com/Dua-lipa-dont-start-now-lyrics
High Fashion (feat. Mustard),Roddy Ricch,19,United states,2020-03-20,2020-03-27,Negative,https://genius.com/Genius-traductions-francaises-roddy-ricch-high-fashion-ft-mustard-traduction-francaise-lyrics
ROXANNE,Arizona Zervas,20,United states,2020-03-20,2020-03-27,Positive,https://genius.com/Arizona-zervas-roxanne-lyrics
Blinding Lights,The Weeknd,1,United states,2020-03-27,2020-04-03,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
The Box,Roddy Ricch,2,United states,2020-03-27,2020-04-03,Negative,https://genius.com/Roddy-ricch-the-box-lyrics
