song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
Lối Nhỏ,Đen,1,Vietnam,2019-11-29,2019-12-06,Neutral,https://genius.com/En-loi-nho-lyrics
Memories,Maroon 5,2,Vietnam,2019-11-29,2019-12-06,Positive,https://genius.com/Maroon-5-memories-lyrics
Señorita,Shawn Mendes,3,Vietnam,2019-11-29,2019-12-06,Positive,https://genius.com/Shawn-mendes-and-camila-cabello-senorita-lyrics
Dance Monkey,Tones And I,4,Vietnam,2019-11-29,2019-12-06,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Em Day Chang Phai Thuy Kieu,Hoang Thuy Linh,5,Vietnam,2019-11-29,2019-12-06,Positive,https://genius.com/Phuc-du-ruou-phat-lyrics
Bài Này Chill Phết,Đen,6,Vietnam,2019-11-29,2019-12-06,Positive,https://genius.com/En-bai-nay-chill-phet-lyrics
everything i wanted,Billie Eilish,7,Vietnam,2019-11-29,2019-12-06,Negative,https://genius.com/Billie-eilish-everything-i-wanted-lyrics
Đi Đu Đưa Đi,Bich Phuong,8,Vietnam,2019-11-29,2019-12-06,Positive,https://genius.com/Bich-phuong-i-u-ua-i-lyrics
Có Người,Vu Cat Tuong,9,Vietnam,2019-11-29,2019-12-06,Negative,https://genius.com/Vu-cat-tuong-co-nguoi-someone-lyrics
Hãy Trao Cho Anh,Sơn Tùng M-TP,10,Vietnam,2019-11-29,2019-12-06,Positive,https://genius.com/Son-tung-m-tp-hay-trao-cho-anh-lyrics
I'm Still Loving You,Noo Phước Thịnh,11,Vietnam,2019-11-29,2019-12-06,Positive,https://genius.com/Noo-phuoc-thinh-im-still-loving-you-lyrics
LẦN CUỐI (đi bên em xót xa người ơi),Ngọt,12,Vietnam,2019-11-29,2019-12-06,Negative,https://genius.com/Ngot-lan-cuoi-i-ben-em-xot-xa-nguoi-oi-lyrics
De Mi Noi Cho Ma Nghe,Hoang Thuy Linh,13,Vietnam,2019-11-29,2019-12-06,Positive,https://genius.com/Justatee-lam-gi-phai-hot-lyrics
bad guy,Billie Eilish,14,Vietnam,2019-11-29,2019-12-06,Negative,https://genius.com/Billie-eilish-bad-guy-lyrics
Duyen Am,Hoang Thuy Linh,15,Vietnam,2019-11-29,2019-12-06,Neutral,https://genius.com/Hoang-thuy-linh-duyen-am-love-of-ghosts-lyrics
Can We Kiss Forever?,Kina,16,Vietnam,2019-11-29,2019-12-06,Negative,https://genius.com/Kina-can-we-kiss-forever-lyrics
I Love You 3000,Stephanie Poetri,17,Vietnam,2019-11-29,2019-12-06,Positive,https://genius.com/Stephanie-poetri-i-love-you-3000-lyrics
Let Me Down Slowly,Alec Benjamin,18,Vietnam,2019-11-29,2019-12-06,Positive,https://genius.com/Alec-benjamin-let-me-down-slowly-lyrics
"10,000 Hours (with Justin Bieber)",Dan + Shay,19,Vietnam,2019-11-29,2019-12-06,Positive,https://genius.com/Spotify-new-music-friday-10-04-19-annotated
7 rings,Ariana Grande,20,Vietnam,2019-11-29,2019-12-06,Positive,https://genius.com/Ariana-grande-7-rings-lyrics
Lối Nhỏ,Đen,1,Vietnam,2019-12-06,2019-12-13,Neutral,https://genius.com/En-loi-nho-lyrics
Señorita,Shawn Mendes,2,Vietnam,2019-12-06,2019-12-13,Positive,https://genius.com/Shawn-mendes-and-camila-cabello-senorita-lyrics
Memories,Maroon 5,3,Vietnam,2019-12-06,2019-12-13,Positive,https://genius.com/Maroon-5-memories-lyrics
Dance Monkey,Tones And I,4,Vietnam,2019-12-06,2019-12-13,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
SUGA's Interlude,Halsey,5,Vietnam,2019-12-06,2019-12-13,Positive,https://genius.com/Halsey-suga-and-bts-sugas-interlude-lyrics
Mascara,Chillies,6,Vietnam,2019-12-06,2019-12-13,Neutral,https://genius.com/Chillies-mascara-lyrics
Bài Này Chill Phết,Đen,7,Vietnam,2019-12-06,2019-12-13,Positive,https://genius.com/En-bai-nay-chill-phet-lyrics
Hãy Trao Cho Anh,Sơn Tùng M-TP,8,Vietnam,2019-12-06,2019-12-13,Positive,https://genius.com/Son-tung-m-tp-hay-trao-cho-anh-lyrics
Em Day Chang Phai Thuy Kieu,Hoang Thuy Linh,9,Vietnam,2019-12-06,2019-12-13,Positive,https://genius.com/Phuc-du-ruou-phat-lyrics
Đi Đu Đưa Đi,Bich Phuong,10,Vietnam,2019-12-06,2019-12-13,Positive,https://genius.com/Bich-phuong-i-u-ua-i-lyrics
bad guy,Billie Eilish,11,Vietnam,2019-12-06,2019-12-13,Negative,https://genius.com/Billie-eilish-bad-guy-lyrics
7 rings,Ariana Grande,12,Vietnam,2019-12-06,2019-12-13,Positive,https://genius.com/Ariana-grande-7-rings-lyrics
everything i wanted,Billie Eilish,13,Vietnam,2019-12-06,2019-12-13,Negative,https://genius.com/Billie-eilish-everything-i-wanted-lyrics
Let Me Down Slowly,Alec Benjamin,14,Vietnam,2019-12-06,2019-12-13,Positive,https://genius.com/Alec-benjamin-let-me-down-slowly-lyrics
LẦN CUỐI (đi bên em xót xa người ơi),Ngọt,15,Vietnam,2019-12-06,2019-12-13,Negative,https://genius.com/Ngot-lan-cuoi-i-ben-em-xot-xa-nguoi-oi-lyrics
Thanh Xuan,Da LAB,16,Vietnam,2019-12-06,2019-12-13,Negative,https://genius.com/Dalab-thanh-xuan-lyrics
Can We Kiss Forever?,Kina,17,Vietnam,2019-12-06,2019-12-13,Negative,https://genius.com/Kina-can-we-kiss-forever-lyrics
De Mi Noi Cho Ma Nghe,Hoang Thuy Linh,18,Vietnam,2019-12-06,2019-12-13,Positive,https://genius.com/Justatee-lam-gi-phai-hot-lyrics
Có Người,Vu Cat Tuong,19,Vietnam,2019-12-06,2019-12-13,Negative,https://genius.com/Vu-cat-tuong-co-nguoi-someone-lyrics
I Love You 3000,Stephanie Poetri,20,Vietnam,2019-12-06,2019-12-13,Positive,https://genius.com/Stephanie-poetri-i-love-you-3000-lyrics
Lối Nhỏ,Đen,1,Vietnam,2019-12-13,2019-12-20,Neutral,https://genius.com/En-loi-nho-lyrics
Señorita,Shawn Mendes,2,Vietnam,2019-12-13,2019-12-20,Positive,https://genius.com/Shawn-mendes-and-camila-cabello-senorita-lyrics
Dance Monkey,Tones And I,3,Vietnam,2019-12-13,2019-12-20,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Memories,Maroon 5,4,Vietnam,2019-12-13,2019-12-20,Positive,https://genius.com/Maroon-5-memories-lyrics
Bài Này Chill Phết,Đen,5,Vietnam,2019-12-13,2019-12-20,Positive,https://genius.com/En-bai-nay-chill-phet-lyrics
Hãy Trao Cho Anh,Sơn Tùng M-TP,6,Vietnam,2019-12-13,2019-12-20,Positive,https://genius.com/Son-tung-m-tp-hay-trao-cho-anh-lyrics
Em Day Chang Phai Thuy Kieu,Hoang Thuy Linh,7,Vietnam,2019-12-13,2019-12-20,Positive,https://genius.com/Phuc-du-ruou-phat-lyrics
Mascara,Chillies,8,Vietnam,2019-12-13,2019-12-20,Neutral,https://genius.com/Chillies-mascara-lyrics
Đi Đu Đưa Đi,Bich Phuong,9,Vietnam,2019-12-13,2019-12-20,Positive,https://genius.com/Bich-phuong-i-u-ua-i-lyrics
everything i wanted,Billie Eilish,10,Vietnam,2019-12-13,2019-12-20,Negative,https://genius.com/Billie-eilish-everything-i-wanted-lyrics
bad guy,Billie Eilish,11,Vietnam,2019-12-13,2019-12-20,Negative,https://genius.com/Billie-eilish-bad-guy-lyrics
7 rings,Ariana Grande,12,Vietnam,2019-12-13,2019-12-20,Positive,https://genius.com/Ariana-grande-7-rings-lyrics
Let Me Down Slowly,Alec Benjamin,13,Vietnam,2019-12-13,2019-12-20,Positive,https://genius.com/Alec-benjamin-let-me-down-slowly-lyrics
Can We Kiss Forever?,Kina,14,Vietnam,2019-12-13,2019-12-20,Negative,https://genius.com/Kina-can-we-kiss-forever-lyrics
De Mi Noi Cho Ma Nghe,Hoang Thuy Linh,15,Vietnam,2019-12-13,2019-12-20,Positive,https://genius.com/Justatee-lam-gi-phai-hot-lyrics
Thanh Xuan,Da LAB,16,Vietnam,2019-12-13,2019-12-20,Negative,https://genius.com/Dalab-thanh-xuan-lyrics
LẦN CUỐI (đi bên em xót xa người ơi),Ngọt,17,Vietnam,2019-12-13,2019-12-20,Negative,https://genius.com/Ngot-lan-cuoi-i-ben-em-xot-xa-nguoi-oi-lyrics
Có Người,Vu Cat Tuong,18,Vietnam,2019-12-13,2019-12-20,Negative,https://genius.com/Vu-cat-tuong-co-nguoi-someone-lyrics
I Love You 3000,Stephanie Poetri,19,Vietnam,2019-12-13,2019-12-20,Positive,https://genius.com/Stephanie-poetri-i-love-you-3000-lyrics
Duyen Am,Hoang Thuy Linh,20,Vietnam,2019-12-13,2019-12-20,Neutral,https://genius.com/Hoang-thuy-linh-duyen-am-love-of-ghosts-lyrics
Psycho,Red Velvet,1,Vietnam,2019-12-20,2019-12-27,Positive,https://genius.com/Red-velvet-psycho-lyrics
Dance Monkey,Tones And I,2,Vietnam,2019-12-20,2019-12-27,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Duyen Am,Hoang Thuy Linh,3,Vietnam,2019-12-20,2019-12-27,Neutral,https://genius.com/Hoang-thuy-linh-duyen-am-love-of-ghosts-lyrics
Lối Nhỏ,Đen,4,Vietnam,2019-12-20,2019-12-27,Neutral,https://genius.com/En-loi-nho-lyrics
Có Chàng Trai Viết Lên Cây,Phan Mạnh Quỳnh,5,Vietnam,2019-12-20,2019-12-27,Neutral,https://genius.com/Phan-manh-quynh-co-chang-trai-viet-len-cay-lyrics
Señorita,Shawn Mendes,6,Vietnam,2019-12-20,2019-12-27,Positive,https://genius.com/Shawn-mendes-and-camila-cabello-senorita-lyrics
Memories,Maroon 5,7,Vietnam,2019-12-20,2019-12-27,Positive,https://genius.com/Maroon-5-memories-lyrics
Em Day Chang Phai Thuy Kieu,Hoang Thuy Linh,8,Vietnam,2019-12-20,2019-12-27,Positive,https://genius.com/Phuc-du-ruou-phat-lyrics
Mascara,Chillies,9,Vietnam,2019-12-20,2019-12-27,Neutral,https://genius.com/Chillies-mascara-lyrics
Bài Này Chill Phết,Đen,10,Vietnam,2019-12-20,2019-12-27,Positive,https://genius.com/En-bai-nay-chill-phet-lyrics
Hãy Trao Cho Anh,Sơn Tùng M-TP,11,Vietnam,2019-12-20,2019-12-27,Positive,https://genius.com/Son-tung-m-tp-hay-trao-cho-anh-lyrics
De Mi Noi Cho Ma Nghe,Hoang Thuy Linh,12,Vietnam,2019-12-20,2019-12-27,Positive,https://genius.com/Justatee-lam-gi-phai-hot-lyrics
Đi Đu Đưa Đi,Bich Phuong,13,Vietnam,2019-12-20,2019-12-27,Positive,https://genius.com/Bich-phuong-i-u-ua-i-lyrics
everything i wanted,Billie Eilish,14,Vietnam,2019-12-20,2019-12-27,Negative,https://genius.com/Billie-eilish-everything-i-wanted-lyrics
bad guy,Billie Eilish,15,Vietnam,2019-12-20,2019-12-27,Negative,https://genius.com/Billie-eilish-bad-guy-lyrics
7 rings,Ariana Grande,16,Vietnam,2019-12-20,2019-12-27,Positive,https://genius.com/Ariana-grande-7-rings-lyrics
Lam Moi Toi Ngoi Khong,Hoang Thuy Linh,17,Vietnam,2019-12-20,2019-12-27,Negative,https://genius.com/Hoang-thuy-linh-lam-moi-toi-ngoi-khong-run-after-two-hares-catch-none-lyrics
Let Me Down Slowly,Alec Benjamin,18,Vietnam,2019-12-20,2019-12-27,Positive,https://genius.com/Alec-benjamin-let-me-down-slowly-lyrics
Can We Kiss Forever?,Kina,19,Vietnam,2019-12-20,2019-12-27,Negative,https://genius.com/Kina-can-we-kiss-forever-lyrics
Thanh Xuan,Da LAB,20,Vietnam,2019-12-20,2019-12-27,Negative,https://genius.com/Dalab-thanh-xuan-lyrics
