Negative,Positive,Neutral,Start Date,End Date,Total cases
14,4,0,2019-11-29,2019-12-06,0
14,3,1,2019-12-06,2019-12-13,0
14,3,1,2019-12-13,2019-12-20,0
13,4,1,2019-12-20,2019-12-27,0
13,4,1,2019-12-27,2020-01-03,0
13,4,1,2020-01-03,2020-01-10,0
13,4,1,2020-01-10,2020-01-17,0
14,3,1,2020-01-17,2020-01-24,0
13,4,1,2020-01-24,2020-01-31,0
14,3,1,2020-01-31,2020-02-07,0
13,4,1,2020-02-07,2020-02-14,0
14,3,1,2020-02-14,2020-02-21,0
14,4,1,2020-02-21,2020-02-28,0
18,0,2,2020-02-28,2020-03-06,0
18,0,2,2020-03-06,2020-03-13,0
18,0,2,2020-03-13,2020-03-20,6
18,0,2,2020-03-20,2020-03-27,24
18,0,2,2020-03-27,2020-04-03,39
19,0,1,2020-04-03,2020-04-10,87
19,0,1,2020-04-10,2020-04-17,180
18,1,1,2020-04-17,2020-04-24,316
19,0,1,2020-04-24,2020-05-01,557
18,1,1,2020-05-01,2020-05-08,763
17,2,1,2020-05-08,2020-05-15,1199
