Negative,Positive,Neutral,Start Date,End Date,Total cases
4,6,9,2019-11-29,2019-12-06,0
4,7,8,2019-12-06,2019-12-13,0
4,8,7,2019-12-13,2019-12-20,0
4,6,9,2019-12-20,2019-12-27,0
4,7,8,2019-12-27,2020-01-03,0
4,6,9,2020-01-03,2020-01-10,0
5,7,7,2020-01-10,2020-01-17,0
4,6,9,2020-01-17,2020-01-24,0
5,5,9,2020-01-24,2020-01-31,0
6,5,8,2020-01-31,2020-02-07,0
6,5,9,2020-02-07,2020-02-14,0
7,6,7,2020-02-14,2020-02-21,0
6,4,9,2020-02-21,2020-02-28,2
5,4,10,2020-02-28,2020-03-06,15
5,4,11,2020-03-06,2020-03-13,79
3,5,12,2020-03-13,2020-03-20,304
5,5,10,2020-03-20,2020-03-27,2369
6,6,8,2020-03-27,2020-04-03,6092
5,6,8,2020-04-03,2020-04-10,9404
5,7,8,2020-04-10,2020-04-17,12501
5,8,7,2020-04-17,2020-04-24,14498
6,7,7,2020-04-24,2020-05-01,15834
5,8,7,2020-05-01,2020-05-08,16310
7,7,6,2020-05-08,2020-05-15,16548
