Negative,Positive,Neutral,Start Date,End Date,Total cases
10,5,1,2019-11-29,2019-12-06,0
10,6,1,2019-12-06,2019-12-13,0
9,7,1,2019-12-13,2019-12-20,0
7,9,1,2019-12-20,2019-12-27,0
8,7,1,2019-12-27,2020-01-03,0
10,5,1,2020-01-03,2020-01-10,0
10,6,1,2020-01-10,2020-01-17,0
8,7,2,2020-01-17,2020-01-24,0
8,7,2,2020-01-24,2020-01-31,0
10,6,1,2020-01-31,2020-02-07,2
10,4,4,2020-02-07,2020-02-14,3
13,2,3,2020-02-14,2020-02-21,3
13,2,3,2020-02-21,2020-02-28,453
11,2,3,2020-02-28,2020-03-06,3089
9,3,2,2020-03-06,2020-03-13,12462
11,2,3,2020-03-13,2020-03-20,35713
10,4,3,2020-03-20,2020-03-27,74386
9,4,3,2020-03-27,2020-04-03,110574
8,5,3,2020-04-03,2020-04-10,139422
8,5,2,2020-04-10,2020-04-17,165155
9,5,1,2020-04-17,2020-04-24,187327
8,8,1,2020-04-24,2020-05-01,203591
8,7,1,2020-05-01,2020-05-08,214457
9,5,0,2020-05-08,2020-05-15,222104
