Negative,Positive,Neutral,Start Date,End Date,Total cases
13,4,1,2019-11-29,2019-12-06,0
13,4,1,2019-12-06,2019-12-13,0
13,4,1,2019-12-13,2019-12-20,0
12,6,1,2019-12-20,2019-12-27,0
14,4,1,2019-12-27,2020-01-03,0
15,3,1,2020-01-03,2020-01-10,0
16,2,1,2020-01-10,2020-01-17,0
15,3,1,2020-01-17,2020-01-24,0
15,3,1,2020-01-24,2020-01-31,0
15,3,1,2020-01-31,2020-02-07,0
13,5,1,2020-02-07,2020-02-14,0
14,4,1,2020-02-14,2020-02-21,0
14,4,1,2020-02-21,2020-02-28,0
18,0,2,2020-02-28,2020-03-06,5
18,0,2,2020-03-06,2020-03-13,8
18,0,2,2020-03-13,2020-03-20,93
18,0,2,2020-03-20,2020-03-27,405
17,1,2,2020-03-27,2020-04-03,1215
17,1,2,2020-04-03,2020-04-10,2785
17,1,2,2020-04-10,2020-04-17,5399
17,1,2,2020-04-17,2020-04-24,9501
17,1,2,2020-04-24,2020-05-01,16752
17,2,1,2020-05-01,2020-05-08,26025
17,2,1,2020-05-08,2020-05-15,38324
