Negative,Positive,Neutral,Start Date,End Date,Total cases
6,12,1,2019-11-29,2019-12-06,0
4,13,1,2019-12-06,2019-12-13,0
3,12,2,2019-12-13,2019-12-20,0
2,10,3,2019-12-20,2019-12-27,0
4,11,2,2019-12-27,2020-01-03,0
7,10,2,2020-01-03,2020-01-10,0
6,11,2,2020-01-10,2020-01-17,0
9,8,2,2020-01-17,2020-01-24,0
6,11,2,2020-01-24,2020-01-31,0
5,12,2,2020-01-31,2020-02-07,0
4,12,2,2020-02-07,2020-02-14,0
5,10,2,2020-02-14,2020-02-21,0
6,10,2,2020-02-21,2020-02-28,0
5,11,2,2020-02-28,2020-03-06,0
5,11,2,2020-03-06,2020-03-13,13
5,10,2,2020-03-13,2020-03-20,116
8,8,2,2020-03-20,2020-03-27,709
7,9,2,2020-03-27,2020-04-03,1380
6,11,2,2020-04-03,2020-04-10,1845
7,10,2,2020-04-10,2020-04-17,2506
7,11,1,2020-04-17,2020-04-24,3635
6,13,1,2020-04-24,2020-05-01,5350
7,12,1,2020-05-01,2020-05-08,7808
8,11,1,2020-05-08,2020-05-15,12074
