Negative,Positive,Neutral,Start Date,End Date,Total cases
8,9,1,2019-11-29,2019-12-06,0
6,11,1,2019-12-06,2019-12-13,0
5,12,1,2019-12-13,2019-12-20,0
2,12,1,2019-12-20,2019-12-27,0
8,8,3,2019-12-27,2020-01-03,0
8,9,2,2020-01-03,2020-01-10,0
7,10,2,2020-01-10,2020-01-17,0
7,9,2,2020-01-17,2020-01-24,0
7,10,2,2020-01-24,2020-01-31,0
6,10,3,2020-01-31,2020-02-07,2
7,9,3,2020-02-07,2020-02-14,9
9,7,3,2020-02-14,2020-02-21,9
10,6,3,2020-02-21,2020-02-28,13
9,8,2,2020-02-28,2020-03-06,85
9,8,2,2020-03-06,2020-03-13,456
10,7,2,2020-03-13,2020-03-20,2626
10,7,2,2020-03-20,2020-03-27,9529
9,9,1,2020-03-27,2020-04-03,29474
10,9,1,2020-04-03,2020-04-10,60733
10,9,1,2020-04-10,2020-04-17,98476
11,8,1,2020-04-17,2020-04-24,133495
8,10,1,2020-04-24,2020-05-01,165221
8,10,1,2020-05-01,2020-05-08,201101
10,8,1,2020-05-08,2020-05-15,229705
