Negative,Positive,Neutral,Start Date,End Date,Total cases
5,13,1,2019-11-29,2019-12-06,0
5,13,1,2019-12-06,2019-12-13,0
6,13,1,2019-12-13,2019-12-20,0
3,14,1,2019-12-20,2019-12-27,0
8,8,2,2019-12-27,2020-01-03,0
9,9,2,2020-01-03,2020-01-10,0
9,10,1,2020-01-10,2020-01-17,0
9,9,2,2020-01-17,2020-01-24,1
10,7,2,2020-01-24,2020-01-31,5
8,9,2,2020-01-31,2020-02-07,11
9,8,2,2020-02-07,2020-02-14,12
11,6,2,2020-02-14,2020-02-21,13
11,7,2,2020-02-21,2020-02-28,57
13,7,0,2020-02-28,2020-03-06,149
11,8,0,2020-03-06,2020-03-13,1281
10,9,1,2020-03-13,2020-03-20,7783
12,7,0,2020-03-20,2020-03-27,65778
10,9,0,2020-03-27,2020-04-03,213372
9,10,0,2020-04-03,2020-04-10,429052
9,10,0,2020-04-10,2020-04-17,636350
10,9,0,2020-04-17,2020-04-24,837947
9,10,0,2020-04-24,2020-05-01,1037970
7,12,0,2020-05-01,2020-05-08,1223468
9,10,0,2020-05-08,2020-05-15,1389935
