Negative,Positive,Neutral,Start Date,End Date,Total cases
5,12,3,2019-11-29,2019-12-06,0
6,11,3,2019-12-06,2019-12-13,0
6,10,4,2019-12-13,2019-12-20,0
5,10,5,2019-12-20,2019-12-27,0
5,10,5,2019-12-27,2020-01-03,0
5,10,5,2020-01-03,2020-01-10,0
4,11,5,2020-01-10,2020-01-17,0
3,12,5,2020-01-17,2020-01-24,0
3,12,5,2020-01-24,2020-01-31,2
3,12,5,2020-01-31,2020-02-07,8
3,12,5,2020-02-07,2020-02-14,15
4,10,5,2020-02-14,2020-02-21,16
4,12,4,2020-02-21,2020-02-28,16
5,10,5,2020-02-28,2020-03-06,16
5,11,4,2020-03-06,2020-03-13,38
3,12,5,2020-03-13,2020-03-20,75
3,12,5,2020-03-20,2020-03-27,141
5,11,4,2020-03-27,2020-04-03,218
5,11,4,2020-04-03,2020-04-10,251
5,10,5,2020-04-10,2020-04-17,267
7,9,4,2020-04-17,2020-04-24,268
5,11,4,2020-04-24,2020-05-01,270
5,11,3,2020-05-01,2020-05-08,271
5,11,3,2020-05-08,2020-05-15,288
