Country Name,Num of Positive Month Songs,Num of Negative Month Songs,Num of Neutral Month Songs,Total cases
Italy,123,226,44,222104
United states,227,212,22,1389935
United kingdom,215,194,42,229705
Argentina,73,351,32,6879
Bulgaria,203,215,51,2069
Brazil,60,139,62,189157
Colombia,52,371,31,12930
Germany,117,322,25,174098
Spain,57,352,27,228691
France,122,318,25,178184
Guatemala,51,376,28,1199
Estonia,185,234,45,1751
India,127,61,116,78055
Japan,41,33,245,15968
Mexico,58,373,33,38324
Panama,80,352,18,8783
Thailand,134,34,43,3017
South afrika,259,138,43,12074
Vietnam,263,109,105,288
Israel,145,120,202,16548
China,231,157,63,84021
