Start Date,End Date,New cases,New Deaths,Total Cases,Total Deaths
2019-11-29,2019-12-05,0,0,0,0
2019-12-06,2019-12-12,0,0,0,0
2019-12-13,2019-12-19,0,0,0,0
2019-12-20,2019-12-26,0,0,0,0
2019-12-27,2020-01-02,0,0,0,0
2020-01-03,2020-01-09,0,0,0,0
2020-01-10,2020-01-16,0,0,0,0
2020-01-17,2020-01-23,0,0,0,0
2020-01-24,2020-01-30,5,0,5,0
2020-01-31,2020-02-06,1,0,6,0
2020-02-07,2020-02-13,5,0,11,0
2020-02-14,2020-02-20,1,1,12,1
2020-02-21,2020-02-27,6,1,18,2
2020-02-28,2020-03-05,250,2,288,4
2020-03-06,2020-03-12,1913,42,2293,48
2020-03-13,2020-03-19,6831,101,9124,149
2020-03-20,2020-03-26,14630,1089,25600,1333
2020-03-27,2020-04-02,28198,2345,57749,4043
2020-04-03,2020-04-09,54030,5489,113959,10887
2020-04-10,2020-04-16,15801,4960,134582,17188
2020-04-17,2020-04-23,10034,3432,157125,21373
2020-04-24,2020-04-30,7081,2232,166541,24121
2020-05-01,2020-05-07,6925,1402,174224,25812
2020-05-08,2020-05-14,3267,1087,178184,27077
