Start Date,End Date,New cases,New Deaths,Total Cases
2020-01-31,2020-02-06,8,0,12
2020-02-07,2020-02-13,4,0,16
2020-02-14,2020-02-20,0,0,16
2020-02-21,2020-02-27,11,0,27
2020-02-28,2020-03-05,216,0,262
2020-03-06,2020-03-12,1426,3,1908
2020-03-13,2020-03-19,10249,25,12327
2020-03-20,2020-03-26,22003,162,37323
2020-03-27,2020-04-02,33934,653,77872
2020-04-03,2020-04-09,28502,1242,113296
2020-04-10,2020-04-16,16572,1197,134753
2020-04-17,2020-04-23,12364,1198,150062
2020-04-24,2020-04-30,8068,830,161197
