Start Date,End Date,New cases,New Deaths,Total Cases,Total Deaths
2019-11-29,2019-12-05,0,0,0,0
2019-12-06,2019-12-12,0,0,0,0
2019-12-13,2019-12-19,0,0,0,0
2019-12-20,2019-12-26,0,0,0,0
2019-12-27,2020-01-02,0,0,0,0
2020-01-03,2020-01-09,0,0,0,0
2020-01-10,2020-01-16,0,0,0,0
2020-01-17,2020-01-23,0,0,0,0
2020-01-24,2020-01-30,0,0,0,0
2020-01-31,2020-02-06,2,0,2,0
2020-02-07,2020-02-13,1,0,3,0
2020-02-14,2020-02-20,0,0,3,0
2020-02-21,2020-02-27,450,12,453,12
2020-02-28,2020-03-05,2434,90,3089,107
2020-03-06,2020-03-12,8604,679,12462,827
2020-03-13,2020-03-19,23251,2151,35713,2978
2020-03-20,2020-03-26,33351,4098,74386,7503
2020-03-27,2020-04-02,29985,4940,110574,13155
2020-04-03,2020-04-09,24180,3754,139422,17669
2020-04-10,2020-04-16,21529,3366,165155,21645
2020-04-17,2020-04-23,18386,2915,187327,25085
2020-04-24,2020-04-30,13618,2133,203591,27682
2020-05-01,2020-05-07,8994,1717,214457,29684
2020-05-08,2020-05-14,6246,1148,222104,31106
