Start Date,End Date,New cases,New Deaths,Total Cases,Total Deaths
2019-11-29,2019-12-05,0,0,0,0
2019-12-06,2019-12-12,0,0,0,0
2019-12-13,2019-12-19,0,0,0,0
2019-12-20,2019-12-26,0,0,0,0
2019-12-27,2020-01-02,0,0,0,0
2020-01-03,2020-01-09,0,0,0,0
2020-01-10,2020-01-16,0,0,0,0
2020-01-17,2020-01-23,2,0,2,0
2020-01-24,2020-01-30,5,0,7,0
2020-01-31,2020-02-06,11,0,22,0
2020-02-07,2020-02-13,6,0,28,0
2020-02-14,2020-02-20,56,0,84,1
2020-02-21,2020-02-27,95,1,189,2
2020-02-28,2020-03-05,117,2,331,6
2020-03-06,2020-03-12,279,9,639,15
2020-03-13,2020-03-19,250,13,889,29
2020-03-20,2020-03-26,383,16,1307,45
2020-03-27,2020-04-02,791,10,2178,57
2020-04-03,2020-04-09,1640,30,4257,93
2020-04-10,2020-04-16,3433,52,8100,146
2020-04-17,2020-04-23,2886,103,11512,281
2020-04-24,2020-04-30,1786,95,13736,394
2020-05-01,2020-05-07,1288,131,15253,556
2020-05-08,2020-05-14,491,80,15968,657
