Start Date,End Date,New cases,New Deaths,Total Cases,Total Deaths
2019-11-29,2019-12-05,0,0,0,0
2019-12-06,2019-12-12,0,0,0,0
2019-12-13,2019-12-19,0,0,0,0
2019-12-20,2019-12-26,0,0,0,0
2019-12-27,2020-01-02,0,0,0,0
2020-01-03,2020-01-09,0,0,0,0
2020-01-10,2020-01-16,0,0,0,0
2020-01-17,2020-01-23,0,0,0,0
2020-01-24,2020-01-30,0,0,0,0
2020-01-31,2020-02-06,1,0,1,0
2020-02-07,2020-02-13,1,0,2,0
2020-02-14,2020-02-20,0,0,2,0
2020-02-21,2020-02-27,11,0,13,0
2020-02-28,2020-03-05,207,2,222,2
2020-03-06,2020-03-12,2018,47,2277,50
2020-03-13,2020-03-19,11633,530,13910,581
2020-03-20,2020-03-26,31552,2629,49515,3404
2020-03-27,2020-04-02,46332,4687,104118,8761
2020-04-03,2020-04-09,36155,4147,148220,13805
2020-04-10,2020-04-16,24422,3043,177644,17460
2020-04-17,2020-04-23,23441,2241,208389,20268
2020-04-24,2020-04-30,-107,1977,212917,22656
2020-05-01,2020-05-07,6890,1226,220325,24132
2020-05-08,2020-05-14,7244,965,228691,25296
