Start Date,End Date,New cases,New Deaths,Total Cases
2020-01-31,2020-02-06,6,0,11
2020-02-07,2020-02-13,1,0,12
2020-02-14,2020-02-20,0,0,13
2020-02-21,2020-02-27,44,0,57
2020-02-28,2020-03-05,91,11,149
2020-03-06,2020-03-12,1064,24,1281
2020-03-13,2020-03-19,6120,78,7783
2020-03-20,2020-03-26,52101,742,65778
2020-03-27,2020-04-02,129536,3548,213372
2020-04-03,2020-04-09,183479,8637,429052
2020-04-10,2020-04-16,174913,11848,636350
2020-04-17,2020-04-23,170722,13629,837947
2020-04-24,2020-04-30,171324,11094,1037970
