Start Date,End Date,New cases,New Deaths,Total Cases,Total Deaths
2019-11-29,2019-12-05,0,0,0,0
2019-12-06,2019-12-12,0,0,0,0
2019-12-13,2019-12-19,0,0,0,0
2019-12-20,2019-12-26,0,0,0,0
2019-12-27,2020-01-02,0,0,0,0
2020-01-03,2020-01-09,0,0,0,0
2020-01-10,2020-01-16,0,0,0,0
2020-01-17,2020-01-23,0,0,0,0
2020-01-24,2020-01-30,0,0,2,0
2020-01-31,2020-02-06,6,0,8,0
2020-02-07,2020-02-13,5,0,15,0
2020-02-14,2020-02-20,0,0,16,0
2020-02-21,2020-02-27,0,0,16,0
2020-02-28,2020-03-05,0,0,16,0
2020-03-06,2020-03-12,22,0,38,0
2020-03-13,2020-03-19,36,0,75,0
2020-03-20,2020-03-26,56,0,141,0
2020-03-27,2020-04-02,65,0,218,0
2020-04-03,2020-04-09,18,0,251,0
2020-04-10,2020-04-16,12,0,267,0
2020-04-17,2020-04-23,0,0,268,0
2020-04-24,2020-04-30,2,0,270,0
2020-05-01,2020-05-07,1,0,271,0
2020-05-08,2020-05-14,0,0,288,0
