song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
Tusa,KAROL G,1,Argentina,2019-12-27,2020-01-03,Negative,https://genius.com/Karol-g-and-nicki-minaj-tusa-lyrics
Hola - Remix,Dalex,2,Argentina,2019-12-27,2020-01-03,Negative,https://genius.com/Dalex-lenny-tavarez-and-chencho-corleone-hola-remix-lyrics
RITMO (Bad Boys For Life),Black Eyed Peas,3,Argentina,2019-12-27,2020-01-03,Positive,https://genius.com/The-black-eyed-peas-and-j-balvin-ritmo-bad-boys-for-life-lyrics
Fantasias,Rauw Alejandro,4,Argentina,2019-12-27,2020-01-03,Negative,https://genius.com/Rauw-alejandro-and-farruko-fantasias-lyrics
Que Tire Pa Lante,Daddy Yankee,5,Argentina,2019-12-27,2020-01-03,Negative,https://genius.com/Daddy-yankee-que-tire-pa-lante-lyrics
Dance Monkey,Tones And I,6,Argentina,2019-12-27,2020-01-03,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
China,Anuel AA,7,Argentina,2019-12-27,2020-01-03,could not determine analysis,
Bellaquita - Remix,Dalex,8,Argentina,2019-12-27,2020-01-03,Negative,https://genius.com/Dalex-lenny-tavarez-and-anitta-bellaquita-remix-lyrics
Fresa,TINI,9,Argentina,2019-12-27,2020-01-03,Negative,https://genius.com/Tini-fresa-lyrics
Vete,Bad Bunny,10,Argentina,2019-12-27,2020-01-03,Negative,https://genius.com/Bad-bunny-vete-lyrics
C90 (Remix),John C,11,Argentina,2019-12-27,2020-01-03,Negative,https://genius.com/John-c-neo-pistea-and-bhavi-c90-remix-lyrics
Perreo en La Luna,Rich Music LTD,12,Argentina,2019-12-27,2020-01-03,Negative,https://genius.com/Rich-music-ltd-dalex-and-sech-perreo-en-la-luna-lyrics
Adicto (with Anuel AA &amp; Ozuna),Tainy,13,Argentina,2019-12-27,2020-01-03,could not determine analysis,
Ya No Mas,Fer Palacio,14,Argentina,2019-12-27,2020-01-03,Negative,https://genius.com/Fer-palacio-ya-no-mas-lyrics
Tutu,Camilo,15,Argentina,2019-12-27,2020-01-03,Negative,https://genius.com/Camilo-and-pedro-capo-tutu-lyrics
Whine Up,Nicky Jam,16,Argentina,2019-12-27,2020-01-03,Negative,https://genius.com/Nicky-jam-and-anuel-aa-whine-up-lyrics
Quizas,Rich Music LTD,17,Argentina,2019-12-27,2020-01-03,Positive,https://genius.com/Rich-music-ltd-dalex-and-sech-quizas-lyrics
Sigues Con El,Dímelo Flow,18,Argentina,2019-12-27,2020-01-03,Negative,https://genius.com/Arcangel-dimelo-flow-and-sech-sigues-con-el-lyrics
Goteo,Duki,19,Argentina,2019-12-27,2020-01-03,Negative,https://genius.com/Duki-goteo-lyrics
Si Te Vas,Sech,20,Argentina,2019-12-27,2020-01-03,Positive,https://genius.com/Sech-and-ozuna-si-te-vas-lyrics
Tusa,KAROL G,1,Argentina,2020-01-03,2020-01-10,Negative,https://genius.com/Karol-g-and-nicki-minaj-tusa-lyrics
Hola - Remix,Dalex,2,Argentina,2020-01-03,2020-01-10,Negative,https://genius.com/Dalex-lenny-tavarez-and-chencho-corleone-hola-remix-lyrics
Dance Monkey,Tones And I,3,Argentina,2020-01-03,2020-01-10,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
RITMO (Bad Boys For Life),Black Eyed Peas,4,Argentina,2020-01-03,2020-01-10,Positive,https://genius.com/The-black-eyed-peas-and-j-balvin-ritmo-bad-boys-for-life-lyrics
Fantasias,Rauw Alejandro,5,Argentina,2020-01-03,2020-01-10,Negative,https://genius.com/Rauw-alejandro-and-farruko-fantasias-lyrics
Que Tire Pa Lante,Daddy Yankee,6,Argentina,2020-01-03,2020-01-10,Negative,https://genius.com/Daddy-yankee-que-tire-pa-lante-lyrics
Bellaquita - Remix,Dalex,7,Argentina,2020-01-03,2020-01-10,Negative,https://genius.com/Dalex-lenny-tavarez-and-anitta-bellaquita-remix-lyrics
China,Anuel AA,8,Argentina,2020-01-03,2020-01-10,could not determine analysis,
Vete,Bad Bunny,9,Argentina,2020-01-03,2020-01-10,Negative,https://genius.com/Bad-bunny-vete-lyrics
Perreo en La Luna,Rich Music LTD,10,Argentina,2020-01-03,2020-01-10,Negative,https://genius.com/Rich-music-ltd-dalex-and-sech-perreo-en-la-luna-lyrics
Fresa,TINI,11,Argentina,2020-01-03,2020-01-10,Negative,https://genius.com/Tini-fresa-lyrics
Sigues Con El,Dímelo Flow,12,Argentina,2020-01-03,2020-01-10,Negative,https://genius.com/Arcangel-dimelo-flow-and-sech-sigues-con-el-lyrics
C90 (Remix),John C,13,Argentina,2020-01-03,2020-01-10,Negative,https://genius.com/John-c-neo-pistea-and-bhavi-c90-remix-lyrics
Adicto (with Anuel AA &amp; Ozuna),Tainy,14,Argentina,2020-01-03,2020-01-10,could not determine analysis,
Ya No Mas,Fer Palacio,15,Argentina,2020-01-03,2020-01-10,Negative,https://genius.com/Fer-palacio-ya-no-mas-lyrics
Whine Up,Nicky Jam,16,Argentina,2020-01-03,2020-01-10,Negative,https://genius.com/Nicky-jam-and-anuel-aa-whine-up-lyrics
Quizas,Rich Music LTD,17,Argentina,2020-01-03,2020-01-10,Positive,https://genius.com/Rich-music-ltd-dalex-and-sech-quizas-lyrics
Tutu,Camilo,18,Argentina,2020-01-03,2020-01-10,Negative,https://genius.com/Camilo-and-pedro-capo-tutu-lyrics
Goteo,Duki,19,Argentina,2020-01-03,2020-01-10,Negative,https://genius.com/Duki-goteo-lyrics
Si Te Vas,Sech,20,Argentina,2020-01-03,2020-01-10,Positive,https://genius.com/Sech-and-ozuna-si-te-vas-lyrics
Tusa,KAROL G,1,Argentina,2020-01-10,2020-01-17,Negative,https://genius.com/Karol-g-and-nicki-minaj-tusa-lyrics
Hola - Remix,Dalex,2,Argentina,2020-01-10,2020-01-17,Negative,https://genius.com/Dalex-lenny-tavarez-and-chencho-corleone-hola-remix-lyrics
Dance Monkey,Tones And I,3,Argentina,2020-01-10,2020-01-17,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Fantasias,Rauw Alejandro,4,Argentina,2020-01-10,2020-01-17,Negative,https://genius.com/Rauw-alejandro-and-farruko-fantasias-lyrics
RITMO (Bad Boys For Life),Black Eyed Peas,5,Argentina,2020-01-10,2020-01-17,Positive,https://genius.com/The-black-eyed-peas-and-j-balvin-ritmo-bad-boys-for-life-lyrics
Sigues Con El,Dímelo Flow,6,Argentina,2020-01-10,2020-01-17,Negative,https://genius.com/Arcangel-dimelo-flow-and-sech-sigues-con-el-lyrics
Que Tire Pa Lante,Daddy Yankee,7,Argentina,2020-01-10,2020-01-17,Negative,https://genius.com/Daddy-yankee-que-tire-pa-lante-lyrics
Bellaquita - Remix,Dalex,8,Argentina,2020-01-10,2020-01-17,Negative,https://genius.com/Dalex-lenny-tavarez-and-anitta-bellaquita-remix-lyrics
Vete,Bad Bunny,9,Argentina,2020-01-10,2020-01-17,Negative,https://genius.com/Bad-bunny-vete-lyrics
China,Anuel AA,10,Argentina,2020-01-10,2020-01-17,could not determine analysis,
Perreo en La Luna,Rich Music LTD,11,Argentina,2020-01-10,2020-01-17,Negative,https://genius.com/Rich-music-ltd-dalex-and-sech-perreo-en-la-luna-lyrics
Fresa,TINI,12,Argentina,2020-01-10,2020-01-17,Negative,https://genius.com/Tini-fresa-lyrics
Ya No Mas,Fer Palacio,13,Argentina,2020-01-10,2020-01-17,Negative,https://genius.com/Fer-palacio-ya-no-mas-lyrics
Adicto (with Anuel AA &amp; Ozuna),Tainy,14,Argentina,2020-01-10,2020-01-17,could not determine analysis,
Whine Up,Nicky Jam,15,Argentina,2020-01-10,2020-01-17,Negative,https://genius.com/Nicky-jam-and-anuel-aa-whine-up-lyrics
C90 (Remix),John C,16,Argentina,2020-01-10,2020-01-17,Negative,https://genius.com/John-c-neo-pistea-and-bhavi-c90-remix-lyrics
Recuerdo,TINI,17,Argentina,2020-01-10,2020-01-17,Negative,https://genius.com/Tini-and-mau-y-ricky-recuerdo-lyrics
Quizas,Rich Music LTD,18,Argentina,2020-01-10,2020-01-17,Positive,https://genius.com/Rich-music-ltd-dalex-and-sech-quizas-lyrics
Blanco,J Balvin,19,Argentina,2020-01-10,2020-01-17,Negative,https://genius.com/J-balvin-blanco-lyrics
Muévelo,Nicky Jam,20,Argentina,2020-01-10,2020-01-17,Positive,https://genius.com/Daddy-yankee-and-nicky-jam-muevelo-lyrics
Tusa,KAROL G,1,Argentina,2020-01-17,2020-01-24,Negative,https://genius.com/Karol-g-and-nicki-minaj-tusa-lyrics
Hola - Remix,Dalex,2,Argentina,2020-01-17,2020-01-24,Negative,https://genius.com/Dalex-lenny-tavarez-and-chencho-corleone-hola-remix-lyrics
Dance Monkey,Tones And I,3,Argentina,2020-01-17,2020-01-24,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Fantasias,Rauw Alejandro,4,Argentina,2020-01-17,2020-01-24,Negative,https://genius.com/Rauw-alejandro-and-farruko-fantasias-lyrics
Sigues Con El,Dímelo Flow,5,Argentina,2020-01-17,2020-01-24,Negative,https://genius.com/Arcangel-dimelo-flow-and-sech-sigues-con-el-lyrics
RITMO (Bad Boys For Life),Black Eyed Peas,6,Argentina,2020-01-17,2020-01-24,Positive,https://genius.com/The-black-eyed-peas-and-j-balvin-ritmo-bad-boys-for-life-lyrics
Vete,Bad Bunny,7,Argentina,2020-01-17,2020-01-24,Negative,https://genius.com/Bad-bunny-vete-lyrics
Bellaquita - Remix,Dalex,8,Argentina,2020-01-17,2020-01-24,Negative,https://genius.com/Dalex-lenny-tavarez-and-anitta-bellaquita-remix-lyrics
Que Tire Pa Lante,Daddy Yankee,9,Argentina,2020-01-17,2020-01-24,Negative,https://genius.com/Daddy-yankee-que-tire-pa-lante-lyrics
