song_name,song_artist,track number,country,start date,end date,Analysis
Tusa,KAROL G,1,Argentina,2020-03-06,2020-03-13,Negative
Hola - Remix,Dalex,2,Argentina,2020-03-06,2020-03-13,Negative
Sigues Con El,Dímelo Flow,3,Argentina,2020-03-06,2020-03-13,Negative
La Difícil,Bad Bunny,4,Argentina,2020-03-06,2020-03-13,Negative
Dance Monkey,Tones And I,5,Argentina,2020-03-06,2020-03-13,Neutral
Tattoo,Rauw Alejandro,6,Argentina,2020-03-06,2020-03-13,Negative
Ignorantes,Bad Bunny,7,Argentina,2020-03-06,2020-03-13,Negative
Par-Tusa,El Dipy,8,Argentina,2020-03-06,2020-03-13,Negative
Diosa,Myke Towers,9,Argentina,2020-03-06,2020-03-13,Negative
Morado,J Balvin,10,Argentina,2020-03-06,2020-03-13,Negative
Muévelo,Nicky Jam,11,Argentina,2020-03-06,2020-03-13,Positive
Fantasias,Rauw Alejandro,12,Argentina,2020-03-06,2020-03-13,Negative
Vete,Bad Bunny,13,Argentina,2020-03-06,2020-03-13,Negative
Recuerdo,TINI,14,Argentina,2020-03-06,2020-03-13,Negative
Keii,Anuel AA,15,Argentina,2020-03-06,2020-03-13,Positive
René,Residente,16,Argentina,2020-03-06,2020-03-13,could not determine analysis
Flasheaste Amor,Agapornis,17,Argentina,2020-03-06,2020-03-13,Positive
Pa Los Gustos Los Colores,Javiielo,18,Argentina,2020-03-06,2020-03-13,Positive
Ya No Mas,Fer Palacio,19,Argentina,2020-03-06,2020-03-13,Negative
Dónde Estás,KHEA,20,Argentina,2020-03-06,2020-03-13,Positive
