song_name,song_artist,track number,country,start date,end date,Analysis
Liberdade Provisória,Henrique &amp; Juliano,1,Brazil,2020-01-03,2020-01-10,could not determine analysis
A Gente Fez Amor - Ao Vivo,Gusttavo Lima,2,Brazil,2020-01-03,2020-01-10,could not determine analysis
SENTADÃO,Pedro Sampaio,3,Brazil,2020-01-03,2020-01-10,Negative
Combatchy (feat. MC Rebecca),Anitta,4,Brazil,2020-01-03,2020-01-10,could not determine analysis
Cheirosa - Ao Vivo,Jorge &amp; Mateus,5,Brazil,2020-01-03,2020-01-10,could not determine analysis
Surtada - Remix Brega Funk,Dadá Boladão,6,Brazil,2020-01-03,2020-01-10,Neutral
Supera - Ao Vivo,Marília Mendonça,7,Brazil,2020-01-03,2020-01-10,Positive
Dance Monkey,Tones And I,8,Brazil,2020-01-03,2020-01-10,Neutral
Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,Zé Neto &amp; Cristiano,9,Brazil,2020-01-03,2020-01-10,could not determine analysis
Some que ele vem atrás,Anitta,10,Brazil,2020-01-03,2020-01-10,Neutral
Verdinha,Ludmilla,11,Brazil,2020-01-03,2020-01-10,Negative
S de Saudade,Luíza &amp; Maurílio,12,Brazil,2020-01-03,2020-01-10,could not determine analysis
Tijolão - Ao Vivo,Jorge &amp; Mateus,13,Brazil,2020-01-03,2020-01-10,could not determine analysis
3 Batidas - Ao Vivo,Guilherme &amp; Benuto,14,Brazil,2020-01-03,2020-01-10,could not determine analysis
Gaiola É o Troco,MC Du Black,15,Brazil,2020-01-03,2020-01-10,Positive
Yummy,Justin Bieber,16,Brazil,2020-01-03,2020-01-10,Positive
Hit Contagiante,Felipe Original,17,Brazil,2020-01-03,2020-01-10,Negative
Porta Mala,Os Parazim,18,Brazil,2020-01-03,2020-01-10,could not determine analysis
Chama Ela (feat. Pedro Sampaio),Lexa,19,Brazil,2020-01-03,2020-01-10,Negative
menina solta,Giulia Be,20,Brazil,2020-01-03,2020-01-10,Positive
