song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
Heartless,The Weeknd,1,Bulgaria,2019-11-29,2019-12-06,Negative,https://genius.com/The-weeknd-heartless-lyrics
Blinding Lights,The Weeknd,2,Bulgaria,2019-11-29,2019-12-06,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Dance Monkey,Tones And I,3,Bulgaria,2019-11-29,2019-12-06,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
HIGHEST IN THE ROOM,Travis Scott,4,Bulgaria,2019-11-29,2019-12-06,Positive,https://genius.com/Travis-scott-highest-in-the-room-lyrics
everything i wanted,Billie Eilish,5,Bulgaria,2019-11-29,2019-12-06,Negative,https://genius.com/Billie-eilish-everything-i-wanted-lyrics
ROXANNE,Arizona Zervas,6,Bulgaria,2019-11-29,2019-12-06,Positive,https://genius.com/Arizona-zervas-roxanne-lyrics
Don't Start Now,Dua Lipa,7,Bulgaria,2019-11-29,2019-12-06,Negative,https://genius.com/Dua-lipa-dont-start-now-lyrics
bad guy,Billie Eilish,8,Bulgaria,2019-11-29,2019-12-06,Negative,https://genius.com/Billie-eilish-bad-guy-lyrics
Falling,Trevor Daniel,9,Bulgaria,2019-11-29,2019-12-06,Positive,https://genius.com/Trevor-daniel-falling-lyrics
Poludyavash,Malkata,10,Bulgaria,2019-11-29,2019-12-06,Negative,https://genius.com/Malkata-poludyavash-lyrics
Ella Ella,DARA,11,Bulgaria,2019-11-29,2019-12-06,Positive,https://genius.com/Gramofocas-eu-acho-que-ela-quer-me-dar-ela-pode-me-empolgar-lyrics
Señorita,Shawn Mendes,12,Bulgaria,2019-11-29,2019-12-06,Positive,https://genius.com/Shawn-mendes-and-camila-cabello-senorita-lyrics
All I Want for Christmas Is You,Mariah Carey,13,Bulgaria,2019-11-29,2019-12-06,Positive,https://genius.com/Mariah-carey-all-i-want-for-christmas-is-you-lyrics
Lamborghini,Galena,14,Bulgaria,2019-11-29,2019-12-06,Negative,https://genius.com/Kollegah-billionaires-club-lyrics
Circles,Post Malone,15,Bulgaria,2019-11-29,2019-12-06,Positive,https://genius.com/Post-malone-circles-lyrics
Someone You Loved,Lewis Capaldi,16,Bulgaria,2019-11-29,2019-12-06,Positive,https://genius.com/Lewis-capaldi-someone-you-loved-lyrics
Lalala,Y2K,17,Bulgaria,2019-11-29,2019-12-06,Positive,https://genius.com/Y2k-and-bbno-lalala-lyrics
Lose You To Love Me,Selena Gomez,18,Bulgaria,2019-11-29,2019-12-06,Positive,https://genius.com/Selena-gomez-lose-you-to-love-me-lyrics
Taka ni se pada,Preslava,19,Bulgaria,2019-11-29,2019-12-06,Negative,https://genius.com/Elemental-teorija-i-praksa-lyrics
Liar,Camila Cabello,20,Bulgaria,2019-11-29,2019-12-06,Negative,https://genius.com/Camila-cabello-liar-lyrics
Heartless,The Weeknd,1,Bulgaria,2019-12-06,2019-12-13,Negative,https://genius.com/The-weeknd-heartless-lyrics
Dance Monkey,Tones And I,2,Bulgaria,2019-12-06,2019-12-13,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Куча марка,Boro Purvi,3,Bulgaria,2019-12-06,2019-12-13,Neutral,https://genius.com/Boro-purvi-kucha-marka-lyrics
Blinding Lights,The Weeknd,4,Bulgaria,2019-12-06,2019-12-13,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
HIGHEST IN THE ROOM,Travis Scott,5,Bulgaria,2019-12-06,2019-12-13,Positive,https://genius.com/Travis-scott-highest-in-the-room-lyrics
Superintro,Boro Purvi,6,Bulgaria,2019-12-06,2019-12-13,Positive,https://genius.com/Boro-purvi-superintro-lyrics
Майко Майко,Boro Purvi,7,Bulgaria,2019-12-06,2019-12-13,Neutral,https://genius.com/Boro-purvi-maiko-maiko-lyrics
27 Club,Boro Purvi,8,Bulgaria,2019-12-06,2019-12-13,Positive,https://genius.com/Boro-purvi-27-club-lyrics
Lucid Dreams,Juice WRLD,9,Bulgaria,2019-12-06,2019-12-13,Positive,https://genius.com/Juice-wrld-lucid-dreams-lyrics
Вс искат да са лоши,Boro Purvi,10,Bulgaria,2019-12-06,2019-12-13,Positive,https://genius.com/Boro-purvi-vs-iskat-da-sa-loshi-lyrics
bad guy,Billie Eilish,11,Bulgaria,2019-12-06,2019-12-13,Negative,https://genius.com/Billie-eilish-bad-guy-lyrics
Falling,Trevor Daniel,12,Bulgaria,2019-12-06,2019-12-13,Positive,https://genius.com/Trevor-daniel-falling-lyrics
Señorita,Shawn Mendes,13,Bulgaria,2019-12-06,2019-12-13,Positive,https://genius.com/Shawn-mendes-and-camila-cabello-senorita-lyrics
everything i wanted,Billie Eilish,14,Bulgaria,2019-12-06,2019-12-13,Negative,https://genius.com/Billie-eilish-everything-i-wanted-lyrics
Сметката,Boro Purvi,15,Bulgaria,2019-12-06,2019-12-13,Positive,https://genius.com/Boro-purvi-smetkata-lyrics
ROXANNE,Arizona Zervas,16,Bulgaria,2019-12-06,2019-12-13,Positive,https://genius.com/Arizona-zervas-roxanne-lyrics
Seen,Boro Purvi,17,Bulgaria,2019-12-06,2019-12-13,Neutral,https://genius.com/Boro-purvi-seen-lyrics
Лапешки филм / Съвпадения,Boro Purvi,18,Bulgaria,2019-12-06,2019-12-13,Negative,https://genius.com/Boro-purvi-lapeshki-film-suvpadenia-lyrics
Don't Start Now,Dua Lipa,19,Bulgaria,2019-12-06,2019-12-13,Negative,https://genius.com/Dua-lipa-dont-start-now-lyrics
Аз ги убих,Boro Purvi,20,Bulgaria,2019-12-06,2019-12-13,Neutral,https://genius.com/Boro-purvi-az-gi-ubih-lyrics
Dance Monkey,Tones And I,1,Bulgaria,2019-12-13,2019-12-20,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Heartless,The Weeknd,2,Bulgaria,2019-12-13,2019-12-20,Negative,https://genius.com/The-weeknd-heartless-lyrics
HIGHEST IN THE ROOM,Travis Scott,3,Bulgaria,2019-12-13,2019-12-20,Positive,https://genius.com/Travis-scott-highest-in-the-room-lyrics
Blinding Lights,The Weeknd,4,Bulgaria,2019-12-13,2019-12-20,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Falling,Trevor Daniel,5,Bulgaria,2019-12-13,2019-12-20,Positive,https://genius.com/Trevor-daniel-falling-lyrics
everything i wanted,Billie Eilish,6,Bulgaria,2019-12-13,2019-12-20,Negative,https://genius.com/Billie-eilish-everything-i-wanted-lyrics
Куча марка,Boro Purvi,7,Bulgaria,2019-12-13,2019-12-20,Neutral,https://genius.com/Boro-purvi-kucha-marka-lyrics
Adore You,Harry Styles,8,Bulgaria,2019-12-13,2019-12-20,Positive,https://genius.com/Harry-styles-adore-you-lyrics
ROXANNE,Arizona Zervas,9,Bulgaria,2019-12-13,2019-12-20,Positive,https://genius.com/Arizona-zervas-roxanne-lyrics
Señorita,Shawn Mendes,10,Bulgaria,2019-12-13,2019-12-20,Positive,https://genius.com/Shawn-mendes-and-camila-cabello-senorita-lyrics
Don't Start Now,Dua Lipa,11,Bulgaria,2019-12-13,2019-12-20,Negative,https://genius.com/Dua-lipa-dont-start-now-lyrics
Майко Майко,Boro Purvi,12,Bulgaria,2019-12-13,2019-12-20,Neutral,https://genius.com/Boro-purvi-maiko-maiko-lyrics
bad guy,Billie Eilish,13,Bulgaria,2019-12-13,2019-12-20,Negative,https://genius.com/Billie-eilish-bad-guy-lyrics
Watermelon Sugar,Harry Styles,14,Bulgaria,2019-12-13,2019-12-20,Positive,https://genius.com/Harry-styles-watermelon-sugar-lyrics
Lucid Dreams,Juice WRLD,15,Bulgaria,2019-12-13,2019-12-20,Positive,https://genius.com/Juice-wrld-lucid-dreams-lyrics
All I Want for Christmas Is You,Mariah Carey,16,Bulgaria,2019-12-13,2019-12-20,Positive,https://genius.com/Mariah-carey-all-i-want-for-christmas-is-you-lyrics
Roses - Imanbek Remix,SAINt JHN,17,Bulgaria,2019-12-13,2019-12-20,Negative,https://genius.com/Saint-jhn-roses-imanbek-remix-lyrics
Излъжи ме,Lidia,18,Bulgaria,2019-12-13,2019-12-20,could not determine analysis,
Superintro,Boro Purvi,19,Bulgaria,2019-12-13,2019-12-20,Positive,https://genius.com/Boro-purvi-superintro-lyrics
Poludyavash,Malkata,20,Bulgaria,2019-12-13,2019-12-20,Negative,https://genius.com/Malkata-poludyavash-lyrics
Dance Monkey,Tones And I,1,Bulgaria,2019-12-20,2019-12-27,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
