song_name,song_artist,track number,country,start date,end date,Analysis
The Box,Roddy Ricch,1,Bulgaria,2020-02-28,2020-03-06,Negative
Blinding Lights,The Weeknd,2,Bulgaria,2020-02-28,2020-03-06,Negative
After Hours,The Weeknd,3,Bulgaria,2020-02-28,2020-03-06,Negative
Roses - Imanbek Remix,SAINt JHN,4,Bulgaria,2020-02-28,2020-03-06,Negative
Life Is Good (feat. Drake),Future,5,Bulgaria,2020-02-28,2020-03-06,Positive
Godzilla (feat. Juice WRLD),Eminem,6,Bulgaria,2020-02-28,2020-03-06,Neutral
No Time To Die,Billie Eilish,7,Bulgaria,2020-02-28,2020-03-06,Negative
Dance Monkey,Tones And I,8,Bulgaria,2020-02-28,2020-03-06,Neutral
Don't Start Now,Dua Lipa,9,Bulgaria,2020-02-28,2020-03-06,could not determine analysis
Falling,Trevor Daniel,10,Bulgaria,2020-02-28,2020-03-06,Positive
Stupid Love,Lady Gaga,11,Bulgaria,2020-02-28,2020-03-06,Positive
everything i wanted,Billie Eilish,12,Bulgaria,2020-02-28,2020-03-06,Negative
Say So,Doja Cat,13,Bulgaria,2020-02-28,2020-03-06,Positive
Physical,Dua Lipa,14,Bulgaria,2020-02-28,2020-03-06,Positive
bad guy,Billie Eilish,15,Bulgaria,2020-02-28,2020-03-06,Negative
ROXANNE,Arizona Zervas,16,Bulgaria,2020-02-28,2020-03-06,Positive
Intentions (feat. Quavo),Justin Bieber,17,Bulgaria,2020-02-28,2020-03-06,Positive
Cash,Marso,18,Bulgaria,2020-02-28,2020-03-06,Negative
HIGHEST IN THE ROOM,Travis Scott,19,Bulgaria,2020-02-28,2020-03-06,Positive
Майната ти Св. Валентин,Konstantin,20,Bulgaria,2020-02-28,2020-03-06,could not determine analysis
