song_name,song_artist,track number,country,start date,end date,Analysis
Memories,Maroon 5,1,China,2019-11-29,2019-12-06,Positive
Señorita,Shawn Mendes,2,China,2019-11-29,2019-12-06,Positive
everything i wanted,Billie Eilish,3,China,2019-11-29,2019-12-06,Negative
ROXANNE,Arizona Zervas,4,China,2019-11-29,2019-12-06,Positive
Circles,Post Malone,5,China,2019-11-29,2019-12-06,Positive
Dance Monkey,Tones And I,6,China,2019-11-29,2019-12-06,Neutral
Don't Start Now,Dua Lipa,7,China,2019-11-29,2019-12-06,Negative
說好不哭,Jay Chou,8,China,2019-11-29,2019-12-06,Neutral
Heartless,The Weeknd,9,China,2019-11-29,2019-12-06,Negative
Into the Unknown,Idina Menzel,10,China,2019-11-29,2019-12-06,Negative
Lose You To Love Me,Selena Gomez,11,China,2019-11-29,2019-12-06,Positive
Blinding Lights,The Weeknd,12,China,2019-11-29,2019-12-06,Negative
bad guy,Billie Eilish,13,China,2019-11-29,2019-12-06,Negative
願榮光歸香港,湯瑪仕與眾香港人,14,China,2019-11-29,2019-12-06,could not determine analysis
Someone You Loved,Lewis Capaldi,15,China,2019-11-29,2019-12-06,Positive
Mean It,Lauv,16,China,2019-11-29,2019-12-06,Negative
hot girl bummer,blackbear,17,China,2019-11-29,2019-12-06,Negative
句號,G.E.M.,18,China,2019-11-29,2019-12-06,Neutral
"10,000 Hours (with Justin Bieber)",Dan + Shay,19,China,2019-11-29,2019-12-06,Positive
Beautiful People (feat. Khalid),Ed Sheeran,20,China,2019-11-29,2019-12-06,Positive
All I Want for Christmas Is You,Mariah Carey,14,China,2019-12-06,2019-12-13,Positive
人話,Charmaine Fong,17,China,2019-12-06,2019-12-13,Neutral
Last Christmas,Wham!,19,China,2019-12-06,2019-12-13,Positive
Adore You,Harry Styles,20,China,2019-12-06,2019-12-13,Positive
"讓愛高飛 - 劇集 ""多功能老婆"" 片尾曲",Pakho Chau,10,China,2019-12-13,2019-12-20,could not determine analysis
Watermelon Sugar,Harry Styles,16,China,2019-12-13,2019-12-20,Positive
Falling,Trevor Daniel,18,China,2019-12-13,2019-12-20,Positive
My Oh My (feat. DaBaby),Camila Cabello,20,China,2019-12-13,2019-12-20,Neutral
Santa Tell Me,Ariana Grande,9,China,2019-12-20,2019-12-27,Positive
Psycho,Red Velvet,16,China,2019-12-20,2019-12-27,Positive
Mistletoe,Justin Bieber,18,China,2019-12-20,2019-12-27,could not determine analysis
