song_name,song_artist,track number,country,start date,end date,Analysis
Rojo,J Balvin,1,Colombia,2020-04-10,2020-04-17,Neutral
Amarillo,J Balvin,2,Colombia,2020-04-10,2020-04-17,Negative
Safaera,Bad Bunny,3,Colombia,2020-04-10,2020-04-17,Negative
Yo Perreo Sola,Bad Bunny,4,Colombia,2020-04-10,2020-04-17,Negative
Favorito,Camilo,5,Colombia,2020-04-10,2020-04-17,Negative
Morado,J Balvin,6,Colombia,2020-04-10,2020-04-17,Negative
PORFA,Feid,7,Colombia,2020-04-10,2020-04-17,Negative
Tattoo,Rauw Alejandro,8,Colombia,2020-04-10,2020-04-17,Negative
Azul,J Balvin,9,Colombia,2020-04-10,2020-04-17,Negative
Ignorantes,Bad Bunny,10,Colombia,2020-04-10,2020-04-17,Negative
Tusa,KAROL G,11,Colombia,2020-04-10,2020-04-17,Negative
Si Veo a Tu Mamá,Bad Bunny,12,Colombia,2020-04-10,2020-04-17,Negative
Sigues Con El,Dímelo Flow,13,Colombia,2020-04-10,2020-04-17,could not determine analysis
Blanco,J Balvin,14,Colombia,2020-04-10,2020-04-17,Negative
La Difícil,Bad Bunny,15,Colombia,2020-04-10,2020-04-17,could not determine analysis
Hola - Remix,Dalex,16,Colombia,2020-04-10,2020-04-17,Negative
Elegí (feat. Dímelo Flow),Rauw Alejandro,17,Colombia,2020-04-10,2020-04-17,Negative
Blinding Lights,The Weeknd,18,Colombia,2020-04-10,2020-04-17,Negative
Negro,J Balvin,19,Colombia,2020-04-10,2020-04-17,Negative
Dance Monkey,Tones And I,20,Colombia,2020-04-10,2020-04-17,Neutral
