song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
Rojo,J Balvin,1,Colombia,2020-04-17,2020-04-24,Neutral,https://genius.com/J-balvin-rojo-lyrics
Favorito,Camilo,2,Colombia,2020-04-17,2020-04-24,Negative,https://genius.com/Camilo-favorito-lyrics
Amarillo,J Balvin,3,Colombia,2020-04-17,2020-04-24,Negative,https://genius.com/J-balvin-amarillo-lyrics
Safaera,Bad Bunny,4,Colombia,2020-04-17,2020-04-24,Negative,https://genius.com/Bad-bunny-jowell-and-randy-and-nengo-flow-safaera-lyrics
PORFA,Feid,5,Colombia,2020-04-17,2020-04-24,Negative,https://genius.com/Feid-and-justin-quiles-porfa-lyrics
Yo Perreo Sola,Bad Bunny,6,Colombia,2020-04-17,2020-04-24,Negative,https://genius.com/Bad-bunny-yo-perreo-sola-lyrics
Morado,J Balvin,7,Colombia,2020-04-17,2020-04-24,Negative,https://genius.com/J-balvin-morado-lyrics
Tattoo,Rauw Alejandro,8,Colombia,2020-04-17,2020-04-24,Negative,https://genius.com/Rauw-alejandro-tattoo-lyrics
El Mismo Aire,Camilo,9,Colombia,2020-04-17,2020-04-24,Negative,https://genius.com/Camilo-el-mismo-aire-lyrics
Tusa,KAROL G,10,Colombia,2020-04-17,2020-04-24,Negative,https://genius.com/Karol-g-and-nicki-minaj-tusa-lyrics
Azul,J Balvin,11,Colombia,2020-04-17,2020-04-24,Negative,https://genius.com/J-balvin-azul-lyrics
Por Primera Vez,Camilo,12,Colombia,2020-04-17,2020-04-24,Positive,https://genius.com/Camilo-and-evaluna-montaner-por-primera-vez-lyrics
Ignorantes,Bad Bunny,13,Colombia,2020-04-17,2020-04-24,Negative,https://genius.com/Bad-bunny-and-sech-ignorantes-lyrics
Si Veo a Tu Mamá,Bad Bunny,14,Colombia,2020-04-17,2020-04-24,Negative,https://genius.com/Bad-bunny-si-veo-a-tu-mama-lyrics
Hola - Remix,Dalex,15,Colombia,2020-04-17,2020-04-24,Negative,https://genius.com/Dalex-lenny-tavarez-and-chencho-corleone-hola-remix-lyrics
Elegí (feat. Dímelo Flow),Rauw Alejandro,16,Colombia,2020-04-17,2020-04-24,Negative,https://genius.com/Rauw-alejandro-dalex-and-lenny-tavarez-elegi-lyrics
Blanco,J Balvin,17,Colombia,2020-04-17,2020-04-24,Negative,https://genius.com/J-balvin-blanco-lyrics
Blinding Lights,The Weeknd,18,Colombia,2020-04-17,2020-04-24,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Sigues Con El,Dímelo Flow,19,Colombia,2020-04-17,2020-04-24,Negative,https://genius.com/Arcangel-dimelo-flow-and-sech-sigues-con-el-lyrics
Dance Monkey,Tones And I,20,Colombia,2020-04-17,2020-04-24,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Rojo,J Balvin,1,Colombia,2020-04-24,2020-05-01,Neutral,https://genius.com/J-balvin-rojo-lyrics
PORFA,Feid,2,Colombia,2020-04-24,2020-05-01,Negative,https://genius.com/Feid-and-justin-quiles-porfa-lyrics
Favorito,Camilo,3,Colombia,2020-04-24,2020-05-01,Negative,https://genius.com/Camilo-favorito-lyrics
Amarillo,J Balvin,4,Colombia,2020-04-24,2020-05-01,Negative,https://genius.com/J-balvin-amarillo-lyrics
Safaera,Bad Bunny,5,Colombia,2020-04-24,2020-05-01,Negative,https://genius.com/Bad-bunny-jowell-and-randy-and-nengo-flow-safaera-lyrics
Yo Perreo Sola,Bad Bunny,6,Colombia,2020-04-24,2020-05-01,Negative,https://genius.com/Bad-bunny-yo-perreo-sola-lyrics
Morado,J Balvin,7,Colombia,2020-04-24,2020-05-01,Negative,https://genius.com/J-balvin-morado-lyrics
Tattoo,Rauw Alejandro,8,Colombia,2020-04-24,2020-05-01,Negative,https://genius.com/Rauw-alejandro-tattoo-lyrics
Tusa,KAROL G,9,Colombia,2020-04-24,2020-05-01,Negative,https://genius.com/Karol-g-and-nicki-minaj-tusa-lyrics
Azul,J Balvin,10,Colombia,2020-04-24,2020-05-01,Negative,https://genius.com/J-balvin-azul-lyrics
Ignorantes,Bad Bunny,11,Colombia,2020-04-24,2020-05-01,Negative,https://genius.com/Bad-bunny-and-sech-ignorantes-lyrics
