song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
everything i wanted,Billie Eilish,1,Estonia,2019-11-29,2019-12-06,Negative,https://genius.com/Billie-eilish-everything-i-wanted-lyrics
ROXANNE,Arizona Zervas,2,Estonia,2019-11-29,2019-12-06,Positive,https://genius.com/Arizona-zervas-roxanne-lyrics
Dance Monkey,Tones And I,3,Estonia,2019-11-29,2019-12-06,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Falling,Trevor Daniel,4,Estonia,2019-11-29,2019-12-06,Positive,https://genius.com/Trevor-daniel-falling-lyrics
Blinding Lights,The Weeknd,5,Estonia,2019-11-29,2019-12-06,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Heartless,The Weeknd,6,Estonia,2019-11-29,2019-12-06,Negative,https://genius.com/The-weeknd-heartless-lyrics
Ride It,Regard,7,Estonia,2019-11-29,2019-12-06,Negative,https://genius.com/Regard-ride-it-lyrics
hot girl bummer,blackbear,8,Estonia,2019-11-29,2019-12-06,Negative,https://genius.com/Blackbear-hot-girl-bummer-lyrics
für Oksana,Nublu,9,Estonia,2019-11-29,2019-12-06,Neutral,https://genius.com/Nublu-fur-oksana-lyrics
Don't Start Now,Dua Lipa,10,Estonia,2019-11-29,2019-12-06,Negative,https://genius.com/Dua-lipa-dont-start-now-lyrics
All I Want for Christmas Is You,Mariah Carey,11,Estonia,2019-11-29,2019-12-06,Positive,https://genius.com/Mariah-carey-all-i-want-for-christmas-is-you-lyrics
Circles,Post Malone,12,Estonia,2019-11-29,2019-12-06,Positive,https://genius.com/Post-malone-circles-lyrics
Memories,Maroon 5,13,Estonia,2019-11-29,2019-12-06,Positive,https://genius.com/Maroon-5-memories-lyrics
Lose You To Love Me,Selena Gomez,14,Estonia,2019-11-29,2019-12-06,Positive,https://genius.com/Selena-gomez-lose-you-to-love-me-lyrics
Aluspükse,5MIINUST,15,Estonia,2019-11-29,2019-12-06,Negative,https://genius.com/5miinust-aluspukse-lyrics
Last Christmas,Wham!,16,Estonia,2019-11-29,2019-12-06,Positive,https://genius.com/Wham-last-christmas-lyrics
Vöörad,372kaspar &amp; Lone Betro,17,Estonia,2019-11-29,2019-12-06,could not determine analysis,
bad guy,Billie Eilish,18,Estonia,2019-11-29,2019-12-06,Negative,https://genius.com/Billie-eilish-bad-guy-lyrics
3 Nights,Dominic Fike,19,Estonia,2019-11-29,2019-12-06,Positive,https://genius.com/Dominic-fike-3-nights-lyrics
SOS,Pluuto,20,Estonia,2019-11-29,2019-12-06,Negative,https://genius.com/Pluuto-sos-lyrics
everything i wanted,Billie Eilish,1,Estonia,2019-12-06,2019-12-13,Negative,https://genius.com/Billie-eilish-everything-i-wanted-lyrics
Falling,Trevor Daniel,2,Estonia,2019-12-06,2019-12-13,Positive,https://genius.com/Trevor-daniel-falling-lyrics
Dance Monkey,Tones And I,3,Estonia,2019-12-06,2019-12-13,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
ROXANNE,Arizona Zervas,4,Estonia,2019-12-06,2019-12-13,Positive,https://genius.com/Arizona-zervas-roxanne-lyrics
Lucid Dreams,Juice WRLD,5,Estonia,2019-12-06,2019-12-13,Positive,https://genius.com/Juice-wrld-lucid-dreams-lyrics
Blinding Lights,The Weeknd,6,Estonia,2019-12-06,2019-12-13,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
für Oksana,Nublu,7,Estonia,2019-12-06,2019-12-13,Neutral,https://genius.com/Nublu-fur-oksana-lyrics
hot girl bummer,blackbear,8,Estonia,2019-12-06,2019-12-13,Negative,https://genius.com/Blackbear-hot-girl-bummer-lyrics
Don't Start Now,Dua Lipa,9,Estonia,2019-12-06,2019-12-13,Negative,https://genius.com/Dua-lipa-dont-start-now-lyrics
Circles,Post Malone,10,Estonia,2019-12-06,2019-12-13,Positive,https://genius.com/Post-malone-circles-lyrics
