song_name,song_artist,track number,country,start date,end date,Analysis
Croissantid,Nublu,1,Estonia,2020-04-17,2020-04-24,Positive
Blinding Lights,The Weeknd,2,Estonia,2020-04-17,2020-04-24,Negative
Roses - Imanbek Remix,SAINt JHN,3,Estonia,2020-04-17,2020-04-24,Negative
Toosie Slide,Drake,4,Estonia,2020-04-17,2020-04-24,Positive
Blueberry Faygo,Lil Mosey,5,Estonia,2020-04-17,2020-04-24,Negative
Paaristõuked,5MIINUST,6,Estonia,2020-04-17,2020-04-24,Negative
The Box,Roddy Ricch,7,Estonia,2020-04-17,2020-04-24,Negative
Armasta mind (feat. Vaiko Eplik),Trad.Attack!,8,Estonia,2020-04-17,2020-04-24,could not determine analysis
Say So,Doja Cat,9,Estonia,2020-04-17,2020-04-24,Positive
Boss Bitch,Doja Cat,10,Estonia,2020-04-17,2020-04-24,Negative
für Oksana,Nublu,11,Estonia,2020-04-17,2020-04-24,Neutral
death bed (coffee for your head) (feat. beabadoobee),Powfu,12,Estonia,2020-04-17,2020-04-24,Positive
Don't Start Now,Dua Lipa,13,Estonia,2020-04-17,2020-04-24,Negative
Aluspükse,5MIINUST,14,Estonia,2020-04-17,2020-04-24,Negative
Falling,Trevor Daniel,15,Estonia,2020-04-17,2020-04-24,Positive
@ MEH,Playboi Carti,16,Estonia,2020-04-17,2020-04-24,Negative
Breaking Me,Topic,17,Estonia,2020-04-17,2020-04-24,Positive
Gimme Love,Joji,18,Estonia,2020-04-17,2020-04-24,Positive
Supalonely,BENEE,19,Estonia,2020-04-17,2020-04-24,Negative
Savage,Megan Thee Stallion,20,Estonia,2020-04-17,2020-04-24,Negative
THE SCOTTS,THE SCOTTS,2,Estonia,2020-04-24,2020-05-01,Positive
Righteous,Juice WRLD,6,Estonia,2020-04-24,2020-05-01,Negative
SICKO MODE,Travis Scott,15,Estonia,2020-04-24,2020-05-01,Positive
goosebumps,Travis Scott,16,Estonia,2020-04-24,2020-05-01,Positive
ily (i love you baby) (feat. Emilee),Surf Mesa,20,Estonia,2020-04-24,2020-05-01,Positive
Pain 1993 (with Playboi Carti),Drake,7,Estonia,2020-05-01,2020-05-08,Positive
ROCKSTAR (feat. Roddy Ricch),DaBaby,12,Estonia,2020-05-01,2020-05-08,Positive
GOOBA,6ix9ine,2,Estonia,2020-05-08,2020-05-15,Negative
Stuck with U (with Justin Bieber),Ariana Grande,8,Estonia,2020-05-08,2020-05-15,Negative
