song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
Ne reviens pas,Gradur,1,France,2019-12-27,2020-01-03,Negative,https://genius.com/Gradur-ne-reviens-pas-lyrics
Moulaga,Heuss L'enfoiré,2,France,2019-12-27,2020-01-03,Negative,https://genius.com/Heuss-lenfoire-moulaga-lyrics
Dance Monkey,Tones And I,3,France,2019-12-27,2020-01-03,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Blinding Lights,The Weeknd,4,France,2019-12-27,2020-01-03,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Popopop,Gambi,5,France,2019-12-27,2020-01-03,Negative,https://genius.com/Gambi-popopop-lyrics
Distant,Maes,6,France,2019-12-27,2020-01-03,Negative,https://genius.com/Maes-distant-lyrics
40%,Aya Nakamura,7,France,2019-12-27,2020-01-03,Negative,https://genius.com/Aya-nakamura-40-lyrics
Oui ou non,Angèle,8,France,2019-12-27,2020-01-03,Negative,https://genius.com/Angele-oui-ou-non-lyrics
MD,Niska,9,France,2019-12-27,2020-01-03,Negative,https://genius.com/4keus-md-lyrics
Loin de moi,Naza,10,France,2019-12-27,2020-01-03,Negative,https://genius.com/Naza-loin-de-moi-lyrics
Woin Woin,Larry,11,France,2019-12-27,2020-01-03,Negative,https://genius.com/Larry-woin-woin-lyrics
God Bless (feat. Damso),Hamza,12,France,2019-12-27,2020-01-03,Positive,https://genius.com/Hamza-god-bless-lyrics
ROXANNE,Arizona Zervas,13,France,2019-12-27,2020-01-03,Positive,https://genius.com/Arizona-zervas-roxanne-lyrics
RITMO (Bad Boys For Life),Black Eyed Peas,14,France,2019-12-27,2020-01-03,Positive,https://genius.com/The-black-eyed-peas-and-j-balvin-ritmo-bad-boys-for-life-lyrics
Côte Ouest,47ter,15,France,2019-12-27,2020-01-03,Negative,https://genius.com/47ter-cote-ouest-lyrics
Que Calor (with J Balvin &amp; El Alfa),Major Lazer,16,France,2019-12-27,2020-01-03,could not determine analysis,
Hé oh,Gambi,17,France,2019-12-27,2020-01-03,Positive,https://genius.com/Gambi-he-oh-lyrics
Jamais,Mister V,18,France,2019-12-27,2020-01-03,Negative,https://genius.com/Mister-v-jamais-lyrics
Memories,Maroon 5,19,France,2019-12-27,2020-01-03,Positive,https://genius.com/Maroon-5-memories-lyrics
Ride It,Regard,20,France,2019-12-27,2020-01-03,Negative,https://genius.com/Regard-ride-it-lyrics
Ne reviens pas,Gradur,1,France,2020-01-03,2020-01-10,Negative,https://genius.com/Gradur-ne-reviens-pas-lyrics
Moulaga,Heuss L'enfoiré,2,France,2020-01-03,2020-01-10,Negative,https://genius.com/Heuss-lenfoire-moulaga-lyrics
Dance Monkey,Tones And I,3,France,2020-01-03,2020-01-10,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Blinding Lights,The Weeknd,4,France,2020-01-03,2020-01-10,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
