song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
Der Bratan bleibt der gleiche,Capital Bra,1,Germany,2019-11-29,2019-12-06,Negative,https://genius.com/Capital-bra-der-bratan-bleibt-der-gleiche-lyrics
Roller,Apache 207,2,Germany,2019-11-29,2019-12-06,Negative,https://genius.com/Apache-207-roller-lyrics
Dance Monkey,Tones And I,3,Germany,2019-11-29,2019-12-06,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Skifahren (feat. Joshi Mizu),The Cratez,4,Germany,2019-11-29,2019-12-06,Negative,https://genius.com/The-cratez-bausa-and-maxwell-skifahren-lyrics
Wieso tust Du dir das an?,Apache 207,5,Germany,2019-11-29,2019-12-06,Positive,https://genius.com/Apache-207-wieso-tust-du-dir-das-an-lyrics
200 km/h,Apache 207,6,Germany,2019-11-29,2019-12-06,Negative,https://genius.com/Apache-207-200-km-h-lyrics
110,Capital Bra,7,Germany,2019-11-29,2019-12-06,Negative,https://genius.com/Capital-bra-samra-and-lea-110-lyrics
KARMA,Nimo,8,Germany,2019-11-29,2019-12-06,Negative,https://genius.com/Nimo-karma-lyrics
All I Want for Christmas Is You,Mariah Carey,9,Germany,2019-11-29,2019-12-06,Positive,https://genius.com/Mariah-carey-all-i-want-for-christmas-is-you-lyrics
Keine Liebe,RIN,10,Germany,2019-11-29,2019-12-06,Negative,https://genius.com/Rin-and-bausa-keine-liebe-lyrics
Bietigheimication,RIN,11,Germany,2019-11-29,2019-12-06,Negative,https://genius.com/Rin-bietigheimication-lyrics
Sorry,Veysel,12,Germany,2019-11-29,2019-12-06,Negative,https://genius.com/Veysel-sorry-lyrics
Hayabusa,Miami Yacine,13,Germany,2019-11-29,2019-12-06,Negative,https://genius.com/Miami-yacine-and-azet-hayabusa-lyrics
Ayy Macarena,Tyga,14,Germany,2019-11-29,2019-12-06,Negative,https://genius.com/Tyga-ayy-macarena-lyrics
Doch in der Nacht,Apache 207,15,Germany,2019-11-29,2019-12-06,Negative,https://genius.com/Apache-207-doch-in-der-nacht-lyrics
2002,Sido,16,Germany,2019-11-29,2019-12-06,Negative,https://genius.com/Sido-and-apache-207-2002-lyrics
Last Christmas,Wham!,17,Germany,2019-11-29,2019-12-06,Positive,https://genius.com/Wham-last-christmas-lyrics
Athen,Jamule,18,Germany,2019-11-29,2019-12-06,Negative,https://genius.com/Jamule-and-luciano-athen-lyrics
Falling,Trevor Daniel,19,Germany,2019-11-29,2019-12-06,Positive,https://genius.com/Trevor-daniel-falling-lyrics
Ride It,Regard,20,Germany,2019-11-29,2019-12-06,Negative,https://genius.com/Regard-ride-it-lyrics
KEIN SCHLAF,Nimo,1,Germany,2019-12-06,2019-12-13,Negative,https://genius.com/Nimo-and-hava-kein-schlaf-lyrics
COLT,Samra,2,Germany,2019-12-06,2019-12-13,Negative,https://genius.com/Samra-colt-lyrics
Roller,Apache 207,3,Germany,2019-12-06,2019-12-13,Negative,https://genius.com/Apache-207-roller-lyrics
Der Bratan bleibt der gleiche,Capital Bra,4,Germany,2019-12-06,2019-12-13,Negative,https://genius.com/Capital-bra-der-bratan-bleibt-der-gleiche-lyrics
Dance Monkey,Tones And I,5,Germany,2019-12-06,2019-12-13,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Tiffany,Shindy,6,Germany,2019-12-06,2019-12-13,Negative,https://genius.com/Shindy-tiffany-lyrics
Alien,RIN,7,Germany,2019-12-06,2019-12-13,Negative,https://genius.com/Rin-alien-lyrics
Keine Liebe,RIN,8,Germany,2019-12-06,2019-12-13,Negative,https://genius.com/Rin-and-bausa-keine-liebe-lyrics
Himmel grau,Kontra K,9,Germany,2019-12-06,2019-12-13,Negative,https://genius.com/Kontra-k-luciano-and-the-cratez-himmel-grau-lyrics
200 km/h,Apache 207,10,Germany,2019-12-06,2019-12-13,Negative,https://genius.com/Apache-207-200-km-h-lyrics
All I Want for Christmas Is You,Mariah Carey,11,Germany,2019-12-06,2019-12-13,Positive,https://genius.com/Mariah-carey-all-i-want-for-christmas-is-you-lyrics
110,Capital Bra,12,Germany,2019-12-06,2019-12-13,Negative,https://genius.com/Capital-bra-samra-and-lea-110-lyrics
Wieso tust Du dir das an?,Apache 207,13,Germany,2019-12-06,2019-12-13,Positive,https://genius.com/Apache-207-wieso-tust-du-dir-das-an-lyrics
Skifahren (feat. Joshi Mizu),The Cratez,14,Germany,2019-12-06,2019-12-13,Negative,https://genius.com/The-cratez-bausa-and-maxwell-skifahren-lyrics
Last Christmas,Wham!,15,Germany,2019-12-06,2019-12-13,Positive,https://genius.com/Wham-last-christmas-lyrics
Ayy Macarena,Tyga,16,Germany,2019-12-06,2019-12-13,Negative,https://genius.com/Tyga-ayy-macarena-lyrics
KARMA,Nimo,17,Germany,2019-12-06,2019-12-13,Negative,https://genius.com/Nimo-karma-lyrics
Falling,Trevor Daniel,18,Germany,2019-12-06,2019-12-13,Positive,https://genius.com/Trevor-daniel-falling-lyrics
2002,Sido,19,Germany,2019-12-06,2019-12-13,Negative,https://genius.com/Sido-and-apache-207-2002-lyrics
Doch in der Nacht,Apache 207,20,Germany,2019-12-06,2019-12-13,Negative,https://genius.com/Apache-207-doch-in-der-nacht-lyrics
Roller,Apache 207,1,Germany,2019-12-13,2019-12-20,Negative,https://genius.com/Apache-207-roller-lyrics
KEIN SCHLAF,Nimo,2,Germany,2019-12-13,2019-12-20,Negative,https://genius.com/Nimo-and-hava-kein-schlaf-lyrics
COLT,Samra,3,Germany,2019-12-13,2019-12-20,Negative,https://genius.com/Samra-colt-lyrics
Dance Monkey,Tones And I,4,Germany,2019-12-13,2019-12-20,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Der Bratan bleibt der gleiche,Capital Bra,5,Germany,2019-12-13,2019-12-20,Negative,https://genius.com/Capital-bra-der-bratan-bleibt-der-gleiche-lyrics
Skifahren (feat. Joshi Mizu),The Cratez,6,Germany,2019-12-13,2019-12-20,Negative,https://genius.com/The-cratez-bausa-and-maxwell-skifahren-lyrics
All I Want for Christmas Is You,Mariah Carey,7,Germany,2019-12-13,2019-12-20,Positive,https://genius.com/Mariah-carey-all-i-want-for-christmas-is-you-lyrics
Alien,RIN,8,Germany,2019-12-13,2019-12-20,Negative,https://genius.com/Rin-alien-lyrics
Keine Liebe,RIN,9,Germany,2019-12-13,2019-12-20,Negative,https://genius.com/Rin-and-bausa-keine-liebe-lyrics
200 km/h,Apache 207,10,Germany,2019-12-13,2019-12-20,Negative,https://genius.com/Apache-207-200-km-h-lyrics
Wieso tust Du dir das an?,Apache 207,11,Germany,2019-12-13,2019-12-20,Positive,https://genius.com/Apache-207-wieso-tust-du-dir-das-an-lyrics
95 BPM,Samra,12,Germany,2019-12-13,2019-12-20,Negative,https://genius.com/Samra-95-bpm-lyrics
Last Christmas,Wham!,13,Germany,2019-12-13,2019-12-20,Positive,https://genius.com/Wham-last-christmas-lyrics
110,Capital Bra,14,Germany,2019-12-13,2019-12-20,Negative,https://genius.com/Capital-bra-samra-and-lea-110-lyrics
Falling,Trevor Daniel,15,Germany,2019-12-13,2019-12-20,Positive,https://genius.com/Trevor-daniel-falling-lyrics
Ayy Macarena,Tyga,16,Germany,2019-12-13,2019-12-20,Negative,https://genius.com/Tyga-ayy-macarena-lyrics
Blinding Lights,The Weeknd,17,Germany,2019-12-13,2019-12-20,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Tiffany,Shindy,18,Germany,2019-12-13,2019-12-20,Negative,https://genius.com/Shindy-tiffany-lyrics
2002,Sido,19,Germany,2019-12-13,2019-12-20,Negative,https://genius.com/Sido-and-apache-207-2002-lyrics
KARMA,Nimo,20,Germany,2019-12-13,2019-12-20,Negative,https://genius.com/Nimo-karma-lyrics
All I Want for Christmas Is You,Mariah Carey,1,Germany,2019-12-20,2019-12-27,Positive,https://genius.com/Mariah-carey-all-i-want-for-christmas-is-you-lyrics
Last Christmas,Wham!,2,Germany,2019-12-20,2019-12-27,Positive,https://genius.com/Wham-last-christmas-lyrics
Roller,Apache 207,3,Germany,2019-12-20,2019-12-27,Negative,https://genius.com/Apache-207-roller-lyrics
Driving Home for Christmas - 2019 Remaster,Chris Rea,4,Germany,2019-12-20,2019-12-27,Negative,https://genius.com/Elliot-rodger-my-twisted-world-the-story-of-elliot-rodger-part-6-3-annotated
Merry Christmas Everyone,Shakin' Stevens,5,Germany,2019-12-20,2019-12-27,could not determine analysis,
Dance Monkey,Tones And I,6,Germany,2019-12-20,2019-12-27,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Wonderful Dream (Holidays Are Coming) - Radio Version,Melanie Thornton,7,Germany,2019-12-20,2019-12-27,could not determine analysis,
Mit Dir,Loredana,8,Germany,2019-12-20,2019-12-27,Negative,https://genius.com/Loredana-mit-dir-lyrics
Happy Xmas (War Is Over) - Remastered,John Lennon,9,Germany,2019-12-20,2019-12-27,could not determine analysis,
Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,Paul McCartney,10,Germany,2019-12-20,2019-12-27,Positive,https://genius.com/Paul-mccartney-wonderful-christmastime-edited-version-2011-remaster-lyrics
KEIN SCHLAF,Nimo,11,Germany,2019-12-20,2019-12-27,Negative,https://genius.com/Nimo-and-hava-kein-schlaf-lyrics
Nur zur Info,Ufo361,12,Germany,2019-12-20,2019-12-27,Negative,https://genius.com/Ufo361-nur-zur-info-lyrics
Santa Tell Me,Ariana Grande,13,Germany,2019-12-20,2019-12-27,Positive,https://genius.com/Ariana-grande-santa-tell-me-lyrics
Thank God It's Christmas - Non-Album Single,Queen,14,Germany,2019-12-20,2019-12-27,could not determine analysis,
It's Beginning to Look a Lot like Christmas,Michael Bublé,15,Germany,2019-12-20,2019-12-27,Positive,https://genius.com/Michael-buble-its-beginning-to-look-a-lot-like-christmas-lyrics
COLT,Samra,16,Germany,2019-12-20,2019-12-27,Negative,https://genius.com/Samra-colt-lyrics
Skifahren (feat. Joshi Mizu),The Cratez,17,Germany,2019-12-20,2019-12-27,Negative,https://genius.com/The-cratez-bausa-and-maxwell-skifahren-lyrics
Christmas Time,Bryan Adams,18,Germany,2019-12-20,2019-12-27,Positive,https://genius.com/Bryan-adams-christmas-time-lyrics
Feliz Navidad,José Feliciano,19,Germany,2019-12-20,2019-12-27,Positive,https://genius.com/Jose-feliciano-feliz-navidad-lyrics
200 km/h,Apache 207,20,Germany,2019-12-20,2019-12-27,Negative,https://genius.com/Apache-207-200-km-h-lyrics
