song_name,song_artist,track number,country,start date,end date,Analysis
Roller,Apache 207,1,Germany,2020-01-10,2020-01-17,Negative
Blinding Lights,The Weeknd,2,Germany,2020-01-10,2020-01-17,Negative
Ich hol dich ab,Jamule,3,Germany,2020-01-10,2020-01-17,Negative
6AM.........,Dardan,4,Germany,2020-01-10,2020-01-17,Negative
Dance Monkey,Tones And I,5,Germany,2020-01-10,2020-01-17,could not determine analysis
Skifahren (feat. Joshi Mizu),The Cratez,6,Germany,2020-01-10,2020-01-17,Negative
KEIN SCHLAF,Nimo,7,Germany,2020-01-10,2020-01-17,Negative
200 km/h,Apache 207,8,Germany,2020-01-10,2020-01-17,Negative
Benzo,Elias,9,Germany,2020-01-10,2020-01-17,Negative
Falling,Trevor Daniel,10,Germany,2020-01-10,2020-01-17,Positive
Alien,RIN,11,Germany,2020-01-10,2020-01-17,Negative
Vor der Tür,Gzuz,12,Germany,2020-01-10,2020-01-17,Negative
Life Is Good (feat. Drake),Future,13,Germany,2020-01-10,2020-01-17,Positive
Wieso tust Du dir das an?,Apache 207,14,Germany,2020-01-10,2020-01-17,Positive
The Box,Roddy Ricch,15,Germany,2020-01-10,2020-01-17,Negative
Es geht voran,RAF Camora,16,Germany,2020-01-10,2020-01-17,Negative
Ayy Macarena,Tyga,17,Germany,2020-01-10,2020-01-17,Negative
Keine Liebe,RIN,18,Germany,2020-01-10,2020-01-17,Negative
Maschine,RAF Camora,19,Germany,2020-01-10,2020-01-17,Negative
110,Capital Bra,20,Germany,2020-01-10,2020-01-17,Negative
