song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
Tusa,KAROL G,1,Guatemala,2020-01-24,2020-01-31,Negative,https://genius.com/Karol-g-and-nicki-minaj-tusa-lyrics
Sigues Con El,Dímelo Flow,2,Guatemala,2020-01-24,2020-01-31,Negative,https://genius.com/Arcangel-dimelo-flow-and-sech-sigues-con-el-lyrics
Vete,Bad Bunny,3,Guatemala,2020-01-24,2020-01-31,Negative,https://genius.com/Bad-bunny-vete-lyrics
Dance Monkey,Tones And I,4,Guatemala,2020-01-24,2020-01-31,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Fantasias,Rauw Alejandro,5,Guatemala,2020-01-24,2020-01-31,Negative,https://genius.com/Rauw-alejandro-and-farruko-fantasias-lyrics
LA CANCIÓN,J Balvin,6,Guatemala,2020-01-24,2020-01-31,Negative,https://genius.com/J-balvin-and-bad-bunny-la-cancion-lyrics
Pa' Olvidarme De Ella,Piso 21,7,Guatemala,2020-01-24,2020-01-31,Negative,https://genius.com/Piso-21-and-christian-nodal-pa-olvidarme-de-ella-lyrics
No Me Conoce - Remix,Jhay Cortez,8,Guatemala,2020-01-24,2020-01-31,Negative,https://genius.com/Jhay-cortez-j-balvin-and-bad-bunny-no-me-conoce-remix-lyrics
RITMO (Bad Boys For Life),Black Eyed Peas,9,Guatemala,2020-01-24,2020-01-31,Positive,https://genius.com/The-black-eyed-peas-and-j-balvin-ritmo-bad-boys-for-life-lyrics
China,Anuel AA,10,Guatemala,2020-01-24,2020-01-31,could not determine analysis,
Hola - Remix,Dalex,11,Guatemala,2020-01-24,2020-01-31,Negative,https://genius.com/Dalex-lenny-tavarez-and-chencho-corleone-hola-remix-lyrics
Callaita,Bad Bunny,12,Guatemala,2020-01-24,2020-01-31,Negative,https://genius.com/Bad-bunny-and-tainy-callaita-lyrics
Morado,J Balvin,13,Guatemala,2020-01-24,2020-01-31,Negative,https://genius.com/J-balvin-morado-lyrics
Adicto (with Anuel AA &amp; Ozuna),Tainy,14,Guatemala,2020-01-24,2020-01-31,could not determine analysis,
Whine Up,Nicky Jam,15,Guatemala,2020-01-24,2020-01-31,Negative,https://genius.com/Nicky-jam-and-anuel-aa-whine-up-lyrics
Muévelo,Nicky Jam,16,Guatemala,2020-01-24,2020-01-31,Positive,https://genius.com/Daddy-yankee-and-nicky-jam-muevelo-lyrics
Que Tire Pa Lante,Daddy Yankee,17,Guatemala,2020-01-24,2020-01-31,Negative,https://genius.com/Daddy-yankee-que-tire-pa-lante-lyrics
Infeliz,Arcangel,18,Guatemala,2020-01-24,2020-01-31,Negative,https://genius.com/Arcangel-and-bad-bunny-infeliz-lyrics
Si Te Vas,Sech,19,Guatemala,2020-01-24,2020-01-31,Positive,https://genius.com/Sech-and-ozuna-si-te-vas-lyrics
Quizas,Rich Music LTD,20,Guatemala,2020-01-24,2020-01-31,Positive,https://genius.com/Rich-music-ltd-dalex-and-sech-quizas-lyrics
Tusa,KAROL G,1,Guatemala,2020-01-31,2020-02-07,Negative,https://genius.com/Karol-g-and-nicki-minaj-tusa-lyrics
Sigues Con El,Dímelo Flow,2,Guatemala,2020-01-31,2020-02-07,Negative,https://genius.com/Arcangel-dimelo-flow-and-sech-sigues-con-el-lyrics
Vete,Bad Bunny,3,Guatemala,2020-01-31,2020-02-07,Negative,https://genius.com/Bad-bunny-vete-lyrics
Dance Monkey,Tones And I,4,Guatemala,2020-01-31,2020-02-07,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
