song_name,song_artist,track number,country,start date,end date,Analysis
Ignorantes,Bad Bunny,1,Guatemala,2020-02-21,2020-02-28,Negative
Tusa,KAROL G,2,Guatemala,2020-02-21,2020-02-28,Negative
Sigues Con El,Dímelo Flow,3,Guatemala,2020-02-21,2020-02-28,Negative
Vete,Bad Bunny,4,Guatemala,2020-02-21,2020-02-28,Negative
Fantasias,Rauw Alejandro,5,Guatemala,2020-02-21,2020-02-28,Negative
Dance Monkey,Tones And I,6,Guatemala,2020-02-21,2020-02-28,Neutral
Hola - Remix,Dalex,7,Guatemala,2020-02-21,2020-02-28,Negative
LA CANCIÓN,J Balvin,8,Guatemala,2020-02-21,2020-02-28,Negative
No Me Conoce - Remix,Jhay Cortez,9,Guatemala,2020-02-21,2020-02-28,Negative
Keii,Anuel AA,10,Guatemala,2020-02-21,2020-02-28,Positive
Pa' Olvidarme De Ella,Piso 21,11,Guatemala,2020-02-21,2020-02-28,Negative
Morado,J Balvin,12,Guatemala,2020-02-21,2020-02-28,Negative
Callaita,Bad Bunny,13,Guatemala,2020-02-21,2020-02-28,Negative
China,Anuel AA,14,Guatemala,2020-02-21,2020-02-28,Negative
Blinding Lights,The Weeknd,15,Guatemala,2020-02-21,2020-02-28,Negative
RITMO (Bad Boys For Life),Black Eyed Peas,16,Guatemala,2020-02-21,2020-02-28,Positive
Jangueo,Alex Rose,17,Guatemala,2020-02-21,2020-02-28,Negative
Muévelo,Nicky Jam,18,Guatemala,2020-02-21,2020-02-28,Positive
Definitivamente,Daddy Yankee,19,Guatemala,2020-02-21,2020-02-28,Negative
Mejor,Dalex,20,Guatemala,2020-02-21,2020-02-28,Positive
Si Veo a Tu Mamá,Bad Bunny,1,Guatemala,2020-02-28,2020-03-06,Negative
La Difícil,Bad Bunny,3,Guatemala,2020-02-28,2020-03-06,Negative
René,Residente,4,Guatemala,2020-02-28,2020-03-06,Negative
La Santa,Bad Bunny,5,Guatemala,2020-02-28,2020-03-06,Negative
Pero Ya No,Bad Bunny,9,Guatemala,2020-02-28,2020-03-06,Negative
Rojo,J Balvin,10,Guatemala,2020-02-28,2020-03-06,Neutral
Yo Perreo Sola,Bad Bunny,11,Guatemala,2020-02-28,2020-03-06,Negative
Soliá,Bad Bunny,12,Guatemala,2020-02-28,2020-03-06,Negative
A Tu Merced,Bad Bunny,15,Guatemala,2020-02-28,2020-03-06,Negative
Bichiyal,Bad Bunny,16,Guatemala,2020-02-28,2020-03-06,Negative
Safaera,Bad Bunny,4,Guatemala,2020-03-06,2020-03-13,Negative
Se Me Olvidó,Christian Nodal,8,Guatemala,2020-03-06,2020-03-13,Negative
Tattoo,Rauw Alejandro,15,Guatemala,2020-03-13,2020-03-20,Negative
Diosa,Myke Towers,19,Guatemala,2020-03-13,2020-03-20,Negative
