song_name,song_artist,track number,country,start date,end date,Analysis
Filhall,B Praak,1,India,2019-11-29,2019-12-06,Neutral
"Ghungroo (From ""War"")",Arijit Singh,2,India,2019-11-29,2019-12-06,could not determine analysis
"Tum Hi Aana (From ""Marjaavaan"")",Payal Dev,3,India,2019-11-29,2019-12-06,Neutral
Memories,Maroon 5,4,India,2019-11-29,2019-12-06,Positive
Makhna,Tanishk Bagchi,5,India,2019-11-29,2019-12-06,Neutral
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,6,India,2019-11-29,2019-12-06,Neutral
Heartless,The Weeknd,7,India,2019-11-29,2019-12-06,Negative
Señorita,Shawn Mendes,8,India,2019-11-29,2019-12-06,Positive
Yaad Piya Ki Aane Lagi,Neha Kakkar,9,India,2019-11-29,2019-12-06,could not determine analysis
Pal Pal Dil Ke Paas- Title Track,Arijit Singh,10,India,2019-11-29,2019-12-06,could not determine analysis
Blinding Lights,The Weeknd,11,India,2019-11-29,2019-12-06,Negative
everything i wanted,Billie Eilish,12,India,2019-11-29,2019-12-06,Negative
"Bekhayali (From ""Kabir Singh"")",Sachet Tandon,13,India,2019-11-29,2019-12-06,could not determine analysis
Circles,Post Malone,14,India,2019-11-29,2019-12-06,Positive
"Shaitan Ka Saala (From ""Housefull 4"")",Sohail Sen,15,India,2019-11-29,2019-12-06,could not determine analysis
"Pachtaoge (From ""Jaani Ve"")",Arijit Singh,16,India,2019-11-29,2019-12-06,could not determine analysis
"O Saki Saki (From ""Batla House"")",Neha Kakkar,17,India,2019-11-29,2019-12-06,Neutral
"Tera Ban Jaunga (From ""Kabir Singh"")",Akhil Sachdeva,18,India,2019-11-29,2019-12-06,could not determine analysis
"Duniyaa (From ""Luka Chuppi"")",Akhil,19,India,2019-11-29,2019-12-06,Neutral
Ve Maahi,Arijit Singh,20,India,2019-11-29,2019-12-06,Neutral
ROXANNE,Arizona Zervas,14,India,2019-12-06,2019-12-13,Positive
Falling,Trevor Daniel,20,India,2019-12-06,2019-12-13,Positive
"Mere Sohneya (From ""Kabir Singh"")",Sachet Tandon,20,India,2019-12-13,2019-12-20,Neutral
"Muqabla (From ""Street Dancer 3D"")",Yash Narvekar,4,India,2019-12-20,2019-12-27,could not determine analysis
