song_name,song_artist,track number,country,start date,end date,Analysis
Dance Monkey,Tones And I,1,Israel,2020-02-21,2020-02-28,Neutral
The Box,Roddy Ricch,2,Israel,2020-02-21,2020-02-28,Negative
Blinding Lights,The Weeknd,3,Israel,2020-02-21,2020-02-28,Negative
Don't Start Now,Dua Lipa,4,Israel,2020-02-21,2020-02-28,Negative
נחכה לך,Nathan Goshen,5,Israel,2020-02-21,2020-02-28,Neutral
Godzilla (feat. Juice WRLD),Eminem,6,Israel,2020-02-21,2020-02-28,Neutral
Falling,Trevor Daniel,7,Israel,2020-02-21,2020-02-28,Positive
אלוף העולם,Hanan Ben Ari,8,Israel,2020-02-21,2020-02-28,could not determine analysis
No Time To Die,Billie Eilish,9,Israel,2020-02-21,2020-02-28,Negative
Señorita,Shawn Mendes,10,Israel,2020-02-21,2020-02-28,Positive
bad guy,Billie Eilish,11,Israel,2020-02-21,2020-02-28,Negative
Life Is Good (feat. Drake),Future,12,Israel,2020-02-21,2020-02-28,Positive
ROXANNE,Arizona Zervas,13,Israel,2020-02-21,2020-02-28,Positive
מסע,Eliad,14,Israel,2020-02-21,2020-02-28,Neutral
After Hours,The Weeknd,15,Israel,2020-02-21,2020-02-28,Negative
הכל פה יגמר,Nathan Goshen,16,Israel,2020-02-21,2020-02-28,Neutral
שגרה מפוארת,Omer Adam,17,Israel,2020-02-21,2020-02-28,Neutral
הלב שלי,Ishay Ribo,18,Israel,2020-02-21,2020-02-28,Neutral
אם אתה גבר,Noa Kirel,19,Israel,2020-02-21,2020-02-28,Neutral
לשוב הביתה,Ishay Ribo,20,Israel,2020-02-21,2020-02-28,Neutral
את חסרה לי,Eden Hason,1,Israel,2020-02-28,2020-03-06,Neutral
דיבור נגוע,Mergui,17,Israel,2020-02-28,2020-03-06,Negative
אגרוף,Eden Ben Zaken,20,Israel,2020-02-28,2020-03-06,Neutral
Feker Libi,Eden,3,Israel,2020-03-06,2020-03-13,Positive
אם תרצי,Hanan Ben Ari,18,Israel,2020-03-06,2020-03-13,Neutral
עברו חודשיים,Agam Buhbut,11,Israel,2020-03-13,2020-03-20,Neutral
הולכת יחפה,Itay Levi,16,Israel,2020-03-13,2020-03-20,Neutral
Someone You Loved,Lewis Capaldi,20,Israel,2020-03-13,2020-03-20,Positive
