song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
Toosie Slide,Drake,1,Israel,2020-04-17,2020-04-24,Positive,https://genius.com/Drake-toosie-slide-lyrics
Blinding Lights,The Weeknd,2,Israel,2020-04-17,2020-04-24,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Dance Monkey,Tones And I,3,Israel,2020-04-17,2020-04-24,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Roses - Imanbek Remix,SAINt JHN,4,Israel,2020-04-17,2020-04-24,Negative,https://genius.com/Saint-jhn-roses-imanbek-remix-lyrics
Don't Start Now,Dua Lipa,5,Israel,2020-04-17,2020-04-24,Negative,https://genius.com/Dua-lipa-dont-start-now-lyrics
The Box,Roddy Ricch,6,Israel,2020-04-17,2020-04-24,Negative,https://genius.com/Roddy-ricch-the-box-lyrics
את חסרה לי,Eden Hason,7,Israel,2020-04-17,2020-04-24,Neutral,https://genius.com/Eden-hason-at-hasera-li-lyrics
Blueberry Faygo,Lil Mosey,8,Israel,2020-04-17,2020-04-24,Negative,https://genius.com/Lil-mosey-blueberry-faygo-lyrics
נחכה לך,Nathan Goshen,9,Israel,2020-04-17,2020-04-24,Neutral,https://genius.com/Nathan-goshen-ishay-ribo-nechake-lecha-lyrics
אלוף העולם,Hanan Ben Ari,10,Israel,2020-04-17,2020-04-24,Neutral,https://genius.com/Hanan-ben-ari-aluf-haolam-lyrics
מסע,Eliad,11,Israel,2020-04-17,2020-04-24,Neutral,https://genius.com/Eliad-masa-lyrics
Falling,Trevor Daniel,12,Israel,2020-04-17,2020-04-24,Positive,https://genius.com/Trevor-daniel-falling-lyrics
death bed (coffee for your head) (feat. beabadoobee),Powfu,13,Israel,2020-04-17,2020-04-24,Positive,https://genius.com/Powfu-death-bed-coffee-for-your-head-lyrics
Señorita,Shawn Mendes,14,Israel,2020-04-17,2020-04-24,Positive,https://genius.com/Shawn-mendes-and-camila-cabello-senorita-lyrics
אם תרצי,Hanan Ben Ari,15,Israel,2020-04-17,2020-04-24,Neutral,https://genius.com/Hanan-ben-ari-im-tirtzi-lyrics
Life Is Good (feat. Drake),Future,16,Israel,2020-04-17,2020-04-24,Positive,https://genius.com/Genius-russian-translations-future-life-is-good-ft-drake-lyrics
Godzilla (feat. Juice WRLD),Eminem,17,Israel,2020-04-17,2020-04-24,Neutral,https://genius.com/Mcdicon-russian-cover-godzilla-eminem-feat-juice-wrld-lyrics
Someone You Loved,Lewis Capaldi,18,Israel,2020-04-17,2020-04-24,Positive,https://genius.com/Lewis-capaldi-someone-you-loved-lyrics
ROXANNE,Arizona Zervas,19,Israel,2020-04-17,2020-04-24,Positive,https://genius.com/Arizona-zervas-roxanne-lyrics
Say So,Doja Cat,20,Israel,2020-04-17,2020-04-24,Positive,https://genius.com/Doja-cat-say-so-lyrics
THE SCOTTS,THE SCOTTS,1,Israel,2020-04-24,2020-05-01,Positive,https://genius.com/The-scotts-the-scotts-lyrics
Toosie Slide,Drake,2,Israel,2020-04-24,2020-05-01,Positive,https://genius.com/Drake-toosie-slide-lyrics
Blinding Lights,The Weeknd,3,Israel,2020-04-24,2020-05-01,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Roses - Imanbek Remix,SAINt JHN,4,Israel,2020-04-24,2020-05-01,Negative,https://genius.com/Saint-jhn-roses-imanbek-remix-lyrics
Dance Monkey,Tones And I,5,Israel,2020-04-24,2020-05-01,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
The Box,Roddy Ricch,6,Israel,2020-04-24,2020-05-01,Negative,https://genius.com/Roddy-ricch-the-box-lyrics
Don't Start Now,Dua Lipa,7,Israel,2020-04-24,2020-05-01,Negative,https://genius.com/Dua-lipa-dont-start-now-lyrics
את חסרה לי,Eden Hason,8,Israel,2020-04-24,2020-05-01,Neutral,https://genius.com/Eden-hason-at-hasera-li-lyrics
SICKO MODE,Travis Scott,9,Israel,2020-04-24,2020-05-01,Positive,https://genius.com/Travis-scott-sicko-mode-lyrics
goosebumps,Travis Scott,10,Israel,2020-04-24,2020-05-01,Positive,https://genius.com/Travis-scott-goosebumps-lyrics
Blueberry Faygo,Lil Mosey,11,Israel,2020-04-24,2020-05-01,Negative,https://genius.com/Lil-mosey-blueberry-faygo-lyrics
אלוף העולם,Hanan Ben Ari,12,Israel,2020-04-24,2020-05-01,Neutral,https://genius.com/Hanan-ben-ari-aluf-haolam-lyrics
נחכה לך,Nathan Goshen,13,Israel,2020-04-24,2020-05-01,Neutral,https://genius.com/Nathan-goshen-ishay-ribo-nechake-lecha-lyrics
מסע,Eliad,14,Israel,2020-04-24,2020-05-01,Neutral,https://genius.com/Eliad-masa-lyrics
