song_name,song_artist,track number,country,start date,end date,Analysis
Calmo - feat. tha Supreme,Shiva,1,Italy,2020-01-24,2020-01-31,Positive
blun7 a swishland,tha Supreme,2,Italy,2020-01-24,2020-01-31,Negative
Boogieman (feat. Salmo),Ghali,3,Italy,2020-01-24,2020-01-31,Positive
ANSIA NO,FSK SATELLITE,4,Italy,2020-01-24,2020-01-31,Negative
fuck 3x,tha Supreme,5,Italy,2020-01-24,2020-01-31,Negative
Dance Monkey,Tones And I,6,Italy,2020-01-24,2020-01-31,Neutral
Boss,Paky,7,Italy,2020-01-24,2020-01-31,Positive
Ti volevo dedicare (feat. J-AX &amp; Boomdabash),Rocco Hunt,8,Italy,2020-01-24,2020-01-31,could not determine analysis
Stu core t'apparten,Rocco Hunt,9,Italy,2020-01-24,2020-01-31,Negative
SUPREME - L'ego (feat. tha Supreme &amp; Sfera Ebbasta),Marracash,10,Italy,2020-01-24,2020-01-31,could not determine analysis
Rapide,Mahmood,11,Italy,2020-01-24,2020-01-31,Negative
BRAVI A CADERE - I polmoni,Marracash,12,Italy,2020-01-24,2020-01-31,Negative
CRUDELIA - I nervi,Marracash,13,Italy,2020-01-24,2020-01-31,Negative
Godzilla (feat. Juice WRLD),Eminem,14,Italy,2020-01-24,2020-01-31,Neutral
Falling,Trevor Daniel,15,Italy,2020-01-24,2020-01-31,Positive
Tutto Questo Sei Tu,Ultimo,16,Italy,2020-01-24,2020-01-31,Positive
Soldi in Nero - feat. Sfera Ebbasta,Shiva,17,Italy,2020-01-24,2020-01-31,Positive
Pookie (feat. Capo Plaza) - Remix,Aya Nakamura,18,Italy,2020-01-24,2020-01-31,Negative
Allora ciao,Shade,19,Italy,2020-01-24,2020-01-31,Positive
RITMO (Bad Boys For Life),Black Eyed Peas,20,Italy,2020-01-24,2020-01-31,Positive
Chance (feat. Capo Plaza),Shiva,3,Italy,2020-01-31,2020-02-07,Positive
Milano Ovest - feat. Marracash,Shiva,4,Italy,2020-01-31,2020-02-07,Negative
Domani,Shiva,9,Italy,2020-01-31,2020-02-07,could not determine analysis
Scarabeo,Shiva,16,Italy,2020-01-31,2020-02-07,Positive
Blinding Lights,The Weeknd,18,Italy,2020-01-31,2020-02-07,Negative
Fai rumore,Diodato,1,Italy,2020-02-07,2020-02-14,could not determine analysis
Ringo Starr,Pinguini Tattici Nucleari,2,Italy,2020-02-07,2020-02-14,Negative
Me ne frego,Achille Lauro,3,Italy,2020-02-07,2020-02-14,Negative
Per sentirmi vivo,Fasma,4,Italy,2020-02-07,2020-02-14,Neutral
Viceversa,Francesco Gabbani,5,Italy,2020-02-07,2020-02-14,Negative
Musica (E Il Resto Scompare),Elettra Lamborghini,6,Italy,2020-02-07,2020-02-14,Positive
Andromeda,Elodie,7,Italy,2020-02-07,2020-02-14,Negative
Tikibombom,Levante,8,Italy,2020-02-07,2020-02-14,Negative
Eden (feat. Dardust),Rancore,11,Italy,2020-02-07,2020-02-14,Positive
Rosso di rabbia,Anastasio,15,Italy,2020-02-07,2020-02-14,Negative
Dov'è,Le Vibrazioni,16,Italy,2020-02-07,2020-02-14,Positive
Vai Bene Così,Leo Gassmann,18,Italy,2020-02-07,2020-02-14,Neutral
"PAROLA - feat. Lazza, Emis Killa",Giaime,13,Italy,2020-02-14,2020-02-21,Negative
