song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
Boogieman (feat. Salmo),Ghali,1,Italy,2020-02-21,2020-02-28,could not determine analysis,
Good Times,Ghali,2,Italy,2020-02-21,2020-02-28,Positive,https://genius.com/Ghali-good-times-lyrics
Marymango (feat. tha Supreme),Ghali,3,Italy,2020-02-21,2020-02-28,Negative,https://genius.com/Ghali-marymango-lyrics
Ringo Starr,Pinguini Tattici Nucleari,4,Italy,2020-02-21,2020-02-28,Negative,https://genius.com/Pinguini-tattici-nucleari-ringo-starr-lyrics
Fai rumore,Diodato,5,Italy,2020-02-21,2020-02-28,Neutral,https://genius.com/Diodato-fai-rumore-lyrics
Per sentirmi vivo,Fasma,6,Italy,2020-02-21,2020-02-28,Neutral,https://genius.com/Fasma-per-sentirmi-vivo-lyrics
Musica (E Il Resto Scompare),Elettra Lamborghini,7,Italy,2020-02-21,2020-02-28,Positive,https://genius.com/Elettra-lamborghini-musica-e-il-resto-scompare-lyrics
blun7 a swishland,tha Supreme,8,Italy,2020-02-21,2020-02-28,Negative,https://genius.com/Tha-supreme-blun7-a-swishland-lyrics
Viceversa,Francesco Gabbani,9,Italy,2020-02-21,2020-02-28,Negative,https://genius.com/Francesco-gabbani-viceversa-lyrics
Rapide,Mahmood,10,Italy,2020-02-21,2020-02-28,Negative,https://genius.com/Mahmood-rapide-lyrics
Me ne frego,Achille Lauro,11,Italy,2020-02-21,2020-02-28,Negative,https://genius.com/Achille-lauro-me-ne-frego-lyrics
Bando,ANNA,12,Italy,2020-02-21,2020-02-28,Negative,https://genius.com/Anna-bando-lyrics
Blinding Lights,The Weeknd,13,Italy,2020-02-21,2020-02-28,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
ANSIA NO,FSK SATELLITE,14,Italy,2020-02-21,2020-02-28,Negative,https://genius.com/Fsk-satellite-ansia-no-lyrics
Andromeda,Elodie,15,Italy,2020-02-21,2020-02-28,Negative,https://genius.com/Elodie-andromeda-lyrics
Ti volevo dedicare (feat. J-AX &amp; Boomdabash),Rocco Hunt,16,Italy,2020-02-21,2020-02-28,could not determine analysis,
Dance Monkey,Tones And I,17,Italy,2020-02-21,2020-02-28,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Tikibombom,Levante,18,Italy,2020-02-21,2020-02-28,Negative,https://genius.com/Levante-tikibombom-lyrics
BRAVI A CADERE - I polmoni,Marracash,19,Italy,2020-02-21,2020-02-28,Negative,https://genius.com/Marracash-bravi-a-cadere-i-polmoni-lyrics
fuck 3x,tha Supreme,20,Italy,2020-02-21,2020-02-28,Negative,https://genius.com/Tha-supreme-fuck-3x-lyrics
Bando,ANNA,1,Italy,2020-02-28,2020-03-06,Negative,https://genius.com/Anna-bando-lyrics
Boogieman (feat. Salmo),Ghali,2,Italy,2020-02-28,2020-03-06,could not determine analysis,
Good Times,Ghali,3,Italy,2020-02-28,2020-03-06,Positive,https://genius.com/Ghali-good-times-lyrics
Snitch E Impicci (con FSK SATELLITE),DrefGold,4,Italy,2020-02-28,2020-03-06,could not determine analysis,
Per sentirmi vivo,Fasma,5,Italy,2020-02-28,2020-03-06,Neutral,https://genius.com/Fasma-per-sentirmi-vivo-lyrics
Ringo Starr,Pinguini Tattici Nucleari,6,Italy,2020-02-28,2020-03-06,Negative,https://genius.com/Pinguini-tattici-nucleari-ringo-starr-lyrics
Rapide,Mahmood,7,Italy,2020-02-28,2020-03-06,Negative,https://genius.com/Mahmood-rapide-lyrics
Musica (E Il Resto Scompare),Elettra Lamborghini,8,Italy,2020-02-28,2020-03-06,Positive,https://genius.com/Elettra-lamborghini-musica-e-il-resto-scompare-lyrics
Fai rumore,Diodato,9,Italy,2020-02-28,2020-03-06,Neutral,https://genius.com/Diodato-fai-rumore-lyrics
blun7 a swishland,tha Supreme,10,Italy,2020-02-28,2020-03-06,Negative,https://genius.com/Tha-supreme-blun7-a-swishland-lyrics
Marymango (feat. tha Supreme),Ghali,11,Italy,2020-02-28,2020-03-06,Negative,https://genius.com/Ghali-marymango-lyrics
Viceversa,Francesco Gabbani,12,Italy,2020-02-28,2020-03-06,Negative,https://genius.com/Francesco-gabbani-viceversa-lyrics
Blinding Lights,The Weeknd,13,Italy,2020-02-28,2020-03-06,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Me ne frego,Achille Lauro,14,Italy,2020-02-28,2020-03-06,Negative,https://genius.com/Achille-lauro-me-ne-frego-lyrics
ANSIA NO,FSK SATELLITE,15,Italy,2020-02-28,2020-03-06,Negative,https://genius.com/Fsk-satellite-ansia-no-lyrics
Ti volevo dedicare (feat. J-AX &amp; Boomdabash),Rocco Hunt,16,Italy,2020-02-28,2020-03-06,could not determine analysis,
Andromeda,Elodie,17,Italy,2020-02-28,2020-03-06,Negative,https://genius.com/Elodie-andromeda-lyrics
Dance Monkey,Tones And I,18,Italy,2020-02-28,2020-03-06,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
BRAVI A CADERE - I polmoni,Marracash,19,Italy,2020-02-28,2020-03-06,Negative,https://genius.com/Marracash-bravi-a-cadere-i-polmoni-lyrics
"Fuego (with Geolier &amp; Lele Blade) - Prod. Poison Beatz, Tom Trigger",Neves17,20,Italy,2020-02-28,2020-03-06,could not determine analysis,
Bando,ANNA,1,Italy,2020-03-06,2020-03-13,Negative,https://genius.com/Anna-bando-lyrics
Good Times,Ghali,2,Italy,2020-03-06,2020-03-13,Positive,https://genius.com/Ghali-good-times-lyrics
Boogieman (feat. Salmo),Ghali,3,Italy,2020-03-06,2020-03-13,could not determine analysis,
Per sentirmi vivo,Fasma,4,Italy,2020-03-06,2020-03-13,Neutral,https://genius.com/Fasma-per-sentirmi-vivo-lyrics
RAP SHIT (feat. tha Supreme &amp; Gemitaiz) - prod. STABBER,Nitro,5,Italy,2020-03-06,2020-03-13,could not determine analysis,
Ringo Starr,Pinguini Tattici Nucleari,6,Italy,2020-03-06,2020-03-13,Negative,https://genius.com/Pinguini-tattici-nucleari-ringo-starr-lyrics
Snitch E Impicci (con FSK SATELLITE),DrefGold,7,Italy,2020-03-06,2020-03-13,could not determine analysis,
Rapide,Mahmood,8,Italy,2020-03-06,2020-03-13,Negative,https://genius.com/Mahmood-rapide-lyrics
blun7 a swishland,tha Supreme,9,Italy,2020-03-06,2020-03-13,Negative,https://genius.com/Tha-supreme-blun7-a-swishland-lyrics
