song_name,song_artist,track number,country,start date,end date,Analysis
I LOVE...,Official HIGE DANdism,1,Japan,2020-03-20,2020-03-27,Positive
Pretender,Official HIGE DANdism,2,Japan,2020-03-20,2020-03-27,Neutral
Hakujitsu,King Gnu,3,Japan,2020-03-20,2020-03-27,Neutral
宿命,Official HIGE DANdism,4,Japan,2020-03-20,2020-03-27,Neutral
イエスタデイ,Official HIGE DANdism,5,Japan,2020-03-20,2020-03-27,could not determine analysis
115万キロのフィルム,Official HIGE DANdism,6,Japan,2020-03-20,2020-03-27,could not determine analysis
ノーダウト,Official HIGE DANdism,7,Japan,2020-03-20,2020-03-27,could not determine analysis
Gurenge,LiSA,8,Japan,2020-03-20,2020-03-27,Negative
Machigaisagashi,Masaki Suda,9,Japan,2020-03-20,2020-03-27,Neutral
マリーゴールド,Aimyon,10,Japan,2020-03-20,2020-03-27,could not determine analysis
Doron,King Gnu,11,Japan,2020-03-20,2020-03-27,Neutral
Stand By You,Official HIGE DANdism,12,Japan,2020-03-20,2020-03-27,Positive
Teenager Forever,King Gnu,13,Japan,2020-03-20,2020-03-27,Neutral
Hikoutei,King Gnu,14,Japan,2020-03-20,2020-03-27,Neutral
Walking with you,Novelbright,15,Japan,2020-03-20,2020-03-27,could not determine analysis
Sayonara Elegy,Masaki Suda,16,Japan,2020-03-20,2020-03-27,could not determine analysis
高嶺の花子さん,back number,17,Japan,2020-03-20,2020-03-27,Neutral
bad guy,Billie Eilish,18,Japan,2020-03-20,2020-03-27,Negative
ただ君に晴れ,ヨルシカ,19,Japan,2020-03-20,2020-03-27,could not determine analysis
インフェルノ,Mrs. GREEN APPLE,20,Japan,2020-03-20,2020-03-27,Neutral
Anataga Iru Kotode,Uru,17,Japan,2020-03-27,2020-04-03,could not determine analysis
パラボラ,Official HIGE DANdism,11,Japan,2020-04-10,2020-04-17,Neutral
