song_name,song_artist,track number,country,start date,end date,Analysis
Tusa,KAROL G,1,Mexico,2019-11-29,2019-12-06,Negative
Vete,Bad Bunny,2,Mexico,2019-11-29,2019-12-06,Negative
RITMO (Bad Boys For Life),Black Eyed Peas,3,Mexico,2019-11-29,2019-12-06,Positive
LA CANCIÓN,J Balvin,4,Mexico,2019-11-29,2019-12-06,Negative
Dance Monkey,Tones And I,5,Mexico,2019-11-29,2019-12-06,Neutral
Pa' Olvidarme De Ella,Piso 21,6,Mexico,2019-11-29,2019-12-06,Negative
Callaita,Bad Bunny,7,Mexico,2019-11-29,2019-12-06,Negative
No Me Conoce - Remix,Jhay Cortez,8,Mexico,2019-11-29,2019-12-06,Negative
China,Anuel AA,9,Mexico,2019-11-29,2019-12-06,Negative
Fantasias,Rauw Alejandro,10,Mexico,2019-11-29,2019-12-06,Negative
Oye Pablo,Danna Paola,11,Mexico,2019-11-29,2019-12-06,Negative
Que Tire Pa Lante,Daddy Yankee,12,Mexico,2019-11-29,2019-12-06,Negative
Adicto (with Anuel AA &amp; Ozuna),Tainy,13,Mexico,2019-11-29,2019-12-06,could not determine analysis
Tutu,Camilo,14,Mexico,2019-11-29,2019-12-06,Negative
Don't Start Now,Dua Lipa,15,Mexico,2019-11-29,2019-12-06,Negative
Indeciso,Reik,16,Mexico,2019-11-29,2019-12-06,Negative
Señorita,Shawn Mendes,17,Mexico,2019-11-29,2019-12-06,Positive
11 PM,Maluma,18,Mexico,2019-11-29,2019-12-06,Negative
Amor A Primera Vista,Los Angeles Azules,19,Mexico,2019-11-29,2019-12-06,could not determine analysis
Quizas,Rich Music LTD,20,Mexico,2019-11-29,2019-12-06,Positive
Con Altura,ROSALÍA,20,Mexico,2019-12-06,2019-12-13,could not determine analysis
De Los Besos Que Te Di,Christian Nodal,18,Mexico,2019-12-20,2019-12-27,Positive
