song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
Safaera,Bad Bunny,1,Mexico,2020-03-20,2020-03-27,Negative,https://genius.com/Bad-bunny-jowell-and-randy-and-nengo-flow-safaera-lyrics
Si Veo a Tu Mamá,Bad Bunny,2,Mexico,2020-03-20,2020-03-27,Negative,https://genius.com/Bad-bunny-si-veo-a-tu-mama-lyrics
Rojo,J Balvin,3,Mexico,2020-03-20,2020-03-27,Neutral,https://genius.com/J-balvin-rojo-lyrics
Blinding Lights,The Weeknd,4,Mexico,2020-03-20,2020-03-27,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Morado,J Balvin,5,Mexico,2020-03-20,2020-03-27,Negative,https://genius.com/J-balvin-morado-lyrics
La Difícil,Bad Bunny,6,Mexico,2020-03-20,2020-03-27,Negative,https://genius.com/Bad-bunny-la-dificil-lyrics
Tusa,KAROL G,7,Mexico,2020-03-20,2020-03-27,Negative,https://genius.com/Karol-g-and-nicki-minaj-tusa-lyrics
Ignorantes,Bad Bunny,8,Mexico,2020-03-20,2020-03-27,Negative,https://genius.com/Bad-bunny-and-sech-ignorantes-lyrics
Amarillo,J Balvin,9,Mexico,2020-03-20,2020-03-27,Negative,https://genius.com/J-balvin-amarillo-lyrics
Se Me Olvidó,Christian Nodal,10,Mexico,2020-03-20,2020-03-27,Negative,https://genius.com/Christian-nodal-se-me-olvido-lyrics
Sigues Con El,Dímelo Flow,11,Mexico,2020-03-20,2020-03-27,Negative,https://genius.com/Arcangel-dimelo-flow-and-sech-sigues-con-el-lyrics
Vete,Bad Bunny,12,Mexico,2020-03-20,2020-03-27,Negative,https://genius.com/Bad-bunny-vete-lyrics
Yo Perreo Sola,Bad Bunny,13,Mexico,2020-03-20,2020-03-27,Negative,https://genius.com/Bad-bunny-yo-perreo-sola-lyrics
La Santa,Bad Bunny,14,Mexico,2020-03-20,2020-03-27,Negative,https://genius.com/Bad-bunny-and-daddy-yankee-la-santa-lyrics
Dance Monkey,Tones And I,15,Mexico,2020-03-20,2020-03-27,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Azul,J Balvin,16,Mexico,2020-03-20,2020-03-27,Negative,https://genius.com/J-balvin-azul-lyrics
Blanco,J Balvin,17,Mexico,2020-03-20,2020-03-27,Negative,https://genius.com/J-balvin-blanco-lyrics
Don't Start Now,Dua Lipa,18,Mexico,2020-03-20,2020-03-27,Negative,https://genius.com/Dua-lipa-dont-start-now-lyrics
Jangueo,Alex Rose,19,Mexico,2020-03-20,2020-03-27,Negative,https://genius.com/Alex-rose-and-rafa-pabon-jangueo-lyrics
Pa' Olvidarme De Ella,Piso 21,20,Mexico,2020-03-20,2020-03-27,Negative,https://genius.com/Piso-21-and-christian-nodal-pa-olvidarme-de-ella-lyrics
Safaera,Bad Bunny,1,Mexico,2020-03-27,2020-04-03,Negative,https://genius.com/Bad-bunny-jowell-and-randy-and-nengo-flow-safaera-lyrics
Si Veo a Tu Mamá,Bad Bunny,2,Mexico,2020-03-27,2020-04-03,Negative,https://genius.com/Bad-bunny-si-veo-a-tu-mama-lyrics
Yo Perreo Sola,Bad Bunny,3,Mexico,2020-03-27,2020-04-03,Negative,https://genius.com/Bad-bunny-yo-perreo-sola-lyrics
Rojo,J Balvin,4,Mexico,2020-03-27,2020-04-03,Neutral,https://genius.com/J-balvin-rojo-lyrics
Blinding Lights,The Weeknd,5,Mexico,2020-03-27,2020-04-03,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
La Difícil,Bad Bunny,6,Mexico,2020-03-27,2020-04-03,Negative,https://genius.com/Bad-bunny-la-dificil-lyrics
Tusa,KAROL G,7,Mexico,2020-03-27,2020-04-03,Negative,https://genius.com/Karol-g-and-nicki-minaj-tusa-lyrics
Ignorantes,Bad Bunny,8,Mexico,2020-03-27,2020-04-03,Negative,https://genius.com/Bad-bunny-and-sech-ignorantes-lyrics
Morado,J Balvin,9,Mexico,2020-03-27,2020-04-03,Negative,https://genius.com/J-balvin-morado-lyrics
